"Status","Year","Parent_department","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office","Unknown","Male","Heterosexual / straight","70","70","42530","37300"
"In post","2022","Cabinet Office","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Male","Unknown","150","150","36270","29250"
"In post","2022","Cabinet Office","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Wales","Female","Heterosexual / straight","65","60","37180","33090"
"In post","2022","Cabinet Office","Wales","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Wales","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Wales","Female","Unknown","40","40","37000","32000"
"In post","2022","Cabinet Office","Wales","Male","Heterosexual / straight","50","50","40900","38330"
"In post","2022","Cabinet Office","Wales","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Wales","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Wales","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Cabinet Office","Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Female","Heterosexual / straight","60","60","45760","37300"
"In post","2022","Cabinet Office","West Midlands (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Female","Unknown","60","60","48580","40580"
"In post","2022","Cabinet Office","West Midlands (England)","Male","Heterosexual / straight","55","55","53770","41100"
"In post","2022","Cabinet Office","West Midlands (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Male","Unknown","70","70","61360","61710"
"In post","2022","Cabinet Office","West Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Female","Heterosexual / straight","290","270","35880","33300"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Female","Unknown","175","170","42850","33300"
