"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for International Trade","London","Inner London - West","250","250","44110","40270"
"In post","2022","Analysis","Department for International Trade","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Inner London - West","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","West Midlands","20","15","35990","30190"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","Inner London - West","320","310","48130","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","South East (England)","Surrey, East and West Sussex","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","West Yorkshire","10","10","38020","38650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","Inner London - West","250","240","46070","40270"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","105","100","39930","36320"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","Greater Manchester","40","40","32870","31990"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","South Yorkshire","150","140","45340","40610"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","West Yorkshire","75","70","37540","35450"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Inner London - West","310","300","52370","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","West Yorkshire","85","85","46320","49530"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","Derbyshire and Nottinghamshire","10","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","32820","31380"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","West Yorkshire","10","10","24990","21840"
"In post","2022","Analysis","Education and Skills Funding Agency","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Inner London - West","15","15","36280","32350"
"In post","2022","Analysis","Food Standards Agency","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Inner London - West","55","55","59450","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","London","Inner London - West","175","160","69590","65470"
"In post","2022","Analysis","Government Actuary's Department","Scotland","Eastern Scotland","10","10","73790","69690"
"In post","2022","Analysis","Government Internal Audit Agency","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","42990","37190"
"In post","2022","Analysis","Health and Safety Executive","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North West (England)","Merseyside","20","20","42880","39390"
"In post","2022","Analysis","Health and Safety Executive","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","Inner London - West","30","30","48270","43710"
"In post","2022","Analysis","HM Courts and Tribunals Service","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","Outer London - South","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Essex","20","20","47660","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Inner London - East","160","155","47490","43430"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Inner London - West","175","170","51610","44620"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Outer London - South","45","40","53070","54160"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","10","10","43790","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Greater Manchester","200","190","40530","40180"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Merseyside","100","95","41300","40180"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","West Yorkshire","10","10","49370","52080"
"In post","2022","Analysis","HM Treasury (excl. agencies)","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","Inner London - West","10","10","57710","60440"
"In post","2022","Analysis","Intellectual Property Office","Wales","East Wales","35","35","34960","30770"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","Inner London - East","40","40","48830","47060"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East of England","East Anglia","10","10","29870","31100"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","Inner London - West","100","100","45330","45030"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","34770","29850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Hampshire and Isle of Wight","40","40","34500","33300"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","85","80","38320","36000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","West Midlands (England)","Shropshire and Staffordshire","15","15","35190","33300"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","Inner London - East","380","365","48720","44130"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","Inner London - West","45","40","47340","42430"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","West Yorkshire","55","50","36270","34610"
"In post","2022","Analysis","National Savings and Investments","London","Inner London - West","20","20","50940","48770"
"In post","2022","Analysis","National Savings and Investments","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","London","Inner London - West","35","35","51220","52530"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","London","Inner London - West","25","25","47540","42850"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","North West (England)","Greater Manchester","10","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","75","70","39880","32010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
