"Status","Year","Age","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Analysis","Science and Engineering","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Social Research","London","170","170","37690","35010"
"In post","2022","20-29","Analysis","Social Research","North East (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Social Research","North West (England)","15","15","36040","33370"
"In post","2022","20-29","Analysis","Social Research","South East (England)","100","100","34150","30710"
"In post","2022","20-29","Analysis","Social Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Social Research","Wales","150","145","34360","30710"
"In post","2022","20-29","Analysis","Social Research","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Social Research","Yorkshire and The Humber","20","20","36480","35360"
"In post","2022","20-29","Analysis","Statistics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Statistics","East of England","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Statistics","London","320","315","39260","37930"
"In post","2022","20-29","Analysis","Statistics","North East (England)","35","35","34280","31990"
"In post","2022","20-29","Analysis","Statistics","North West (England)","70","70","34200","33370"
"In post","2022","20-29","Analysis","Statistics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Statistics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Statistics","South East (England)","65","65","34060","30710"
"In post","2022","20-29","Analysis","Statistics","South West (England)","45","45","32650","32010"
"In post","2022","20-29","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Statistics","Wales","120","120","33620","30710"
"In post","2022","20-29","Analysis","Statistics","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Statistics","Yorkshire and The Humber","35","35","34950","31990"
"In post","2022","20-29","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","London","35","35","32900","31040"
"In post","2022","20-29","Analysis","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","North West (England)","20","20","31240","33080"
"In post","2022","20-29","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
