"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Heterosexual / straight","50","50","43840","39750"
"In post","2022","Attorney General's Departments","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Heterosexual / straight","170","165","46440","40000"
"In post","2022","Attorney General's Departments","Counter Fraud","London","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Unknown","50","50","48220","40410"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Heterosexual / straight","70","70","45190","40170"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
