"Status","Year","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Education and Skills Funding Agency","Male","840","830","42720","37100"
"In post","2022","Education Scotland","Female","245","235","56780","62170"
"In post","2022","Education Scotland","Male","90","85","59200","65280"
"In post","2022","Estyn","Female","65","60","55870","66900"
"In post","2022","Estyn","Male","50","50","63670","75480"
"In post","2022","FCDO Services","Female","310","295","38650","32160"
"In post","2022","FCDO Services","Male","775","750","40820","39090"
"In post","2022","Food Standards Agency","Female","645","625","39100","37350"
"In post","2022","Food Standards Agency","Male","810","790","36410","30810"
"In post","2022","Food Standards Scotland","Female","145","140","35510","31540"
"In post","2022","Food Standards Scotland","Male","160","155","36350","31540"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Female","3640","3530","47700","43320"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Male","3435","3410","50840","51500"
"In post","2022","Forestry and Land Scotland","Female","350","335","32500","31060"
"In post","2022","Forestry and Land Scotland","Male","665","645","33080","31060"
"In post","2022","Government Actuary's Department","Female","85","80","62570","65470"
"In post","2022","Government Actuary's Department","Male","135","130","68050","57250"
"In post","2022","Government Internal Audit Agency","Female","235","220","46410","43200"
"In post","2022","Government Internal Audit Agency","Male","220","210","51350","49750"
"In post","2022","Government Legal Department","Female","1710","1550","54070","51830"
"In post","2022","Government Legal Department","Male","920","900","54440","52040"
"In post","2022","Government Property Agency","Female","135","135","46990","43400"
"In post","2022","Government Property Agency","Male","175","170","53850","54700"
"In post","2022","Health and Safety Executive","Female","1365","1255","38110","34830"
"In post","2022","Health and Safety Executive","Male","1340","1300","47560","45130"
"In post","2022","HM Courts and Tribunals Service","Female","11380","10035","26370","21650"
"In post","2022","HM Courts and Tribunals Service","Male","4730","4570","27730","23720"
"In post","2022","HM Crown Prosecution Service Inspectorate","Female","20","20","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","Male","10","10","[c]","[c]"
"In post","2022","HM Land Registry","Female","4010","3555","30510","27130"
"In post","2022","HM Land Registry","Male","2625","2485","32540","27130"
"In post","2022","HM Prison and Probation Service","Female","33020","30760","29640","27380"
"In post","2022","HM Prison and Probation Service","Male","28685","27395","31120","30210"
"In post","2022","HM Revenue and Customs (excl. agencies)","Female","35360","31660","32250","27610"
"In post","2022","HM Revenue and Customs (excl. agencies)","Male","32150","31050","34480","33080"
"In post","2022","HM Treasury (excl. agencies)","Female","1050","1010","45940","41670"
"In post","2022","HM Treasury (excl. agencies)","Male","1060","1055","48990","52500"
"In post","2022","Home Office","Female","18875","17210","32070","28350"
"In post","2022","Home Office","Male","17665","17020","33290","28650"
"In post","2022","Institute for Apprenticeships and Technical Education","Female","175","175","47570","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","Male","105","105","50750","50260"
"In post","2022","Intellectual Property Office","Female","815","750","34310","28750"
"In post","2022","Intellectual Property Office","Male","900","870","42080","41420"
"In post","2022","Legal Aid Agency","Female","705","640","28810","25120"
"In post","2022","Legal Aid Agency","Male","465","455","31840","25120"
"In post","2022","Maritime and Coastguard Agency","Female","475","445","33300","30730"
"In post","2022","Maritime and Coastguard Agency","Male","765","755","39940","36040"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Female","680","650","48760","41240"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Male","450","445","49850","44460"
"In post","2022","Met Office","Female","820","755","38010","37420"
"In post","2022","Met Office","Male","1345","1305","40640","39650"
"In post","2022","Ministry of Defence (excl. agencies)","Female","16480","15590","31930","26670"
"In post","2022","Ministry of Defence (excl. agencies)","Male","20895","20520","33700","32670"
"In post","2022","Ministry of Justice (excl. agencies)","Female","3510","3390","41690","38370"
"In post","2022","Ministry of Justice (excl. agencies)","Male","2650","2615","45070","41750"
"In post","2022","National Crime Agency","Female","2495","2380","38260","36520"
"In post","2022","National Crime Agency","Male","3055","3025","42670","40170"
"In post","2022","National Infrastructure Commission","Female","20","20","[c]","[c]"
"In post","2022","National Infrastructure Commission","Male","25","25","[c]","[c]"
"In post","2022","National Records of Scotland","Female","245","230","36570","34600"
"In post","2022","National Records of Scotland","Male","210","200","35630","31540"
"In post","2022","National Savings and Investments","Female","95","95","47380","44000"
"In post","2022","National Savings and Investments","Male","105","105","54210","49010"
"In post","2022","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Female","100","100","45360","41750"
"In post","2022","Northern Ireland Office","Male","75","75","47750","41750"
"In post","2022","Office for Budget Responsibility","Female","20","15","[c]","[c]"
"In post","2022","Office for Budget Responsibility","Male","25","25","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Female","1230","1170","49600","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Male","595","590","51760","51360"
"In post","2022","Office of Gas and Electricity Markets","Female","625","605","42170","36500"
"In post","2022","Office of Gas and Electricity Markets","Male","725","720","44610","38030"
"In post","2022","Office of Qualifications and Examinations Regulation","Female","180","170","42880","38630"
"In post","2022","Office of Qualifications and Examinations Regulation","Male","110","110","47450","46660"
"In post","2022","Office of Rail and Road","Female","150","140","50430","50810"
"In post","2022","Office of Rail and Road","Male","200","195","56820","55430"
"In post","2022","Office of the Public Guardian","Female","795","720","23910","20970"
"In post","2022","Office of the Public Guardian","Male","635","605","24120","20970"
"In post","2022","Office of the Scottish Charity Regulator","Female","25","20","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Male","20","20","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","75","70","47490","43000"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","45","45","50140","51710"
"In post","2022","Office of the Secretary of State for Wales","Female","20","20","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Male","25","25","[c]","[c]"
"In post","2022","Planning Inspectorate","Female","365","325","40140","34860"
"In post","2022","Planning Inspectorate","Male","435","405","45530","47660"
"In post","2022","Queen Elizabeth II Centre","Female","15","15","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","Male","30","30","41650","37730"
"In post","2022","Registers of Scotland","Female","595","560","33760","30840"
"In post","2022","Registers of Scotland","Male","585","575","34080","30840"
"In post","2022","Revenue Scotland","Female","45","45","39700","36130"
"In post","2022","Revenue Scotland","Male","35","35","39240","36130"
"In post","2022","Royal Fleet Auxiliary","Female","170","170","32470","32400"
"In post","2022","Royal Fleet Auxiliary","Male","1590","1590","37990","34460"
"In post","2022","Rural Payments Agency","Female","1470","1295","25750","21300"
"In post","2022","Rural Payments Agency","Male","1095","1065","26650","24920"
"In post","2022","Scottish Courts and Tribunals Service","Female","1310","1175","28300","23780"
"In post","2022","Scottish Courts and Tribunals Service","Male","610","575","29210","23780"
"In post","2022","Scottish Fiscal Commission","Female","10","10","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Male","15","15","[c]","[c]"
"In post","2022","Scottish Forestry","Female","100","90","31910","30540"
"In post","2022","Scottish Forestry","Male","90","90","40660","39050"
"In post","2022","Scottish Government (excl. agencies)","Female","4960","4675","43610","39660"
"In post","2022","Scottish Government (excl. agencies)","Male","3890","3825","44740","40130"
"In post","2022","Scottish Housing Regulator","Female","35","30","50950","47490"
"In post","2022","Scottish Housing Regulator","Male","20","20","[c]","[c]"
"In post","2022","Scottish Prison Service","Female","1620","1530","31130","29550"
"In post","2022","Scottish Prison Service","Male","2940","2745","33700","35000"
"In post","2022","Scottish Public Pensions Agency","Female","170","150","29030","25930"
"In post","2022","Scottish Public Pensions Agency","Male","140","135","31820","25930"
"In post","2022","Serious Fraud Office","Female","200","195","45770","40700"
"In post","2022","Serious Fraud Office","Male","255","250","48390","42050"
"In post","2022","Social Security Scotland","Female","1465","1400","30340","27230"
"In post","2022","Social Security Scotland","Male","980","975","31320","27230"
"In post","2022","Standards and Testing Agency","Female","85","80","41790","41400"
"In post","2022","Standards and Testing Agency","Male","40","40","42360","36900"
"In post","2022","Student Awards Agency for Scotland","Female","130","120","30430","27230"
"In post","2022","Student Awards Agency for Scotland","Male","100","100","32980","30040"
"In post","2022","Submarine Delivery Agency","Female","605","570","37900","34770"
"In post","2022","Submarine Delivery Agency","Male","1345","1330","42470","40290"
"In post","2022","Teaching Regulation Agency","Female","55","50","29580","26000"
"In post","2022","Teaching Regulation Agency","Male","30","30","[c]","[c]"
"In post","2022","The Insolvency Service","Female","985","920","31710","26410"
"In post","2022","The Insolvency Service","Male","735","715","34990","33720"
"In post","2022","The National Archives","Female","305","290","35420","34120"
"In post","2022","The National Archives","Male","270","265","36030","32310"
"In post","2022","Transport Scotland","Female","235","225","42350","39660"
"In post","2022","Transport Scotland","Male","290","290","47920","47490"
"In post","2022","UK Debt Management Office","Female","35","30","50940","44130"
"In post","2022","UK Debt Management Office","Male","80","80","61180","56000"
"In post","2022","UK Export Finance","Female","215","210","48260","42000"
"In post","2022","UK Export Finance","Male","280","275","56310","51390"
"In post","2022","UK Health Security Agency","Female","4340","3980","41020","36330"
"In post","2022","UK Health Security Agency","Male","2265","2180","47150","40170"
"In post","2022","UK Hydrographic Office","Female","310","285","34240","33290"
"In post","2022","UK Hydrographic Office","Male","600","580","35920","33290"
"In post","2022","UK Space Agency","Female","130","130","43540","40050"
"In post","2022","UK Space Agency","Male","130","130","48390","49080"
"In post","2022","UK Statistics Authority","Female","3360","2950","32720","30710"
"In post","2022","UK Statistics Authority","Male","2510","2305","35200","30810"
"In post","2022","UK Statistics Authority","Unknown","15","15","[c]","[c]"
"In post","2022","UK Supreme Court","Female","30","25","[c]","[c]"
"In post","2022","UK Supreme Court","Male","25","25","[c]","[c]"
"In post","2022","Valuation Office Agency","Female","1990","1815","33290","29440"
"In post","2022","Valuation Office Agency","Male","1870","1805","36790","32890"
"In post","2022","Vehicle Certification Agency","Female","75","70","28740","26710"
"In post","2022","Vehicle Certification Agency","Male","130","125","40270","38150"
"In post","2022","Veterinary Medicines Directorate","Female","110","105","37820","35580"
"In post","2022","Veterinary Medicines Directorate","Male","65","65","44760","47550"
"In post","2022","Water Services Regulation Authority","Female","135","130","52660","44850"
"In post","2022","Water Services Regulation Authority","Male","125","120","56760","51630"
"In post","2022","Welsh Government (excl. agencies)","Female","3505","3245","40780","38160"
"In post","2022","Welsh Government (excl. agencies)","Male","2380","2315","43620","38160"
"In post","2022","Welsh Revenue Authority","Female","45","45","41910","38160"
"In post","2022","Welsh Revenue Authority","Male","35","35","46680","41980"
"In post","2022","Wilton Park","Female","75","65","35030","30700"
"In post","2022","Wilton Park","Male","10","10","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Female","35","[c]","31110","28210"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Male","30","[c]","33920","30950"
"Leaver CS","2022","Animal and Plant Health Agency","Female","160","[c]","27580","24920"
"Leaver CS","2022","Animal and Plant Health Agency","Male","120","[c]","32260","28070"
"Leaver CS","2022","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Female","345","[c]","48070","40600"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Male","380","[c]","53190","54700"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Male","30","[c]","35790","31010"
"Leaver CS","2022","Charity Commission","Female","25","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Male","35","[c]","38300","31870"
"Leaver CS","2022","Companies House","Female","50","[c]","26820","22740"
"Leaver CS","2022","Companies House","Male","35","[c]","35160","35800"
"Leaver CS","2022","Competition and Markets Authority","Female","55","[c]","53920","53920"
"Leaver CS","2022","Competition and Markets Authority","Male","45","[c]","50720","45890"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Female","30","[c]","37830","35940"
"Leaver CS","2022","Crown Commercial Service","Male","50","[c]","38580","36020"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Female","70","[c]","33500","23230"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Male","40","[c]","33230","23230"
"Leaver CS","2022","Crown Prosecution Service","Female","260","[c]","37580","29270"
"Leaver CS","2022","Crown Prosecution Service","Male","150","[c]","45570","51500"
"Leaver CS","2022","Defence Electronics and Components Agency","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Female","265","[c]","31670","26950"
"Leaver CS","2022","Defence Equipment and Support","Male","625","[c]","34180","31600"
"Leaver CS","2022","Defence Science and Technology Laboratory","Female","90","[c]","34470","29850"
"Leaver CS","2022","Defence Science and Technology Laboratory","Male","215","[c]","37310","38070"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","145","[c]","43680","40050"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","165","[c]","48550","53380"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Female","85","[c]","39170","34020"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Male","70","[c]","45480","38010"
"Leaver CS","2022","Department for Education (excl. agencies)","Female","195","[c]","38340","32940"
"Leaver CS","2022","Department for Education (excl. agencies)","Male","165","[c]","43780","37100"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","235","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","195","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Female","100","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Male","125","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","85","[c]","43100","39600"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","85","[c]","43190","36340"
"Leaver CS","2022","Department for Transport (excl. agencies)","Female","105","[c]","43160","35430"
"Leaver CS","2022","Department for Transport (excl. agencies)","Male","130","[c]","47160","43360"
"Leaver CS","2022","Department for Work and Pensions (excl. agencies)","Female","5350","[c]","26650","27570"
"Leaver CS","2022","Department for Work and Pensions (excl. agencies)","Male","3310","[c]","27550","27570"
"Leaver CS","2022","Department of Health and Social Care (excl. agencies)","Female","375","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care (excl. agencies)","Male","260","[c]","[c]","[c]"
"Leaver CS","2022","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Disclosure Scotland","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","Female","245","[c]","23170","21840"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","Male","170","[c]","26460","21840"
"Leaver CS","2022","Driver and Vehicle Standards Agency","Female","115","[c]","27810","26470"
"Leaver CS","2022","Driver and Vehicle Standards Agency","Male","340","[c]","28740","26780"
"Leaver CS","2022","Education and Skills Funding Agency","Female","30","[c]","49350","49860"
"Leaver CS","2022","Education and Skills Funding Agency","Male","45","[c]","44510","38700"
"Leaver CS","2022","Education Scotland","Female","20","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","Female","25","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","Male","45","[c]","46480","43330"
"Leaver CS","2022","Food Standards Agency","Female","25","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Male","55","[c]","34730","30320"
"Leaver CS","2022","Food Standards Scotland","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Female","145","[c]","51090","51960"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Male","190","[c]","47750","41740"
"Leaver CS","2022","Forestry and Land Scotland","Female","40","[c]","29770","25940"
"Leaver CS","2022","Forestry and Land Scotland","Male","80","[c]","30070","27360"
"Leaver CS","2022","Government Actuary's Department","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","Female","20","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","Female","125","[c]","52740","51250"
"Leaver CS","2022","Government Legal Department","Male","75","[c]","51440","51250"
"Leaver CS","2022","Government Property Agency","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","Female","105","[c]","35890","31660"
"Leaver CS","2022","Health and Safety Executive","Male","100","[c]","45270","44220"
"Leaver CS","2022","HM Courts and Tribunals Service","Female","1360","[c]","23500","20970"
"Leaver CS","2022","HM Courts and Tribunals Service","Male","685","[c]","24880","21010"
"Leaver CS","2022","HM Land Registry","Female","230","[c]","31680","27130"
"Leaver CS","2022","HM Land Registry","Male","175","[c]","34600","33840"
"Leaver CS","2022","HM Prison and Probation Service","Female","3565","[c]","30510","26720"
"Leaver CS","2022","HM Prison and Probation Service","Male","3625","[c]","34170","31650"
"Leaver CS","2022","HM Revenue and Customs (excl. agencies)","Female","2620","[c]","30290","26820"
"Leaver CS","2022","HM Revenue and Customs (excl. agencies)","Male","2085","[c]","36410","33370"
"Leaver CS","2022","HM Treasury (excl. agencies)","Female","85","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury (excl. agencies)","Male","95","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Female","1030","[c]","30600","25630"
"Leaver CS","2022","Home Office","Male","1060","[c]","33210","27910"
"Leaver CS","2022","Institute for Apprenticeships and Technical Education","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intellectual Property Office","Female","20","[c]","[c]","[c]"
"Leaver CS","2022","Intellectual Property Office","Male","40","[c]","35510","25810"
"Leaver CS","2022","Legal Aid Agency","Female","30","[c]","[c]","[c]"
"Leaver CS","2022","Legal Aid Agency","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","Maritime and Coastguard Agency","Female","70","[c]","28930","26470"
"Leaver CS","2022","Maritime and Coastguard Agency","Male","90","[c]","39420","34090"
"Leaver CS","2022","Medicines and Healthcare Products Regulatory Agency","Female","160","[c]","43540","33190"
"Leaver CS","2022","Medicines and Healthcare Products Regulatory Agency","Male","110","[c]","53980","53100"
"Leaver CS","2022","Met Office","Female","40","[c]","31820","32730"
"Leaver CS","2022","Met Office","Male","95","[c]","36400","36510"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Female","1360","[c]","29620","26350"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Male","2020","[c]","32710","29250"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Female","240","[c]","40580","34260"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Male","180","[c]","43730","41750"
"Leaver CS","2022","National Crime Agency","Female","120","[c]","39450","34140"
"Leaver CS","2022","National Crime Agency","Male","200","[c]","44200","41170"
"Leaver CS","2022","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Female","135","[c]","50600","51360"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Male","55","[c]","58370","62220"
"Leaver CS","2022","Office of Gas and Electricity Markets","Female","110","[c]","41580","35980"
"Leaver CS","2022","Office of Gas and Electricity Markets","Male","125","[c]","49330","41410"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Public Guardian","Female","35","[c]","23280","20970"
"Leaver CS","2022","Office of the Public Guardian","Male","30","[c]","22310","20970"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Female","25","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Male","45","[c]","46430","47660"
"Leaver CS","2022","Public Health England","Female","1160","[c]","42710","38200"
"Leaver CS","2022","Public Health England","Male","360","[c]","45250","38200"
"Leaver CS","2022","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Royal Fleet Auxiliary","Female","25","[c]","[c]","[c]"
"Leaver CS","2022","Royal Fleet Auxiliary","Male","215","[c]","36610","33570"
"Leaver CS","2022","Rural Payments Agency","Female","90","[c]","25860","21300"
"Leaver CS","2022","Rural Payments Agency","Male","85","[c]","24800","21300"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Female","105","[c]","26300","23780"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Male","60","[c]","33620","27120"
