"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Unknown","Male","80","75","29540","27810"
"In post","2022","East of England","East Anglia","AA","Female","435","400","20270","20480"
"In post","2022","East of England","East Anglia","AA","Male","470","445","20450","20890"
"In post","2022","East of England","East Anglia","AO","Female","1965","1705","22890","21680"
"In post","2022","East of England","East Anglia","AO","Male","1940","1875","26390","25700"
"In post","2022","East of England","East Anglia","EO","Female","1785","1590","27190","27570"
"In post","2022","East of England","East Anglia","EO","Male","1505","1455","28390","27570"
"In post","2022","East of England","East Anglia","G6","Female","75","70","69660","67840"
"In post","2022","East of England","East Anglia","G6","Male","110","105","68580","65390"
"In post","2022","East of England","East Anglia","G7","Female","270","255","53680","51970"
"In post","2022","East of England","East Anglia","G7","Male","295","290","54760","53500"
"In post","2022","East of England","East Anglia","HEO","Female","925","870","32620","33000"
"In post","2022","East of England","East Anglia","HEO","Male","1040","1010","33800","33300"
"In post","2022","East of England","East Anglia","SCS level","Female","25","20","[c]","[c]"
"In post","2022","East of England","East Anglia","SCS level","Male","40","40","102620","103000"
"In post","2022","East of England","East Anglia","SEO","Female","525","495","41460","40390"
"In post","2022","East of England","East Anglia","SEO","Male","635","615","42180","40580"
"In post","2022","East of England","East Anglia","Unknown","Female","620","560","28120","26010"
"In post","2022","East of England","East Anglia","Unknown","Male","250","235","29090","26320"
"In post","2022","East of England","Essex","AA","Female","80","70","20110","19200"
"In post","2022","East of England","Essex","AA","Male","105","100","20710","20550"
"In post","2022","East of England","Essex","AO","Female","785","690","23640","23770"
"In post","2022","East of England","Essex","AO","Male","445","430","25690","24250"
"In post","2022","East of England","Essex","EO","Female","1205","1075","28830","29290"
"In post","2022","East of England","Essex","EO","Male","850","795","28630","28920"
"In post","2022","East of England","Essex","G6","Female","25","25","[c]","[c]"
"In post","2022","East of England","Essex","G6","Male","35","35","70730","67910"
"In post","2022","East of England","Essex","G7","Female","140","130","56470","54890"
"In post","2022","East of England","Essex","G7","Male","110","110","57630","55210"
"In post","2022","East of England","Essex","HEO","Female","335","310","33980","33370"
"In post","2022","East of England","Essex","HEO","Male","315","305","34010","33370"
"In post","2022","East of England","Essex","SCS level","Female","10","10","[c]","[c]"
"In post","2022","East of England","Essex","SCS level","Male","20","20","[c]","[c]"
"In post","2022","East of England","Essex","SEO","Female","220","200","41460","40520"
"In post","2022","East of England","Essex","SEO","Male","175","175","42790","40520"
"In post","2022","East of England","Essex","Unknown","Female","350","315","28660","24800"
"In post","2022","East of England","Essex","Unknown","Male","110","105","29860","26310"
"In post","2022","London","Inner London - East","AA","Female","135","125","23690","22460"
"In post","2022","London","Inner London - East","AA","Male","100","95","23480","22680"
"In post","2022","London","Inner London - East","AO","Female","1385","1220","25690","25110"
"In post","2022","London","Inner London - East","AO","Male","1035","995","28180","25860"
"In post","2022","London","Inner London - East","EO","Female","2915","2725","31120","31060"
"In post","2022","London","Inner London - East","EO","Male","2040","2000","31430","31060"
"In post","2022","London","Inner London - East","G6","Female","580","545","72370","72300"
"In post","2022","London","Inner London - East","G6","Male","655","635","73240","74010"
"In post","2022","London","Inner London - East","G7","Female","1300","1240","58120","58380"
"In post","2022","London","Inner London - East","G7","Male","1440","1415","59290","60280"
"In post","2022","London","Inner London - East","HEO","Female","1815","1750","36870","37610"
"In post","2022","London","Inner London - East","HEO","Male","1645","1615","38060","37930"
"In post","2022","London","Inner London - East","SCS level","Female","280","260","96600","91440"
"In post","2022","London","Inner London - East","SCS level","Male","320","315","98070","92640"
"In post","2022","London","Inner London - East","SEO","Female","1230","1195","43910","43430"
"In post","2022","London","Inner London - East","SEO","Male","1155","1135","45060","43810"
"In post","2022","London","Inner London - East","Unknown","Female","720","690","35210","34100"
"In post","2022","London","Inner London - East","Unknown","Male","300","290","36310","34100"
"In post","2022","London","Inner London - West","AA","Female","210","190","23080","22460"
"In post","2022","London","Inner London - West","AA","Male","375","365","23010","22460"
"In post","2022","London","Inner London - West","AO","Female","1895","1755","25690","24310"
"In post","2022","London","Inner London - West","AO","Male","1530","1500","27610","25140"
"In post","2022","London","Inner London - West","EO","Female","4380","4225","29230","28760"
"In post","2022","London","Inner London - West","EO","Male","2720","2685","29530","29030"
"In post","2022","London","Inner London - West","G6","Female","3600","3380","67840","66230"
"In post","2022","London","Inner London - West","G6","Male","3475","3430","69160","67100"
"In post","2022","London","Inner London - West","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","Inner London - West","G7","Female","8260","7895","55760","54700"
"In post","2022","London","Inner London - West","G7","Male","7425","7335","56570","54850"
"In post","2022","London","Inner London - West","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","Inner London - West","HEO","Female","7095","6945","34610","34260"
"In post","2022","London","Inner London - West","HEO","Male","5850","5815","34940","34550"
"In post","2022","London","Inner London - West","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","Inner London - West","SCS level","Female","1805","1710","86550","78520"
"In post","2022","London","Inner London - West","SCS level","Male","1915","1890","92940","82720"
"In post","2022","London","Inner London - West","SEO","Female","5250","5090","42390","41750"
"In post","2022","London","Inner London - West","SEO","Male","4690","4645","42890","41970"
"In post","2022","London","Inner London - West","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","Inner London - West","Unknown","Female","180","175","36550","35990"
"In post","2022","London","Inner London - West","Unknown","Male","100","100","37400","34100"
"In post","2022","London","Outer London - East and North East","AA","Female","170","160","23550","24080"
"In post","2022","London","Outer London - East and North East","AA","Male","95","95","23880","24080"
"In post","2022","London","Outer London - East and North East","AO","Female","660","590","26310","25110"
"In post","2022","London","Outer London - East and North East","AO","Male","530","520","29660","30460"
"In post","2022","London","Outer London - East and North East","EO","Female","1090","980","31030","31060"
"In post","2022","London","Outer London - East and North East","EO","Male","655","635","31770","31060"
"In post","2022","London","Outer London - East and North East","G6","Female","10","10","[c]","[c]"
"In post","2022","London","Outer London - East and North East","G6","Male","10","10","[c]","[c]"
"In post","2022","London","Outer London - East and North East","G7","Female","25","25","[c]","[c]"
"In post","2022","London","Outer London - East and North East","G7","Male","20","20","[c]","[c]"
"In post","2022","London","Outer London - East and North East","HEO","Female","125","120","36340","36650"
"In post","2022","London","Outer London - East and North East","HEO","Male","165","160","38310","37940"
"In post","2022","London","Outer London - East and North East","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","London","Outer London - East and North East","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","London","Outer London - East and North East","SEO","Female","80","80","45260","42900"
"In post","2022","London","Outer London - East and North East","SEO","Male","45","45","47540","46600"
"In post","2022","London","Outer London - East and North East","Unknown","Female","275","260","32740","30200"
"In post","2022","London","Outer London - East and North East","Unknown","Male","100","100","35680","34100"
"In post","2022","London","Outer London - South","AA","Female","120","100","22290","22460"
"In post","2022","London","Outer London - South","AA","Male","105","100","22160","22460"
"In post","2022","London","Outer London - South","AO","Female","1090","955","25160","25630"
"In post","2022","London","Outer London - South","AO","Male","545","530","25350","25630"
"In post","2022","London","Outer London - South","EO","Female","2075","1910","30110","30110"
"In post","2022","London","Outer London - South","EO","Male","1310","1290","30440","30600"
"In post","2022","London","Outer London - South","G6","Female","260","250","72490","72610"
"In post","2022","London","Outer London - South","G6","Male","325","315","73470","74390"
"In post","2022","London","Outer London - South","G7","Female","600","580","59870","58050"
"In post","2022","London","Outer London - South","G7","Male","725","710","60630","60940"
"In post","2022","London","Outer London - South","HEO","Female","1315","1255","36380","36300"
"In post","2022","London","Outer London - South","HEO","Male","1135","1115","36880","37290"
"In post","2022","London","Outer London - South","SCS level","Female","60","55","85570","82180"
"In post","2022","London","Outer London - South","SCS level","Male","40","40","93400","82530"
"In post","2022","London","Outer London - South","SEO","Female","925","885","44040","43430"
"In post","2022","London","Outer London - South","SEO","Male","855","835","44360","43810"
"In post","2022","London","Outer London - South","Unknown","Female","255","235","33270","32090"
"In post","2022","London","Outer London - South","Unknown","Male","75","75","34210","33700"
"In post","2022","London","Outer London - West and North West","AA","Female","165","135","22950","22460"
"In post","2022","London","Outer London - West and North West","AA","Male","150","140","22970","22460"
"In post","2022","London","Outer London - West and North West","AO","Female","900","795","25850","25110"
"In post","2022","London","Outer London - West and North West","AO","Male","670","640","27620","25630"
"In post","2022","London","Outer London - West and North West","EO","Female","2100","1905","29930","30350"
"In post","2022","London","Outer London - West and North West","EO","Male","1835","1740","29800","29610"
"In post","2022","London","Outer London - West and North West","G6","Female","85","80","69540","67620"
"In post","2022","London","Outer London - West and North West","G6","Male","80","75","71220","68830"
"In post","2022","London","Outer London - West and North West","G7","Female","235","225","55340","54210"
"In post","2022","London","Outer London - West and North West","G7","Male","210","210","56930","57430"
"In post","2022","London","Outer London - West and North West","HEO","Female","730","690","34620","35070"
"In post","2022","London","Outer London - West and North West","HEO","Male","620","600","35360","35200"
"In post","2022","London","Outer London - West and North West","SCS level","Female","35","30","112450","103260"
"In post","2022","London","Outer London - West and North West","SCS level","Male","30","25","111420","102100"
"In post","2022","London","Outer London - West and North West","SEO","Female","440","425","42600","41960"
"In post","2022","London","Outer London - West and North West","SEO","Male","415","410","43640","42440"
"In post","2022","London","Outer London - West and North West","Unknown","Female","295","280","32770","32090"
"In post","2022","London","Outer London - West and North West","Unknown","Male","125","120","33960","31980"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","AA","Female","365","250","20930","21250"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","AA","Male","195","185","20480","21250"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","AO","Female","5190","4180","21410","21260"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","AO","Male","2930","2750","21380","21260"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","EO","Female","3585","3170","26960","27570"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","EO","Male","2385","2290","26980","26820"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","G6","Female","220","210","65540","66680"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","G6","Male","285","280","67710","67910"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","G7","Female","690","660","52930","54160"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","G7","Male","970","955","53710","54980"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","HEO","Female","1840","1725","32630","33080"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","HEO","Male","1640","1600","32850","33080"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","SCS level","Female","45","45","82800","75050"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","SCS level","Male","55","55","90610","85800"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","SEO","Female","1115","1045","39440","40180"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","SEO","Male","1155","1130","39910","40390"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","Unknown","Female","440","410","28750","28200"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","Unknown","Male","140","135","31570","28970"
"In post","2022","North East (England)","Tees Valley and Durham","AA","Female","255","220","20500","20890"
"In post","2022","North East (England)","Tees Valley and Durham","AA","Male","245","225","20730","20890"
"In post","2022","North East (England)","Tees Valley and Durham","AO","Female","2290","1955","22590","21680"
"In post","2022","North East (England)","Tees Valley and Durham","AO","Male","1735","1620","25200","23140"
"In post","2022","North East (England)","Tees Valley and Durham","EO","Female","1500","1320","27170","27570"
"In post","2022","North East (England)","Tees Valley and Durham","EO","Male","960","910","28040","27570"
"In post","2022","North East (England)","Tees Valley and Durham","G6","Female","55","55","66800","61960"
"In post","2022","North East (England)","Tees Valley and Durham","G6","Male","55","55","66290","63130"
"In post","2022","North East (England)","Tees Valley and Durham","G7","Female","250","235","52980","50530"
"In post","2022","North East (England)","Tees Valley and Durham","G7","Male","190","185","53600","50630"
"In post","2022","North East (England)","Tees Valley and Durham","HEO","Female","580","550","32040","31180"
"In post","2022","North East (England)","Tees Valley and Durham","HEO","Male","415","395","33220","32470"
"In post","2022","North East (England)","Tees Valley and Durham","SCS level","Female","20","20","[c]","[c]"
"In post","2022","North East (England)","Tees Valley and Durham","SCS level","Male","10","10","[c]","[c]"
"In post","2022","North East (England)","Tees Valley and Durham","SEO","Female","410","385","40270","38020"
"In post","2022","North East (England)","Tees Valley and Durham","SEO","Male","285","280","42120","38880"
"In post","2022","North East (England)","Tees Valley and Durham","Unknown","Female","475","445","29570","28200"
"In post","2022","North East (England)","Tees Valley and Durham","Unknown","Male","125","125","30790","28200"
"In post","2022","North West (England)","Cheshire","AA","Female","85","75","20510","20890"
"In post","2022","North West (England)","Cheshire","AA","Male","80","75","20790","20890"
"In post","2022","North West (England)","Cheshire","AO","Female","715","625","22760","21260"
"In post","2022","North West (England)","Cheshire","AO","Male","475","455","24720","23140"
"In post","2022","North West (England)","Cheshire","EO","Female","785","730","29150","27570"
"In post","2022","North West (England)","Cheshire","EO","Male","585","570","30600","29830"
"In post","2022","North West (England)","Cheshire","G6","Female","40","40","66980","64440"
"In post","2022","North West (England)","Cheshire","G6","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Cheshire","G7","Female","115","110","54500","54800"
"In post","2022","North West (England)","Cheshire","G7","Male","115","110","54000","51340"
"In post","2022","North West (England)","Cheshire","HEO","Female","335","320","35140","35900"
"In post","2022","North West (England)","Cheshire","HEO","Male","350","340","37400","37250"
"In post","2022","North West (England)","Cheshire","SCS level","Female","10","10","[c]","[c]"
"In post","2022","North West (England)","Cheshire","SCS level","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","Cheshire","SEO","Female","185","175","42790","42630"
"In post","2022","North West (England)","Cheshire","SEO","Male","190","185","44430","45480"
"In post","2022","North West (England)","Cheshire","Unknown","Female","225","210","29040","28200"
"In post","2022","North West (England)","Cheshire","Unknown","Male","65","60","28990","26360"
"In post","2022","North West (England)","Cumbria","AA","Female","40","35","20150","19810"
"In post","2022","North West (England)","Cumbria","AA","Male","40","40","20320","20060"
"In post","2022","North West (England)","Cumbria","AO","Female","535","450","21730","21300"
"In post","2022","North West (England)","Cumbria","AO","Male","335","325","23660","21300"
"In post","2022","North West (England)","Cumbria","EO","Female","370","325","26230","26050"
"In post","2022","North West (England)","Cumbria","EO","Male","230","225","26380","25990"
"In post","2022","North West (England)","Cumbria","G6","Female","5","5","[c]","[c]"
"In post","2022","North West (England)","Cumbria","G6","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","Cumbria","G7","Female","50","50","54430","50430"
"In post","2022","North West (England)","Cumbria","G7","Male","35","35","54390","50110"
"In post","2022","North West (England)","Cumbria","HEO","Female","115","105","30660","30400"
"In post","2022","North West (England)","Cumbria","HEO","Male","95","90","31720","31100"
"In post","2022","North West (England)","Cumbria","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Cumbria","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Cumbria","SEO","Female","75","70","39310","37230"
"In post","2022","North West (England)","Cumbria","SEO","Male","60","55","40850","37920"
"In post","2022","North West (England)","Cumbria","Unknown","Female","145","135","32190","30000"
"In post","2022","North West (England)","Cumbria","Unknown","Male","165","155","40920","38570"
"In post","2022","North West (England)","Greater Manchester","AA","Female","245","220","20150","20480"
"In post","2022","North West (England)","Greater Manchester","AA","Male","210","195","20460","20890"
"In post","2022","North West (England)","Greater Manchester","AO","Female","2930","2545","21540","21260"
"In post","2022","North West (England)","Greater Manchester","AO","Male","2125","2045","22520","21260"
"In post","2022","North West (England)","Greater Manchester","EO","Female","3215","2955","26790","27370"
"In post","2022","North West (England)","Greater Manchester","EO","Male","2780","2695","27040","26820"
"In post","2022","North West (England)","Greater Manchester","G6","Female","290","280","66100","66610"
"In post","2022","North West (England)","Greater Manchester","G6","Male","350","345","67890","67910"
"In post","2022","North West (England)","Greater Manchester","G7","Female","945","900","53120","52240"
"In post","2022","North West (England)","Greater Manchester","G7","Male","1005","990","54290","55000"
"In post","2022","North West (England)","Greater Manchester","HEO","Female","1825","1730","32380","33080"
"In post","2022","North West (England)","Greater Manchester","HEO","Male","1920","1880","32750","33080"
"In post","2022","North West (England)","Greater Manchester","SCS level","Female","65","65","87050","80000"
"In post","2022","North West (England)","Greater Manchester","SCS level","Male","75","70","90330","84780"
"In post","2022","North West (England)","Greater Manchester","SEO","Female","1245","1190","39470","40160"
"In post","2022","North West (England)","Greater Manchester","SEO","Male","1190","1165","39980","40180"
"In post","2022","North West (England)","Greater Manchester","Unknown","Female","870","815","29310","28200"
"In post","2022","North West (England)","Greater Manchester","Unknown","Male","325","305","30260","28200"
"In post","2022","North West (England)","Lancashire","AA","Female","245","210","20500","20890"
"In post","2022","North West (England)","Lancashire","AA","Male","205","185","21050","20890"
"In post","2022","North West (England)","Lancashire","AO","Female","3195","2725","21780","21260"
"In post","2022","North West (England)","Lancashire","AO","Male","2370","2250","23140","21260"
"In post","2022","North West (England)","Lancashire","EO","Female","2665","2340","27430","27570"
"In post","2022","North West (England)","Lancashire","EO","Male","1770","1695","27930","27570"
"In post","2022","North West (England)","Lancashire","G6","Female","115","110","66840","65450"
"In post","2022","North West (England)","Lancashire","G6","Male","155","150","69990","67910"
"In post","2022","North West (England)","Lancashire","G7","Female","380","360","52930","50430"
"In post","2022","North West (England)","Lancashire","G7","Male","345","340","54220","54160"
"In post","2022","North West (England)","Lancashire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Lancashire","HEO","Female","880","815","32780","32170"
"In post","2022","North West (England)","Lancashire","HEO","Male","635","600","33910","33370"
"In post","2022","North West (England)","Lancashire","SCS level","Female","30","30","[c]","[c]"
"In post","2022","North West (England)","Lancashire","SCS level","Male","20","20","[c]","[c]"
"In post","2022","North West (England)","Lancashire","SEO","Female","620","585","39720","38340"
"In post","2022","North West (England)","Lancashire","SEO","Male","485","470","40720","40180"
"In post","2022","North West (England)","Lancashire","Unknown","Female","515","475","29250","26310"
"In post","2022","North West (England)","Lancashire","Unknown","Male","145","135","31010","30980"
"In post","2022","North West (England)","Merseyside","AA","Female","250","210","18930","18240"
"In post","2022","North West (England)","Merseyside","AA","Male","250","235","19540","19050"
"In post","2022","North West (England)","Merseyside","AO","Female","4190","3545","21550","21260"
"In post","2022","North West (England)","Merseyside","AO","Male","2415","2305","22030","21680"
"In post","2022","North West (England)","Merseyside","EO","Female","4120","3680","26510","26820"
"In post","2022","North West (England)","Merseyside","EO","Male","2560","2470","26550","26700"
"In post","2022","North West (England)","Merseyside","G6","Female","170","165","67100","66610"
"In post","2022","North West (England)","Merseyside","G6","Male","175","170","67430","67910"
"In post","2022","North West (England)","Merseyside","G7","Female","655","620","53690","54160"
"In post","2022","North West (England)","Merseyside","G7","Male","595","580","55110","55210"
"In post","2022","North West (England)","Merseyside","HEO","Female","1725","1620","32270","32740"
"In post","2022","North West (England)","Merseyside","HEO","Male","1320","1295","32570","33080"
"In post","2022","North West (England)","Merseyside","SCS level","Female","35","35","86650","77400"
"In post","2022","North West (England)","Merseyside","SCS level","Male","45","45","91490","84660"
"In post","2022","North West (England)","Merseyside","SEO","Female","1015","965","39630","40170"
"In post","2022","North West (England)","Merseyside","SEO","Male","885","870","40940","40180"
"In post","2022","North West (England)","Merseyside","Unknown","Female","635","600","28690","25640"
"In post","2022","North West (England)","Merseyside","Unknown","Male","180","165","29870","28200"
"In post","2022","Northern Ireland","Northern Ireland","AA","Female","70","65","19940","20560"
"In post","2022","Northern Ireland","Northern Ireland","AA","Male","415","405","20240","20560"
"In post","2022","Northern Ireland","Northern Ireland","AO","Female","605","525","21710","21680"
"In post","2022","Northern Ireland","Northern Ireland","AO","Male","555","535","21820","21250"
"In post","2022","Northern Ireland","Northern Ireland","EO","Female","570","525","26950","26820"
"In post","2022","Northern Ireland","Northern Ireland","EO","Male","535","525","26910","26820"
"In post","2022","Northern Ireland","Northern Ireland","G6","Female","30","30","71050","67910"
"In post","2022","Northern Ireland","Northern Ireland","G6","Male","30","30","68990","67910"
"In post","2022","Northern Ireland","Northern Ireland","G7","Female","105","105","53730","55210"
"In post","2022","Northern Ireland","Northern Ireland","G7","Male","130","125","55080","55210"
"In post","2022","Northern Ireland","Northern Ireland","HEO","Female","400","385","33360","33080"
"In post","2022","Northern Ireland","Northern Ireland","HEO","Male","400","400","33790","33370"
"In post","2022","Northern Ireland","Northern Ireland","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Northern Ireland","Northern Ireland","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Northern Ireland","Northern Ireland","SEO","Female","190","185","39890","40180"
"In post","2022","Northern Ireland","Northern Ireland","SEO","Male","200","195","40570","40180"
"In post","2022","Northern Ireland","Northern Ireland","Unknown","Female","[c]","[c]","[c]","[c]"
