"Status","Year","Age","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","Counter Fraud","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Counter Fraud","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","415","410","38570","37610"
"In post","2022","30-39","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","1770","1725","33390","33080"
"In post","2022","30-39","Counter Fraud","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","Serious Fraud Office","London","65","60","42300","40000"
"In post","2022","30-39","Counter Fraud","The Insolvency Service","London","5","5","[c]","[c]"
"In post","2022","30-39","Counter Fraud","The Insolvency Service","Outside London","30","30","35020","34390"
"In post","2022","30-39","Debt","Department for Work and Pensions (excl. agencies)","Outside London","450","390","22480","21260"
"In post","2022","30-39","Debt","HM Revenue and Customs (excl. agencies)","London","25","20","26420","25330"
"In post","2022","30-39","Debt","HM Revenue and Customs (excl. agencies)","Outside London","820","760","23250","21250"
"In post","2022","30-39","Debt","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","345","340","52550","54700"
"In post","2022","30-39","Digital, Data & Technology","Cabinet Office (excl. agencies)","Outside London","75","75","45610","49700"
"In post","2022","30-39","Digital, Data & Technology","Cabinet Office (excl. agencies)","Unknown","10","10","40750","37300"
"In post","2022","30-39","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Charity Commission","Outside London","15","15","33260","29160"
"In post","2022","30-39","Digital, Data & Technology","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Companies House","Outside London","55","50","39250","38000"
"In post","2022","30-39","Digital, Data & Technology","Competition and Markets Authority","London","30","30","59560","59450"
"In post","2022","30-39","Digital, Data & Technology","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Crown Commercial Service","London","10","10","49520","55220"
"In post","2022","30-39","Digital, Data & Technology","Crown Commercial Service","Outside London","30","30","43440","39360"
"In post","2022","30-39","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Outside London","15","15","39170","34040"
"In post","2022","30-39","Digital, Data & Technology","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Crown Prosecution Service","Outside London","25","20","34180","30130"
"In post","2022","30-39","Digital, Data & Technology","Defence Equipment and Support","Outside London","95","90","35880","33000"
"In post","2022","30-39","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","30","30","50220","53380"
"In post","2022","30-39","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","10","10","31710","30360"
"In post","2022","30-39","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Department for Education (excl. agencies)","London","80","75","51270","53420"
"In post","2022","30-39","Digital, Data & Technology","Department for Education (excl. agencies)","Outside London","235","230","40380","36500"
"In post","2022","30-39","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","London","15","15","49900","46660"
"In post","2022","30-39","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","160","155","41090","47550"
"In post","2022","30-39","Digital, Data & Technology","Department for International Trade","London","45","45","53160","53900"
"In post","2022","30-39","Digital, Data & Technology","Department for International Trade","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","London","30","30","54840","53130"
"In post","2022","30-39","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Department for Transport (excl. agencies)","London","15","15","47400","42890"
"In post","2022","30-39","Digital, Data & Technology","Department for Transport (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","London","70","70","48960","47040"
"In post","2022","30-39","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Outside London","695","675","42110","37830"
"In post","2022","30-39","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","London","45","40","48320","53360"
"In post","2022","30-39","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Outside London","230","230","37540","33430"
"In post","2022","30-39","Digital, Data & Technology","Driver and Vehicle Standards Agency","Outside London","65","65","34840","30730"
"In post","2022","30-39","Digital, Data & Technology","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","FCDO Services","Outside London","20","20","38060","37480"
"In post","2022","30-39","Digital, Data & Technology","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Food Standards Agency","Outside London","10","10","47000","48160"
"In post","2022","30-39","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","45","45","39060","33930"
"In post","2022","30-39","Digital, Data & Technology","Health and Safety Executive","Outside London","10","10","36560","33630"
"In post","2022","30-39","Digital, Data & Technology","HM Courts and Tribunals Service","London","50","45","45130","41750"
"In post","2022","30-39","Digital, Data & Technology","HM Courts and Tribunals Service","Outside London","65","65","35770","34260"
"In post","2022","30-39","Digital, Data & Technology","HM Land Registry","London","10","10","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","HM Land Registry","Outside London","130","125","36550","38450"
"In post","2022","30-39","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","London","45","45","47750","43810"
"In post","2022","30-39","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Outside London","615","605","39720","40180"
"In post","2022","30-39","Digital, Data & Technology","HM Treasury (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Intellectual Property Office","Outside London","50","50","43490","40260"
"In post","2022","30-39","Digital, Data & Technology","Maritime and Coastguard Agency","Outside London","30","30","35660","31080"
"In post","2022","30-39","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","London","30","25","46100","41130"
"In post","2022","30-39","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Met Office","London","10","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Met Office","Outside London","360","345","37010","37420"
"In post","2022","30-39","Digital, Data & Technology","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Ministry of Defence (excl. agencies)","London","40","40","44550","41500"
"In post","2022","30-39","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Outside London","370","360","32550","33000"
"In post","2022","30-39","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Overseas","10","10","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Ministry of Justice (excl. agencies)","London","170","165","54000","57420"
"In post","2022","30-39","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Outside London","120","120","43710","45500"
"In post","2022","30-39","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","National Crime Agency","London","15","15","47930","48900"
"In post","2022","30-39","Digital, Data & Technology","National Crime Agency","Outside London","40","40","38470","36740"
"In post","2022","30-39","Digital, Data & Technology","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Outside London","25","20","42120","39460"
"In post","2022","30-39","Digital, Data & Technology","Office of Gas and Electricity Markets","London","10","10","55930","54750"
"In post","2022","30-39","Digital, Data & Technology","Office of Gas and Electricity Markets","Outside London","10","10","49810","52100"
"In post","2022","30-39","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Planning Inspectorate","Outside London","15","15","37370","40720"
"In post","2022","30-39","Digital, Data & Technology","Registers of Scotland","Outside London","20","15","37700","30840"
"In post","2022","30-39","Digital, Data & Technology","Scottish Courts and Tribunals Service","Outside London","15","15","34640","36360"
"In post","2022","30-39","Digital, Data & Technology","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Serious Fraud Office","London","10","10","41590","37730"
"In post","2022","30-39","Digital, Data & Technology","Submarine Delivery Agency","Outside London","15","15","33960","34430"
"In post","2022","30-39","Digital, Data & Technology","The Insolvency Service","Outside London","15","10","44710","41870"
"In post","2022","30-39","Digital, Data & Technology","The National Archives","London","25","25","38800","37500"
"In post","2022","30-39","Digital, Data & Technology","UK Debt Management Office","London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","UK Export Finance","London","10","10","52160","49280"
"In post","2022","30-39","Digital, Data & Technology","UK Health Security Agency","London","20","20","40680","36860"
"In post","2022","30-39","Digital, Data & Technology","UK Health Security Agency","Outside London","20","20","37570","36330"
"In post","2022","30-39","Digital, Data & Technology","UK Hydrographic Office","Outside London","60","60","36520","33670"
"In post","2022","30-39","Digital, Data & Technology","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","UK Statistics Authority","London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","UK Statistics Authority","Outside London","200","195","40330","36840"
"In post","2022","30-39","Digital, Data & Technology","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Cabinet Office (excl. agencies)","London","25","25","51030","54700"
"In post","2022","30-39","Finance","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Companies House","Outside London","15","15","27370","24500"
"In post","2022","30-39","Finance","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Crown Commercial Service","Outside London","10","10","39900","38650"
"In post","2022","30-39","Finance","Crown Office and Procurator Fiscal Service","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Crown Prosecution Service","London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Crown Prosecution Service","Outside London","15","15","29650","25920"
"In post","2022","30-39","Finance","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Defence Equipment and Support","Outside London","70","65","37280","35000"
"In post","2022","30-39","Finance","Defence Science and Technology Laboratory","Outside London","15","10","40170","38070"
"In post","2022","30-39","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","40","40","61060","58900"
"In post","2022","30-39","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Department for Digital, Culture, Media and Sport","London","25","25","53090","56730"
"In post","2022","30-39","Finance","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Department for Education (excl. agencies)","London","20","15","53200","53760"
"In post","2022","30-39","Finance","Department for Education (excl. agencies)","Outside London","95","90","41040","36820"
"In post","2022","30-39","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","75","70","40880","38310"
"In post","2022","30-39","Finance","Department for International Trade","London","25","25","52340","51970"
"In post","2022","30-39","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","London","25","20","56830","56800"
"In post","2022","30-39","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","10","45630","39600"
"In post","2022","30-39","Finance","Department for Transport (excl. agencies)","London","45","45","49210","54110"
"In post","2022","30-39","Finance","Department for Transport (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","30-39","Finance","Department for Work and Pensions (excl. agencies)","London","60","60","45000","39960"
"In post","2022","30-39","Finance","Department for Work and Pensions (excl. agencies)","Outside London","235","225","36260","31990"
"In post","2022","30-39","Finance","Department of Health and Social Care (excl. agencies)","London","80","80","46690","40650"
"In post","2022","30-39","Finance","Department of Health and Social Care (excl. agencies)","Outside London","60","60","38120","36820"
"In post","2022","30-39","Finance","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Driver and Vehicle Licensing Agency","Outside London","30","30","29960","30730"
"In post","2022","30-39","Finance","Driver and Vehicle Standards Agency","Outside London","25","25","37510","38650"
"In post","2022","30-39","Finance","Education and Skills Funding Agency","London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Education and Skills Funding Agency","Outside London","165","155","36920","36500"
"In post","2022","30-39","Finance","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","FCDO Services","Outside London","10","10","41460","40930"
"In post","2022","30-39","Finance","Food Standards Agency","Outside London","10","10","[c]","[c]"
"In post","2022","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","London","25","25","54010","53610"
"In post","2022","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","35","35","43170","42890"
"In post","2022","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Government Legal Department","London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","HM Courts and Tribunals Service","London","10","10","39050","34390"
"In post","2022","30-39","Finance","HM Courts and Tribunals Service","Outside London","15","15","36810","36050"
"In post","2022","30-39","Finance","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","HM Revenue and Customs (excl. agencies)","London","85","85","53180","43810"
"In post","2022","30-39","Finance","HM Revenue and Customs (excl. agencies)","Outside London","370","345","31860","26820"
"In post","2022","30-39","Finance","HM Treasury (excl. agencies)","London","25","25","59830","61440"
"In post","2022","30-39","Finance","HM Treasury (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Intellectual Property Office","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Legal Aid Agency","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Maritime and Coastguard Agency","Outside London","10","10","[c]","[c]"
"In post","2022","30-39","Finance","Medicines and Healthcare Products Regulatory Agency","London","15","15","35840","27400"
"In post","2022","30-39","Finance","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Met Office","Outside London","10","5","[c]","[c]"
"In post","2022","30-39","Finance","Ministry of Defence (excl. agencies)","London","45","45","53010","48200"
"In post","2022","30-39","Finance","Ministry of Defence (excl. agencies)","Outside London","260","245","36350","33300"
"In post","2022","30-39","Finance","Ministry of Defence (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Ministry of Justice (excl. agencies)","London","45","40","46220","41750"
"In post","2022","30-39","Finance","Ministry of Justice (excl. agencies)","Outside London","60","60","35740","32750"
"In post","2022","30-39","Finance","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","National Crime Agency","Outside London","15","15","36200","29660"
"In post","2022","30-39","Finance","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Northern Ireland Office","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Office for Standards in Education, Children's Services and Skills","Outside London","15","15","47810","49530"
"In post","2022","30-39","Finance","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Office of Gas and Electricity Markets","Outside London","10","10","[c]","[c]"
"In post","2022","30-39","Finance","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Registers of Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Scottish Courts and Tribunals Service","Outside London","10","10","35400","38640"
"In post","2022","30-39","Finance","Scottish Prison Service","Outside London","10","10","34180","37240"
"In post","2022","30-39","Finance","Serious Fraud Office","London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Submarine Delivery Agency","Outside London","10","5","[c]","[c]"
"In post","2022","30-39","Finance","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","The Insolvency Service","Outside London","10","10","35450","30150"
"In post","2022","30-39","Finance","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","UK Export Finance","London","10","10","52660","47150"
"In post","2022","30-39","Finance","UK Health Security Agency","London","10","10","48320","41170"
"In post","2022","30-39","Finance","UK Health Security Agency","Outside London","15","15","36990","30020"
"In post","2022","30-39","Finance","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","UK Statistics Authority","Outside London","20","15","32020","30210"
"In post","2022","30-39","Finance","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Valuation Office Agency","Outside London","20","20","41540","39200"
"In post","2022","30-39","Finance","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Finance","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Grants Management","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Grants Management","Rural Payments Agency","Outside London","435","405","24050","21300"
"In post","2022","30-39","Grants Management","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Cabinet Office (excl. agencies)","London","120","115","49270","54700"
"In post","2022","30-39","Human Resources","Cabinet Office (excl. agencies)","Outside London","200","190","33610","32000"
"In post","2022","30-39","Human Resources","Cabinet Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Companies House","Outside London","20","20","37410","35270"
"In post","2022","30-39","Human Resources","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Crown Commercial Service","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Crown Office and Procurator Fiscal Service","Outside London","10","10","[c]","[c]"
"In post","2022","30-39","Human Resources","Crown Prosecution Service","London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Crown Prosecution Service","Outside London","25","25","31910","30130"
"In post","2022","30-39","Human Resources","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Defence Equipment and Support","Outside London","65","60","33920","32040"
"In post","2022","30-39","Human Resources","Defence Science and Technology Laboratory","Outside London","25","25","37470","38070"
"In post","2022","30-39","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","15","15","44720","40050"
"In post","2022","30-39","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","10","10","38420","34750"
"In post","2022","30-39","Human Resources","Department for Digital, Culture, Media and Sport","London","15","15","41860","35020"
"In post","2022","30-39","Human Resources","Department for Digital, Culture, Media and Sport","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Department for Education (excl. agencies)","Outside London","45","40","33530","29360"
"In post","2022","30-39","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","52280","54440"
"In post","2022","30-39","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","50","45","39290","36970"
"In post","2022","30-39","Human Resources","Department for International Trade","London","30","30","43520","38540"
"In post","2022","30-39","Human Resources","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","30-39","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","10","41510","48200"
"In post","2022","30-39","Human Resources","Department for Transport (excl. agencies)","London","15","15","61240","66090"
"In post","2022","30-39","Human Resources","Department for Transport (excl. agencies)","Outside London","15","15","38700","31380"
"In post","2022","30-39","Human Resources","Department for Work and Pensions (excl. agencies)","London","45","45","42660","39960"
"In post","2022","30-39","Human Resources","Department for Work and Pensions (excl. agencies)","Outside London","185","180","32310","27570"
"In post","2022","30-39","Human Resources","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Department of Health and Social Care (excl. agencies)","London","25","25","38230","40650"
"In post","2022","30-39","Human Resources","Department of Health and Social Care (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","30-39","Human Resources","Driver and Vehicle Licensing Agency","Outside London","55","50","29510","30730"
"In post","2022","30-39","Human Resources","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Driver and Vehicle Standards Agency","Outside London","20","20","33680","33380"
"In post","2022","30-39","Human Resources","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","FCDO Services","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","London","40","40","52320","53850"
"In post","2022","30-39","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","10","10","37740","33930"
"In post","2022","30-39","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","10","10","[c]","[c]"
"In post","2022","30-39","Human Resources","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Government Legal Department","London","15","15","38650","37730"
"In post","2022","30-39","Human Resources","Health and Safety Executive","Outside London","20","20","37110","35550"
"In post","2022","30-39","Human Resources","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","HM Courts and Tribunals Service","Outside London","15","15","30870","30450"
"In post","2022","30-39","Human Resources","HM Land Registry","Outside London","20","20","33210","33840"
"In post","2022","30-39","Human Resources","HM Prison and Probation Service","London","15","15","47100","46630"
"In post","2022","30-39","Human Resources","HM Prison and Probation Service","Outside London","30","30","44640","45380"
"In post","2022","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","London","35","35","56860","62120"
"In post","2022","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","Outside London","330","315","33340","33080"
"In post","2022","30-39","Human Resources","HM Treasury (excl. agencies)","London","20","20","53620","54760"
"In post","2022","30-39","Human Resources","HM Treasury (excl. agencies)","Outside London","10","10","28750","24000"
"In post","2022","30-39","Human Resources","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","Intellectual Property Office","Outside London","20","20","36100","39910"
