"Status","Year","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","10","10","52120","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","10","10","49360","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","25","25","47420","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","20","20","43120","38320"
"In post","2022","Analysis","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","90","90","43520","42580"
"In post","2022","Analysis","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Policy","105","100","45410","45250"
"In post","2022","Analysis","Department for International Trade","Economics","145","145","44230","40330"
"In post","2022","Analysis","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","15","15","40260","32180"
"In post","2022","Analysis","Department for International Trade","Policy","10","10","50460","47870"
"In post","2022","Analysis","Department for International Trade","Social Research","25","25","42280","32430"
"In post","2022","Analysis","Department for International Trade","Statistics","50","50","44730","41530"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","60","55","48610","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","30","30","49310","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","135","130","45880","42980"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Economics","150","145","48360","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Operational Research","20","20","48990","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Other","40","40","50370","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Social Research","50","45","49140","47740"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Statistics","80","80","43890","42470"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Economics","45","45","39310","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Human Resources","15","15","42290","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","20","20","45840","36650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","15","15","33750","35000"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","235","220","46460","40840"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","40","40","35340","35000"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","190","175","45100","40310"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","70","65","33140","25110"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Commercial","15","15","50260","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Economics","85","85","47580","49530"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Medicine","15","15","50540","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Operational Delivery","30","30","47960","51780"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Policy","170","160","53280","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Science and Engineering","25","25","62160","66230"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","45","45","48440","52080"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Operational Research","60","55","29600","26780"
"In post","2022","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","10","10","41000","40350"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","15","15","37800","37350"
"In post","2022","Analysis","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Social Research","15","15","39360","39330"
"In post","2022","Analysis","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","60","55","59570","61400"
"In post","2022","Analysis","Government Actuary's Department","Other","185","175","69850","65470"
"In post","2022","Analysis","Government Internal Audit Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Other","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Economics","5","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Operational Delivery","20","20","38450","31680"
"In post","2022","Analysis","Health and Safety Executive","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Statistics","15","15","47260","51170"
"In post","2022","Analysis","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Delivery","40","40","40500","36610"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Statistics","10","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Finance","30","30","44870","38550"
"In post","2022","Analysis","HM Prison and Probation Service","Statistics","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Economics","120","120","47010","37930"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","30","30","38290","34830"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","100","90","45530","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","110","105","47110","43430"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","305","295","45870","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Tax","15","15","37890","37610"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","60","60","49010","43810"
"In post","2022","Analysis","HM Treasury (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Economics","10","10","54870","60250"
"In post","2022","Analysis","Intellectual Property Office","Intelligence Analysis","25","20","29540","30770"
"In post","2022","Analysis","Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Social Research","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","35","35","50150","53620"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Geography","60","55","31580","33000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Statistics","240","235","40480","38000"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","15","15","47010","41820"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Economics","55","55","47870","41750"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Finance","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","75","75","43360","41750"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Research","110","105","49090","46760"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Project Delivery","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Social Research","80","75","51090","50430"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Statistics","130","125","46110","42110"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Operational Research","10","10","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Other","15","15","52200","47860"
"In post","2022","Analysis","Office for Budget Responsibility","Economics","35","35","51220","52530"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","40","40","42560","34700"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","90","85","39420","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Economics","40","40","46540","46250"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Finance","15","15","51650","51280"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Operational Delivery","10","10","32630","33700"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Other","85","85","39270","33400"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Policy","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Science and Engineering","15","15","66050","65340"
"In post","2022","Analysis","Office of Rail and Road","Economics","25","25","56840","57030"
"In post","2022","Analysis","Office of Rail and Road","Statistics","20","20","46790","43300"
"In post","2022","Analysis","Office of the Public Guardian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Statistics","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Statistics","20","20","38480","37710"
"In post","2022","Analysis","Rural Payments Agency","Operational Delivery","45","45","30370","29180"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Economics","5","5","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Intelligence Analysis","20","15","40970","40020"
"In post","2022","Analysis","The Insolvency Service","Statistics","15","15","37480","37210"
"In post","2022","Analysis","UK Debt Management Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","Operational Delivery","10","10","60090","52090"
"In post","2022","Analysis","UK Debt Management Office","Policy","10","10","79980","65000"
"In post","2022","Analysis","UK Export Finance","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Economics","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Knowledge and Information Management","20","20","50180","44760"
"In post","2022","Analysis","UK Space Agency","Economics","10","10","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Science and Engineering","10","10","45790","44650"
"In post","2022","Analysis","UK Statistics Authority","Economics","180","175","36380","30710"
"In post","2022","Analysis","UK Statistics Authority","Operational Delivery","530","500","32140","30210"
"In post","2022","Analysis","UK Statistics Authority","Operational Research","25","25","34750","32630"
"In post","2022","Analysis","UK Statistics Authority","Social Research","660","630","38820","38340"
"In post","2022","Analysis","UK Statistics Authority","Statistics","585","565","43440","38340"
"In post","2022","Analysis","Valuation Office Agency","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","Operational Research","5","5","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","Statistics","45","45","43980","40160"
"In post","2022","Analysis","Water Services Regulation Authority","Economics","40","35","61210","55110"
"In post","2022","Analysis","Water Services Regulation Authority","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Commercial","5","5","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Commercial","10","10","39150","38750"
"In post","2022","Commercial","Animal and Plant Health Agency","Operational Delivery","40","35","33300","31000"
"In post","2022","Commercial","Animal and Plant Health Agency","Science and Engineering","20","15","28860","26730"
"In post","2022","Commercial","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Policy","10","10","56120","57450"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Unknown","1650","1625","69540","64500"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Commercial","15","15","42290","42410"
"In post","2022","Commercial","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Commercial","5","5","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Commercial","5","5","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Commercial","350","340","35910","34460"
"In post","2022","Commercial","Crown Commercial Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Commercial","40","35","38130","38180"
"In post","2022","Commercial","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Commercial","20","20","33300","32890"
"In post","2022","Commercial","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Commercial","165","160","42280","35130"
"In post","2022","Commercial","Defence Equipment and Support","Finance","5","5","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Other","85","80","41530","39890"
"In post","2022","Commercial","Defence Equipment and Support","Project Delivery","80","75","45310","41390"
"In post","2022","Commercial","Defence Equipment and Support","Science and Engineering","105","105","43360","42100"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Commercial","75","75","32750","30370"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","15","15","50000","40050"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","15","15","44790","41550"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Commercial","35","35","41070","34020"
"In post","2022","Commercial","Department for Education (excl. agencies)","Commercial","240","230","37670","36500"
"In post","2022","Commercial","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","130","125","36590","35900"
"In post","2022","Commercial","Department for International Trade","Commercial","25","25","37670","38160"
"In post","2022","Commercial","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","25","25","41710","39600"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Commercial","140","140","47800","42470"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Commercial","260","255","49810","49890"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Finance","15","15","45830","40650"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Commercial","170","155","32390","30730"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Commercial","40","40","36210","34190"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Operational Delivery","15","10","32820","31730"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","Commercial","80","75","47480","44000"
"In post","2022","Commercial","Food Standards Agency","Commercial","15","15","36700","34440"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","50","50","41920","41490"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Commercial","35","35","43340","41560"
"In post","2022","Commercial","Health and Safety Executive","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Commercial","20","20","42440","38550"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Commercial","80","75","39840","40520"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Operational Delivery","25","25","32540","33370"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Tax","10","10","35290","33370"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Unknown","30","30","37700","33370"
"In post","2022","Commercial","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Commercial","15","15","51950","50470"
"In post","2022","Commercial","Intellectual Property Office","Commercial","10","10","41680","40600"
"In post","2022","Commercial","Maritime and Coastguard Agency","Commercial","25","25","40440","39040"
"In post","2022","Commercial","Met Office","Commercial","200","190","44360","45150"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Commercial","940","905","36180","34800"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Commercial","160","155","37080","36050"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Finance","25","25","33100","34260"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Operational Delivery","45","45","28830","25120"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Property","10","10","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","Commercial","20","20","45660","45920"
"In post","2022","Commercial","National Savings and Investments","Commercial","10","10","49200","50000"
"In post","2022","Commercial","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","National Savings and Investments","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","15","15","37610","35930"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Planning Inspectorate","Commercial","5","5","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Registers of Scotland","Commercial","10","10","[c]","[c]"
"In post","2022","Commercial","Scottish Courts and Tribunals Service","Commercial","10","10","33920","34950"
"In post","2022","Commercial","Scottish Prison Service","Commercial","90","85","31510","26900"
"In post","2022","Commercial","Serious Fraud Office","Commercial","5","5","[c]","[c]"
"In post","2022","Commercial","Submarine Delivery Agency","Commercial","160","160","40420","37450"
"In post","2022","Commercial","The Insolvency Service","Commercial","20","20","41040","42290"
"In post","2022","Commercial","The National Archives","Commercial","40","35","30070","24150"
"In post","2022","Commercial","UK Debt Management Office","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","Operational Delivery","215","210","52350","47150"
"In post","2022","Commercial","UK Health Security Agency","Commercial","140","135","47610","46000"
"In post","2022","Commercial","UK Hydrographic Office","Commercial","85","85","42310","42510"
"In post","2022","Commercial","UK Space Agency","Commercial","5","5","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Commercial","35","35","44460","37570"
"In post","2022","Commercial","Valuation Office Agency","Commercial","5","5","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Operational Delivery","20","15","27800","25760"
"In post","2022","Commercial","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","Communications","15","15","37610","35120"
"In post","2022","Communications","Attorney General's Office","Communications","10","10","45010","38590"
