"Status","Year","Age","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","125","125","23090","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Unknown","40","35","19110","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Heterosexual / straight","75","75","23160","23140"
"In post","2022","16-19","HM Prison and Probation Service","LGBO","15","15","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Unknown","70","70","22880","23140"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","80","80","22120","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","105","100","21780","21250"
"In post","2022","16-19","HM Treasury (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","16-19","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Unknown","40","40","23620","21680"
"In post","2022","16-19","Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","45","45","27510","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Unknown","40","40","26800","24250"
"In post","2022","20-29","Animal and Plant Health Agency","Heterosexual / straight","355","355","25680","24920"
"In post","2022","20-29","Animal and Plant Health Agency","LGBO","70","70","25380","24370"
"In post","2022","20-29","Animal and Plant Health Agency","Undeclared","45","45","26900","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Unknown","55","55","24640","24370"
"In post","2022","20-29","Attorney General's Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Heterosexual / straight","1015","1010","36460","34550"
"In post","2022","20-29","Cabinet Office (excl. agencies)","LGBO","210","210","37890","34550"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Undeclared","130","130","39270","34550"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","2010","2010","32580","29250"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","30","30","26640","25460"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Unknown","75","75","25920","25460"
"In post","2022","20-29","Charity Commission","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Charity Commission","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Unknown","45","40","25040","24440"
"In post","2022","20-29","Companies House","Heterosexual / straight","100","100","26760","24500"
"In post","2022","20-29","Companies House","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Companies House","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Companies House","Unknown","45","45","24190","20100"
"In post","2022","20-29","Competition and Markets Authority","Heterosexual / straight","115","115","39020","33610"
"In post","2022","20-29","Competition and Markets Authority","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Heterosexual / straight","95","95","30520","30420"
"In post","2022","20-29","Crown Commercial Service","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Unknown","40","40","31390","30940"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Heterosexual / straight","475","465","28470","27230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","LGBO","55","55","26100","22480"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Prosecution Service","Heterosexual / straight","835","830","27820","25480"
"In post","2022","20-29","Crown Prosecution Service","LGBO","75","75","26230","25480"
"In post","2022","20-29","Crown Prosecution Service","Undeclared","50","50","25720","24590"
"In post","2022","20-29","Crown Prosecution Service","Unknown","80","80","30290","25480"
"In post","2022","20-29","Defence Electronics and Components Agency","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Heterosexual / straight","1475","1465","27050","27200"
"In post","2022","20-29","Defence Equipment and Support","LGBO","105","105","27180","27500"
"In post","2022","20-29","Defence Equipment and Support","Undeclared","110","110","28160","27540"
"In post","2022","20-29","Defence Equipment and Support","Unknown","215","215","27450","27540"
"In post","2022","20-29","Defence Science and Technology Laboratory","Heterosexual / straight","200","200","29880","29230"
"In post","2022","20-29","Defence Science and Technology Laboratory","LGBO","60","60","28560","29230"
"In post","2022","20-29","Defence Science and Technology Laboratory","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Defence Science and Technology Laboratory","Unknown","790","785","29630","29230"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","1435","1435","41040","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","240","240","40810","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","155","155","42540","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","205","205","40130","39200"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Heterosexual / straight","540","535","38830","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","LGBO","105","105","40490","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Undeclared","65","65","35470","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Unknown","55","55","38310","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","Heterosexual / straight","945","940","35860","33300"
"In post","2022","20-29","Department for Education (excl. agencies)","LGBO","145","145","36630","33610"
"In post","2022","20-29","Department for Education (excl. agencies)","Undeclared","70","70","36250","36500"
"In post","2022","20-29","Department for Education (excl. agencies)","Unknown","230","230","35830","32940"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","945","940","34440","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","160","160","36320","33990"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","105","105","33980","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","250","245","35010","32560"
"In post","2022","20-29","Department for International Trade","Heterosexual / straight","585","585","38070","38160"
"In post","2022","20-29","Department for International Trade","LGBO","95","95","37980","38160"
"In post","2022","20-29","Department for International Trade","Undeclared","35","35","38080","35270"
"In post","2022","20-29","Department for International Trade","Unknown","315","310","38260","37320"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","630","630","38070","33830"
