"Status","Year","Disability","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","HEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","AA","40","40","19790","19810"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","AO","115","105","23120","21380"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","EO","125","110","27610","27570"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","HEO","50","50","33340","33300"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","Unknown","50","45","31410","28200"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","AO","40","30","21360","21260"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","EO","45","40","27470","27570"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","EO","75","65","27310","27570"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","AA","20","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","AO","260","230","22270","21260"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","EO","285","265","26790","27000"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","G7","80","75","54340","55210"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","HEO","205","195","32950","33370"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","SEO","110","105","40120","40520"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","Unknown","70","65","29080","28200"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","AO","30","30","26690","26320"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","EO","55","50","27730","27570"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","AO","40","35","25970","23960"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","EO","30","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","AO","50","45","22450","20970"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","EO","40","40","27240","27570"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","Unknown","35","30","31530","31880"
"In post","2022","Declared disabled","East of England","Bedford","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","EO","35","30","27690","27570"
"In post","2022","Declared disabled","East of England","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","HEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","AA","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","AO","85","80","26960","24210"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","EO","100","95","28250","27570"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","HEO","80","80","34570","33300"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","SEO","40","40","43100","41100"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","EO","70","60","29410","29290"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","AO","65","55","23900","24250"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","EO","75","70","29840","29290"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","AA","10","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","AO","35","30","24570","23750"
"In post","2022","Declared disabled","East of England","Heart of Essex","EO","40","40","29280","29290"
"In post","2022","Declared disabled","East of England","Heart of Essex","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","AO","55","50","25500","24250"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","EO","140","125","30060","29290"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","G7","20","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","HEO","35","30","36460","37000"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","Unknown","35","30","30500","28200"
"In post","2022","Declared disabled","East of England","Luton","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","EO","40","40","27400","27570"
"In post","2022","Declared disabled","East of England","Luton","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","AO","40","35","26780","26950"
"In post","2022","Declared disabled","East of England","North and West Norfolk","EO","30","25","27630","27570"
"In post","2022","Declared disabled","East of England","North and West Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","HEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","AO","65","55","22530","21260"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","EO","100","90","27340","27570"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","Unknown","40","35","25840","23990"
"In post","2022","Declared disabled","East of England","Peterborough","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","AO","70","60","21580","21680"
"In post","2022","Declared disabled","East of England","Peterborough","EO","65","55","27040","27130"
"In post","2022","Declared disabled","East of England","Peterborough","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","SEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","AO","40","35","22400","22080"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","EO","55","50","29140","29290"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Suffolk CC","AA","35","35","20910","19810"
"In post","2022","Declared disabled","East of England","Suffolk CC","AO","115","100","23060","21260"
"In post","2022","Declared disabled","East of England","Suffolk CC","EO","150","140","27520","27570"
"In post","2022","Declared disabled","East of England","Suffolk CC","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Suffolk CC","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Suffolk CC","HEO","65","60","32670","33080"
"In post","2022","Declared disabled","East of England","Suffolk CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Suffolk CC","SEO","30","30","42880","41140"
"In post","2022","Declared disabled","East of England","Suffolk CC","Unknown","30","30","31990","31420"
"In post","2022","Declared disabled","East of England","Thurrock","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Thurrock","EO","30","25","29000","29290"
"In post","2022","Declared disabled","East of England","Thurrock","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Thurrock","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Thurrock","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","EO","35","30","27830","27370"
"In post","2022","Declared disabled","East of England","West Essex","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","West Essex","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","EO","70","60","30810","31060"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","EO","40","35","30640","31060"
"In post","2022","Declared disabled","London","Barnet","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","London","Barnet","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","London","Bexley and Greenwich","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","London","Bexley and Greenwich","AO","60","55","28400","25560"
"In post","2022","Declared disabled","London","Bexley and Greenwich","EO","80","75","31920","31060"
"In post","2022","Declared disabled","London","Bexley and Greenwich","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bexley and Greenwich","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Bexley and Greenwich","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bexley and Greenwich","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bexley and Greenwich","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","London","Brent","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Brent","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Brent","EO","35","30","30550","31060"
"In post","2022","Declared disabled","London","Brent","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Brent","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Brent","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Brent","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Brent","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Bromley","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bromley","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Bromley","EO","40","40","31200","31060"
"In post","2022","Declared disabled","London","Bromley","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bromley","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bromley","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Bromley","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Bromley","Unknown","30","30","35620","32090"
"In post","2022","Declared disabled","London","Camden and City of London","AA","20","15","[c]","[c]"
"In post","2022","Declared disabled","London","Camden and City of London","AO","65","60","24320","24310"
"In post","2022","Declared disabled","London","Camden and City of London","EO","55","55","30360","30080"
"In post","2022","Declared disabled","London","Camden and City of London","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Camden and City of London","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","London","Camden and City of London","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","London","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Camden and City of London","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Camden and City of London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Croydon","AA","25","20","[c]","[c]"
"In post","2022","Declared disabled","London","Croydon","AO","155","135","25600","25630"
"In post","2022","Declared disabled","London","Croydon","EO","295","270","29980","29370"
"In post","2022","Declared disabled","London","Croydon","G6","50","50","73430","74850"
"In post","2022","Declared disabled","London","Croydon","G7","95","90","60510","60000"
"In post","2022","Declared disabled","London","Croydon","HEO","215","205","36560","36550"
"In post","2022","Declared disabled","London","Croydon","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Croydon","SEO","170","160","44490","43810"
"In post","2022","Declared disabled","London","Croydon","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","London","Ealing","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Ealing","EO","55","50","31200","31060"
"In post","2022","Declared disabled","London","Ealing","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Ealing","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Ealing","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","Ealing","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Ealing","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","London","Enfield","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Enfield","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Enfield","EO","40","35","31250","31060"
"In post","2022","Declared disabled","London","Enfield","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Enfield","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Enfield","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Enfield","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Enfield","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","Hackney and Newham","AA","[c]","[c]","[c]","[c]"
