"Status","Year","Age","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Debt","HM Revenue and Customs","Outside London","40","40","21250","21250"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","Outside London","10","10","21250","21250"
"In post","2022","16-19","Finance","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Ministry of Defence","Outside London","15","15","19730","19460"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Outside London","10","10","21070","21300"
"In post","2022","16-19","Human Resources","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","London","10","10","22560","21850"
"In post","2022","16-19","Legal","Attorney General's Departments","Outside London","25","25","21540","22200"
"In post","2022","16-19","Legal","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","London","10","10","25170","25170"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","Outside London","15","15","22080","21300"
"In post","2022","16-19","No function","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","Outside London","85","70","19470","18310"
"In post","2022","16-19","No function","Department for Work and Pensions","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","Outside London","110","110","22830","21260"
"In post","2022","16-19","No function","Department of Health and Social Care","London","10","5","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","Outside London","10","10","20500","19880"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","Outside London","110","110","21340","21250"
"In post","2022","16-19","No function","HM Treasury","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","Outside London","25","25","18030","17450"
"In post","2022","16-19","No function","Ministry of Justice","London","15","15","25930","24080"
"In post","2022","16-19","No function","Ministry of Justice","Outside London","180","180","22710","23140"
"In post","2022","16-19","No function","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","Outside London","25","25","21570","21050"
"In post","2022","16-19","No function","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Outside London","15","10","19490","19860"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","Outside London","110","110","18420","18030"
"In post","2022","16-19","Property","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Foreign, Commonwealth and Development Office","Outside London","15","15","19130","16630"
"In post","2022","16-19","Property","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","Outside London","15","15","24780","25000"
"In post","2022","16-19","Property","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","London","5","5","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","London","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","Outside London","45","45","22700","21680"
"In post","2022","16-19","Unknown","Ministry of Defence","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Scottish Government","Outside London","55","55","22230","21050"
"In post","2022","16-19","Unknown","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","London","50","50","39130","36590"
"In post","2022","20-29","Analysis","Chancellor's other departments","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Competition and Markets Authority","London","30","30","41180","34640"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","London","145","145","37310","33880"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","30","30","33670","30770"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","London","75","75","43150","38020"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","London","25","25","43380","45250"
"In post","2022","20-29","Analysis","Department for Education","Outside London","45","45","33920","32870"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","Outside London","85","85","26020","25460"
"In post","2022","20-29","Analysis","Department for International Trade","London","145","145","37510","31800"
"In post","2022","20-29","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","London","95","90","40440","34710"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","Outside London","10","10","33400","30190"
"In post","2022","20-29","Analysis","Department for Transport","London","150","150","40130","34710"
"In post","2022","20-29","Analysis","Department for Transport","Outside London","15","15","34080","28780"
"In post","2022","20-29","Analysis","Department for Work and Pensions","London","115","115","37660","36650"
"In post","2022","20-29","Analysis","Department for Work and Pensions","Outside London","150","150","31050","31990"
"In post","2022","20-29","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department of Health and Social Care","London","125","125","42320","40650"
"In post","2022","20-29","Analysis","Department of Health and Social Care","Outside London","30","30","37650","32790"
"In post","2022","20-29","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Revenue and Customs","London","160","160","40910","37930"
"In post","2022","20-29","Analysis","HM Revenue and Customs","Outside London","160","155","35680","33370"
"In post","2022","20-29","Analysis","HM Treasury","London","20","20","39210","35690"
"In post","2022","20-29","Analysis","Ministry of Defence","London","60","60","39360","38500"
"In post","2022","20-29","Analysis","Ministry of Defence","Outside London","185","185","31240","29230"
"In post","2022","20-29","Analysis","Ministry of Justice","London","155","155","40750","35200"
"In post","2022","20-29","Analysis","Ministry of Justice","Outside London","35","35","31350","30450"
"In post","2022","20-29","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","20","15","32000","32010"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","London","45","45","34290","31000"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","Outside London","15","15","29680","30000"
"In post","2022","20-29","Analysis","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Rail and Road","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Export Finance","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","UK Statistics Authority","London","115","115","35560","33710"
"In post","2022","20-29","Analysis","UK Statistics Authority","Outside London","620","615","32490","30710"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","London","10","10","35120","28000"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Attorney General's Departments","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Cabinet Office","London","95","95","51550","54700"
"In post","2022","20-29","Commercial","Cabinet Office","Outside London","105","105","37170","31250"
"In post","2022","20-29","Commercial","Cabinet Office","Unknown","15","15","34240","32000"
"In post","2022","20-29","Commercial","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","London","15","15","39660","37110"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","10","10","32790","30930"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","London","15","15","36870","34020"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Education","Outside London","60","60","31870","29360"
"In post","2022","20-29","Commercial","Department for Environment, Food and Rural Affairs","Outside London","20","20","30220","33110"
"In post","2022","20-29","Commercial","Department for International Trade","London","15","15","34290","31800"
"In post","2022","20-29","Commercial","Department for Levelling Up, Housing and Communities","London","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Transport","London","45","45","39910","34710"
"In post","2022","20-29","Commercial","Department for Transport","Outside London","35","35","27460","26130"
"In post","2022","20-29","Commercial","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department of Health and Social Care","London","100","100","43520","40650"
"In post","2022","20-29","Commercial","Department of Health and Social Care","Outside London","30","30","33360","28970"
"In post","2022","20-29","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Foreign, Commonwealth and Development Office","Outside London","15","15","27680","26010"
"In post","2022","20-29","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","HM Revenue and Customs","Outside London","35","35","31520","33080"
"In post","2022","20-29","Commercial","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Ministry of Defence","London","10","10","31460","30600"
"In post","2022","20-29","Commercial","Ministry of Defence","Outside London","305","300","29850","27570"
"In post","2022","20-29","Commercial","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Ministry of Justice","London","20","20","35850","34260"
"In post","2022","20-29","Commercial","Ministry of Justice","Outside London","30","30","31170","30450"
"In post","2022","20-29","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Scottish Government","Outside London","25","20","26940","25420"
"In post","2022","20-29","Commercial","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","UK Export Finance","London","50","50","37090","33000"
"In post","2022","20-29","Commercial","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Attorney General's Departments","London","20","20","36900","31560"
"In post","2022","20-29","Communications","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Cabinet Office","London","110","110","37870","35870"
"In post","2022","20-29","Communications","Cabinet Office","Outside London","15","15","28740","30420"
"In post","2022","20-29","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2022","20-29","Communications","Department for Business, Energy and Industrial Strategy","London","30","30","40140","38620"
"In post","2022","20-29","Communications","Department for Business, Energy and Industrial Strategy","Outside London","15","15","32670","30770"
"In post","2022","20-29","Communications","Department for Digital, Culture, Media and Sport","London","10","10","35240","36520"
"In post","2022","20-29","Communications","Department for Education","London","50","50","35620","36660"
"In post","2022","20-29","Communications","Department for Education","Outside London","20","20","26930","25000"
"In post","2022","20-29","Communications","Department for Environment, Food and Rural Affairs","London","45","45","34190","32560"
"In post","2022","20-29","Communications","Department for Environment, Food and Rural Affairs","Outside London","15","15","29580","29750"
"In post","2022","20-29","Communications","Department for International Trade","London","50","50","37280","38160"
"In post","2022","20-29","Communications","Department for Levelling Up, Housing and Communities","London","30","30","36370","33210"
"In post","2022","20-29","Communications","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Department for Transport","London","20","20","35620","34710"
"In post","2022","20-29","Communications","Department for Transport","Outside London","25","20","29390","30730"
"In post","2022","20-29","Communications","Department for Work and Pensions","London","15","15","41720","41880"
"In post","2022","20-29","Communications","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Department of Health and Social Care","London","120","120","35450","27270"
"In post","2022","20-29","Communications","Department of Health and Social Care","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Foreign, Commonwealth and Development Office","London","15","15","41370","40600"
"In post","2022","20-29","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","HM Revenue and Customs","London","20","20","42670","43430"
"In post","2022","20-29","Communications","HM Revenue and Customs","Outside London","1315","1305","27980","26820"
"In post","2022","20-29","Communications","HM Treasury","London","15","15","39380","37900"
"In post","2022","20-29","Communications","Ministry of Defence","London","30","30","41630","40640"
"In post","2022","20-29","Communications","Ministry of Defence","Outside London","60","60","28920","26670"
"In post","2022","20-29","Communications","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Ministry of Justice","London","40","40","36630","34260"
"In post","2022","20-29","Communications","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Communications","National Crime Agency","London","5","5","[c]","[c]"
"In post","2022","20-29","Communications","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office of Gas and Electricity Markets","London","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Scottish Government","Outside London","10","10","30440","31610"
"In post","2022","20-29","Communications","The National Archives","London","5","5","[c]","[c]"
"In post","2022","20-29","Communications","UK Export Finance","London","20","20","38180","36000"
"In post","2022","20-29","Communications","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","UK Statistics Authority","Outside London","10","10","32110","30210"
"In post","2022","20-29","Communications","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Attorney General's Departments","London","30","30","31560","33100"
"In post","2022","20-29","Counter Fraud","Cabinet Office","London","25","25","35600","28330"
"In post","2022","20-29","Counter Fraud","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Department for Business, Energy and Industrial Strategy","Outside London","25","25","24210","21110"
"In post","2022","20-29","Counter Fraud","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Department for Work and Pensions","London","115","115","28320","25110"
"In post","2022","20-29","Counter Fraud","Department for Work and Pensions","Outside London","530","525","26140","27570"
"In post","2022","20-29","Counter Fraud","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","HM Revenue and Customs","London","300","300","34930","31020"
"In post","2022","20-29","Counter Fraud","HM Revenue and Customs","Outside London","975","965","29260","26820"
"In post","2022","20-29","Counter Fraud","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","Department for Work and Pensions","Outside London","300","285","21830","21260"
"In post","2022","20-29","Debt","HM Revenue and Customs","London","35","30","26890","25330"
"In post","2022","20-29","Debt","HM Revenue and Customs","Outside London","950","920","22140","21250"
"In post","2022","20-29","Debt","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Attorney General's Departments","London","20","20","33590","35290"
