"Status","Year","Function_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Suffolk CC","325","310","34700","30220"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","York","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Westminster","250","250","44110","40270"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Birmingham","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Westminster","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Wolverhampton","15","10","35660","30190"
"In post","2022","Analysis","Department for Transport","Birmingham","10","10","30770","26130"
"In post","2022","Analysis","Department for Transport","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Bristol, City of","15","15","32820","31380"
"In post","2022","Analysis","Department for Transport","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Sussex CC","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Leeds","20","20","31500","28780"
"In post","2022","Analysis","Department for Transport","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Nottingham","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Westminster","320","310","48130","54110"
"In post","2022","Analysis","Department for Transport","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Leeds","75","70","37540","35450"
"In post","2022","Analysis","Department for Work and Pensions","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Manchester","40","40","32890","31990"
"In post","2022","Analysis","Department for Work and Pensions","Sefton","20","20","42880","39390"
"In post","2022","Analysis","Department for Work and Pensions","Sheffield","145","135","45580","40700"
"In post","2022","Analysis","Department for Work and Pensions","South and West Derbyshire","20","15","41820","34990"
"In post","2022","Analysis","Department for Work and Pensions","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Tyneside","105","100","40060","36320"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Westminster","250","240","46070","40270"
"In post","2022","Analysis","Department of Health and Social Care","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Leeds","85","85","46320","49530"
"In post","2022","Analysis","Department of Health and Social Care","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Tower Hamlets","40","40","48830","47060"
"In post","2022","Analysis","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Westminster","310","300","52370","53360"
"In post","2022","Analysis","Estyn","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Lambeth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Westminster","15","15","36280","32350"
"In post","2022","Analysis","Food Standards Agency","York","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Westminster","55","55","59450","61400"
"In post","2022","Analysis","HM Land Registry","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Croydon","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Croydon","45","45","52720","50250"
"In post","2022","Analysis","HM Revenue and Customs","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Greater Manchester South West","15","15","40750","40180"
"In post","2022","Analysis","HM Revenue and Customs","Hackney and Newham","155","150","47160","43430"
"In post","2022","Analysis","HM Revenue and Customs","Leeds","10","10","49370","52080"
"In post","2022","Analysis","HM Revenue and Customs","Liverpool","95","95","41190","40180"
"In post","2022","Analysis","HM Revenue and Customs","Manchester","190","180","40690","38080"
"In post","2022","Analysis","HM Revenue and Customs","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Sefton","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Southend-on-Sea","20","20","47660","40520"
"In post","2022","Analysis","HM Revenue and Customs","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Tower Hamlets","20","20","49980","46860"
"In post","2022","Analysis","HM Revenue and Customs","Tyneside","30","30","44230","40180"
"In post","2022","Analysis","HM Revenue and Customs","West Sussex (South West)","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Westminster","175","170","51610","44620"
"In post","2022","Analysis","HM Treasury","Camden and City of London","20","20","68210","59590"
"In post","2022","Analysis","HM Treasury","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Westminster","35","35","58950","54640"
"In post","2022","Analysis","Ministry of Defence","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Bath and North East Somerset, North Somerset and South Gloucestershire","75","70","38340","36000"
"In post","2022","Analysis","Ministry of Defence","Buckinghamshire","10","10","35440","29850"
"In post","2022","Analysis","Ministry of Defence","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Central Hampshire","400","385","41420","38960"
"In post","2022","Analysis","Ministry of Defence","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Lincolnshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","North Yorkshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Portsmouth","15","15","34430","33000"
"In post","2022","Analysis","Ministry of Defence","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","South Hampshire","10","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Staffordshire CC","15","15","33380","33000"
"In post","2022","Analysis","Ministry of Defence","Suffolk CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Westminster","100","100","45330","45030"
"In post","2022","Analysis","Ministry of Defence","Wiltshire","130","125","38580","38070"
"In post","2022","Analysis","Ministry of Justice","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Croydon","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Leeds","55","55","35860","30450"
"In post","2022","Analysis","Ministry of Justice","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Tower Hamlets","380","370","48760","44200"
"In post","2022","Analysis","Ministry of Justice","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Westminster","75","70","47730","42850"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Bristol, City of","75","70","39980","32010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Walsall","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Westminster","25","25","47540","42850"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","York","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Glasgow City","55","55","39680","35000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Tower Hamlets","120","115","46210","39080"
"In post","2022","Analysis","Office of Rail and Road","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Tower Hamlets","25","25","56150","55430"
"In post","2022","Analysis","Office of Rail and Road","York","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","City of Edinburgh","30","30","38780","37710"
"In post","2022","Analysis","Scottish Government","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Westminster","30","30","49920","44750"
"In post","2022","Analysis","UK Statistics Authority","City of Edinburgh","15","10","44510","41590"
"In post","2022","Analysis","UK Statistics Authority","Darlington","15","15","31410","30710"
"In post","2022","Analysis","UK Statistics Authority","Monmouthshire and Newport","1215","1165","37230","36840"
"In post","2022","Analysis","UK Statistics Authority","South Hampshire","520","495","38000","36840"
"In post","2022","Analysis","UK Statistics Authority","Westminster","210","210","43700","39840"
"In post","2022","Analysis","Water Services Regulation Authority","Birmingham","15","10","55030","51630"
