"Status","Year","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Companies House","Human Resources","55","55","37260","39820"
"In post","2022","Companies House","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Companies House","Legal","5","5","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","480","435","24880","22740"
"In post","2022","Companies House","Other","25","25","49860","40170"
"In post","2022","Companies House","Policy","30","25","41980","39820"
"In post","2022","Companies House","Project Delivery","25","20","42800","41530"
"In post","2022","Companies House","Property","15","15","34820","24900"
"In post","2022","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","10","10","35400","36240"
"In post","2022","Competition and Markets Authority","Commercial","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","35","30","49220","41670"
"In post","2022","Competition and Markets Authority","Corporate Finance","15","15","46330","38060"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","75","75","57160","57000"
"In post","2022","Competition and Markets Authority","Economics","100","95","64410","59510"
"In post","2022","Competition and Markets Authority","Human Resources","40","40","50060","45340"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","30","30","54220","53920"
"In post","2022","Competition and Markets Authority","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","145","140","68780","71370"
"In post","2022","Competition and Markets Authority","Policy","15","15","66270","72430"
"In post","2022","Competition and Markets Authority","Project Delivery","380","365","61780","56630"
"In post","2022","Competition and Markets Authority","Property","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","315","295","27290","25120"
"In post","2022","Crown Commercial Service","Commercial","350","345","35830","34070"
"In post","2022","Crown Commercial Service","Communications","15","15","38280","37220"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","135","135","44830","41270"
"In post","2022","Crown Commercial Service","Finance","35","35","48170","39360"
"In post","2022","Crown Commercial Service","Human Resources","35","35","41460","39360"
"In post","2022","Crown Commercial Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Operational Delivery","195","190","41300","38980"
"In post","2022","Crown Commercial Service","Policy","15","15","50620","51100"
"In post","2022","Crown Commercial Service","Project Delivery","25","25","47240","39360"
"In post","2022","Crown Commercial Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Communications","15","15","36570","32310"
"In post","2022","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","60","60","41540","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Finance","20","20","39880","39730"
"In post","2022","Crown Office and Procurator Fiscal Service","Human Resources","45","45","35020","31540"
"In post","2022","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","25","20","40880","34600"
"In post","2022","Crown Office and Procurator Fiscal Service","Legal","725","685","54240","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Operational Delivery","1445","1345","27500","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Policy","20","20","48460","56920"
"In post","2022","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Commercial","40","35","38130","38180"
"In post","2022","Crown Prosecution Service","Communications","65","60","39810","39750"
"In post","2022","Crown Prosecution Service","Digital, Data and Technology","115","110","39140","33310"
"In post","2022","Crown Prosecution Service","Finance","170","160","29530","25920"
"In post","2022","Crown Prosecution Service","Human Resources","175","170","36870","31420"
"In post","2022","Crown Prosecution Service","Internal Audit","5","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","Knowledge and Information Management","30","30","39200","30120"
"In post","2022","Crown Prosecution Service","Legal","3315","3085","54840","55140"
"In post","2022","Crown Prosecution Service","Operational Delivery","2890","2675","27040","25480"
"In post","2022","Crown Prosecution Service","Other","20","15","37370","28430"
"In post","2022","Crown Prosecution Service","Policy","70","65","55310","54760"
"In post","2022","Crown Prosecution Service","Project Delivery","95","90","39470","36600"
"In post","2022","Crown Prosecution Service","Property","30","30","34810","32240"
"In post","2022","Crown Prosecution Service","Security","30","30","32840","31560"
"In post","2022","Defence Electronics and Components Agency","Commercial","20","20","33300","32890"
"In post","2022","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Finance","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Human Resources","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Medicine","15","15","31110","29470"
"In post","2022","Defence Electronics and Components Agency","Operational Delivery","65","60","31550","29140"
"In post","2022","Defence Electronics and Components Agency","Other","30","25","26360","26600"
"In post","2022","Defence Electronics and Components Agency","Project Delivery","15","15","32090","29470"
"In post","2022","Defence Electronics and Components Agency","Property","15","15","29460","25830"
"In post","2022","Defence Electronics and Components Agency","Science and Engineering","250","240","27670","29470"
"In post","2022","Defence Equipment and Support","Commercial","915","875","39620","37400"
"In post","2022","Defence Equipment and Support","Communications","25","25","39600","37240"
"In post","2022","Defence Equipment and Support","Digital, Data and Technology","260","250","36080","33110"
"In post","2022","Defence Equipment and Support","Finance","455","435","38460","31800"
"In post","2022","Defence Equipment and Support","Human Resources","180","165","38390","32850"
"In post","2022","Defence Equipment and Support","Knowledge and Information Management","165","160","35790","33820"
"In post","2022","Defence Equipment and Support","Other","3495","3340","31900","28450"
"In post","2022","Defence Equipment and Support","Policy","80","75","42870","40580"
"In post","2022","Defence Equipment and Support","Project Delivery","2275","2200","40730","39180"
"In post","2022","Defence Equipment and Support","Property","60","60","36180","33610"
"In post","2022","Defence Equipment and Support","Science and Engineering","2775","2710","38270","37400"
"In post","2022","Defence Equipment and Support","Security","60","55","36550","36050"
"In post","2022","Defence Science and Technology Laboratory","Commercial","80","80","33140","32930"
"In post","2022","Defence Science and Technology Laboratory","Communications","25","25","36810","33750"
"In post","2022","Defence Science and Technology Laboratory","Corporate Finance","55","50","42190","39960"
"In post","2022","Defence Science and Technology Laboratory","Digital, Data and Technology","125","120","47700","47010"
"In post","2022","Defence Science and Technology Laboratory","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Finance","15","10","40090","38070"
"In post","2022","Defence Science and Technology Laboratory","Human Resources","90","85","35360","29230"
"In post","2022","Defence Science and Technology Laboratory","Intelligence Analysis","25","25","31260","29230"
"In post","2022","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Knowledge and Information Management","45","45","42580","38700"
"In post","2022","Defence Science and Technology Laboratory","Legal","10","10","62090","74000"
"In post","2022","Defence Science and Technology Laboratory","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Operational Delivery","400","385","39570","38070"
"In post","2022","Defence Science and Technology Laboratory","Operational Research","505","480","44050","47010"
"In post","2022","Defence Science and Technology Laboratory","Other","60","60","36650","29230"
"In post","2022","Defence Science and Technology Laboratory","Project Delivery","480","455","41620","38380"
"In post","2022","Defence Science and Technology Laboratory","Property","45","45","46140","47010"
"In post","2022","Defence Science and Technology Laboratory","Psychology","20","20","52990","52010"
"In post","2022","Defence Science and Technology Laboratory","Science and Engineering","2600","2525","40740","38070"
"In post","2022","Defence Science and Technology Laboratory","Security","60","60","35950","37410"
"In post","2022","Defence Science and Technology Laboratory","Statistics","10","10","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","130","125","47100","45100"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","120","120","45030","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","245","240","45950","39570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","165","160","53560","53490"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","135","130","48110","46050"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","25","25","41990","39780"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","600","585","46470","40200"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","15","15","55670","57620"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","4425","4335","49290","52080"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","85","85","51200","52730"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","10","10","46110","45200"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","15","15","41410","38720"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","35","35","50140","49710"
"In post","2022","Department for Digital, Culture, Media and Sport","Commercial","35","35","41670","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Communications","65","60","49320","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","Counter Fraud","20","20","48600","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","15","15","58850","56730"
"In post","2022","Department for Digital, Culture, Media and Sport","Economics","80","75","48160","51070"
"In post","2022","Department for Digital, Culture, Media and Sport","Finance","75","75","52240","56360"
"In post","2022","Department for Digital, Culture, Media and Sport","Human Resources","80","75","43900","35520"
"In post","2022","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","International Trade","30","25","47330","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Operational Delivery","30","30","46770","39050"
"In post","2022","Department for Digital, Culture, Media and Sport","Operational Research","10","10","52120","55730"
"In post","2022","Department for Digital, Culture, Media and Sport","Other","105","100","42740","34360"
"In post","2022","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Policy","1180","1160","46790","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Project Delivery","220","220","47310","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Property","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Science and Engineering","10","10","55360","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Social Research","25","25","47420","55730"
"In post","2022","Department for Digital, Culture, Media and Sport","Statistics","20","20","43120","38320"
"In post","2022","Department for Education (excl. agencies)","Commercial","265","255","38070","36500"
"In post","2022","Department for Education (excl. agencies)","Communications","240","230","37840","33570"
"In post","2022","Department for Education (excl. agencies)","Digital, Data and Technology","800","780","41090","37100"
"In post","2022","Department for Education (excl. agencies)","Finance","515","500","42510","40230"
"In post","2022","Department for Education (excl. agencies)","Human Resources","145","140","35130","29780"
"In post","2022","Department for Education (excl. agencies)","Legal","55","55","56020","61010"
"In post","2022","Department for Education (excl. agencies)","Operational Delivery","610","590","42280","36780"
"In post","2022","Department for Education (excl. agencies)","Policy","2975","2845","45540","41990"
"In post","2022","Department for Education (excl. agencies)","Project Delivery","45","45","48440","49860"
"In post","2022","Department for Education (excl. agencies)","Property","615","600","50610","50630"
"In post","2022","Department for Education (excl. agencies)","Security","35","35","44220","49860"
"In post","2022","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","130","125","36590","35900"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","240","225","41050","37190"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","785","770","43990","47550"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","55","55","43260","38750"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","440","425","41750","37490"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","310","295","41530","37410"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","60","60","37770","30400"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","50","50","45310","46070"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","85","85","39270","32620"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","3915","3785","42360","38750"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","415","395","38880","35900"
"In post","2022","Department for International Trade","Commercial","30","30","37400","38160"
"In post","2022","Department for International Trade","Communications","115","110","44510","38540"
"In post","2022","Department for International Trade","Digital, Data and Technology","165","160","47710","47000"
"In post","2022","Department for International Trade","Economics","150","150","44120","38710"
"In post","2022","Department for International Trade","Finance","85","85","48410","47980"
"In post","2022","Department for International Trade","Human Resources","125","125","44970","41610"
"In post","2022","Department for International Trade","International Trade","1460","1445","48100","49370"
"In post","2022","Department for International Trade","Knowledge and Information Management","15","15","39440","36620"
"In post","2022","Department for International Trade","Operational Delivery","145","140","40190","32120"
"In post","2022","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2022","Department for International Trade","Other","155","150","45720","38540"
"In post","2022","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Policy","230","230","46050","39520"
"In post","2022","Department for International Trade","Project Delivery","95","90","47160","49850"
"In post","2022","Department for International Trade","Property","5","5","[c]","[c]"
"In post","2022","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Security","25","25","44030","43160"
"In post","2022","Department for International Trade","Social Research","25","25","42280","32430"
"In post","2022","Department for International Trade","Statistics","55","55","44950","41650"
"In post","2022","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","25","25","41710","39600"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","110","105","44770","39600"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","105","105","50480","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","60","55","48610","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","120","115","51040","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","80","80","42470","35100"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","35","30","37530","33590"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","465","450","38300","36340"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","110","110","44050","40000"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","1860","1820","47280","46820"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","160","160","45370","48200"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","30","30","49310","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","135","130","45880","42980"
"In post","2022","Department for Transport (excl. agencies)","Commercial","140","140","47810","42470"
"In post","2022","Department for Transport (excl. agencies)","Communications","90","90","48280","42890"
"In post","2022","Department for Transport (excl. agencies)","Corporate Finance","20","15","70930","65840"
"In post","2022","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Digital, Data and Technology","115","110","44660","42470"
"In post","2022","Department for Transport (excl. agencies)","Economics","150","145","48360","54110"
"In post","2022","Department for Transport (excl. agencies)","Finance","185","180","49520","49240"
"In post","2022","Department for Transport (excl. agencies)","Human Resources","90","90","47660","48770"
"In post","2022","Department for Transport (excl. agencies)","Intelligence Analysis","5","5","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","International Trade","15","15","56500","54110"
"In post","2022","Department for Transport (excl. agencies)","Knowledge and Information Management","20","20","37500","37310"
"In post","2022","Department for Transport (excl. agencies)","Operational Delivery","200","185","37400","33390"
"In post","2022","Department for Transport (excl. agencies)","Operational Research","20","20","48990","54110"
"In post","2022","Department for Transport (excl. agencies)","Other","40","40","50370","54110"
"In post","2022","Department for Transport (excl. agencies)","Policy","1115","1090","49300","48770"
"In post","2022","Department for Transport (excl. agencies)","Project Delivery","415","410","51510","54110"
"In post","2022","Department for Transport (excl. agencies)","Property","30","25","51370","51440"
"In post","2022","Department for Transport (excl. agencies)","Science and Engineering","65","60","52020","49240"
"In post","2022","Department for Transport (excl. agencies)","Security","130","130","45250","43360"
"In post","2022","Department for Transport (excl. agencies)","Social Research","50","45","49140","47740"
"In post","2022","Department for Transport (excl. agencies)","Statistics","85","80","43260","42470"
"In post","2022","Department for Transport (excl. agencies)","Unknown","690","670","49530","38650"
"In post","2022","Department for Work and Pensions (excl. agencies)","Commercial","480","445","34570","31990"
"In post","2022","Department for Work and Pensions (excl. agencies)","Communications","75","70","43700","41040"
"In post","2022","Department for Work and Pensions (excl. agencies)","Counter Fraud","5570","4970","27930","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","3910","3760","42330","37100"
"In post","2022","Department for Work and Pensions (excl. agencies)","Economics","45","45","39080","37380"
"In post","2022","Department for Work and Pensions (excl. agencies)","Finance","1185","1100","37950","35310"
"In post","2022","Department for Work and Pensions (excl. agencies)","Human Resources","785","735","38160","34290"
"In post","2022","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","450","425","36370","31990"
"In post","2022","Department for Work and Pensions (excl. agencies)","Operational Delivery","67260","59870","26380","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Operational Research","15","15","33750","35000"
"In post","2022","Department for Work and Pensions (excl. agencies)","Other","7730","7015","26510","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Policy","1035","980","45210","40140"
"In post","2022","Department for Work and Pensions (excl. agencies)","Project Delivery","1450","1285","35110","32990"
"In post","2022","Department for Work and Pensions (excl. agencies)","Property","190","180","43600","38250"
"In post","2022","Department for Work and Pensions (excl. agencies)","Psychology","55","55","35120","34340"
"In post","2022","Department for Work and Pensions (excl. agencies)","Security","460","435","39280","35310"
"In post","2022","Department for Work and Pensions (excl. agencies)","Social Research","40","40","35380","35000"
"In post","2022","Department for Work and Pensions (excl. agencies)","Statistics","190","180","45230","40310"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","520","495","34690","27570"
"In post","2022","Department of Health and Social Care (excl. agencies)","Commercial","365","360","47730","43320"
"In post","2022","Department of Health and Social Care (excl. agencies)","Communications","335","325","46590","49530"
"In post","2022","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","165","165","43220","37500"
"In post","2022","Department of Health and Social Care (excl. agencies)","Economics","85","85","47580","49530"
"In post","2022","Department of Health and Social Care (excl. agencies)","Finance","480","470","43310","40650"
"In post","2022","Department of Health and Social Care (excl. agencies)","Human Resources","250","245","38290","32790"
"In post","2022","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Medicine","75","75","82890","79800"
"In post","2022","Department of Health and Social Care (excl. agencies)","Operational Delivery","830","785","47310","47090"
"In post","2022","Department of Health and Social Care (excl. agencies)","Operational Research","10","10","59190","55510"
"In post","2022","Department of Health and Social Care (excl. agencies)","Other","55","55","56310","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","Policy","1080","1045","48720","49530"
"In post","2022","Department of Health and Social Care (excl. agencies)","Project Delivery","15","15","50880","54950"
"In post","2022","Department of Health and Social Care (excl. agencies)","Property","35","30","41430","40650"
"In post","2022","Department of Health and Social Care (excl. agencies)","Science and Engineering","25","25","62160","66230"
"In post","2022","Department of Health and Social Care (excl. agencies)","Social Research","5","5","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Statistics","45","45","48440","52080"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","205","200","49340","49530"
"In post","2022","Disclosure Scotland","Unknown","355","335","29150","23230"
"In post","2022","Driver and Vehicle Licensing Agency","Commercial","170","155","32390","30730"
"In post","2022","Driver and Vehicle Licensing Agency","Communications","70","65","29690","26780"
"In post","2022","Driver and Vehicle Licensing Agency","Counter Fraud","5","5","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Digital, Data and Technology","805","790","40460","38870"
"In post","2022","Driver and Vehicle Licensing Agency","Finance","140","130","33050","30730"
"In post","2022","Driver and Vehicle Licensing Agency","Human Resources","190","180","31740","30730"
"In post","2022","Driver and Vehicle Licensing Agency","Medicine","50","45","78170","86300"
"In post","2022","Driver and Vehicle Licensing Agency","Operational Delivery","4540","3910","22040","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Policy","145","135","30820","28760"
"In post","2022","Driver and Vehicle Licensing Agency","Project Delivery","95","90","34640","30730"
"In post","2022","Driver and Vehicle Licensing Agency","Property","65","60","30770","30730"
"In post","2022","Driver and Vehicle Licensing Agency","Security","65","65","25290","24720"
"In post","2022","Driver and Vehicle Licensing Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Commercial","40","40","36210","34190"
"In post","2022","Driver and Vehicle Standards Agency","Communications","45","45","35090","32180"
"In post","2022","Driver and Vehicle Standards Agency","Counter Fraud","45","45","30250","30730"
"In post","2022","Driver and Vehicle Standards Agency","Digital, Data and Technology","210","210","36020","31630"
"In post","2022","Driver and Vehicle Standards Agency","Finance","100","95","37990","33860"
"In post","2022","Driver and Vehicle Standards Agency","Human Resources","125","115","35660","33350"
"In post","2022","Driver and Vehicle Standards Agency","Knowledge and Information Management","55","50","35670","32730"
"In post","2022","Driver and Vehicle Standards Agency","Operational Delivery","4015","3770","28220","26780"
"In post","2022","Driver and Vehicle Standards Agency","Operational Research","60","55","29600","26780"
"In post","2022","Driver and Vehicle Standards Agency","Other","20","20","47370","34070"
"In post","2022","Driver and Vehicle Standards Agency","Policy","100","95","37080","34800"
"In post","2022","Driver and Vehicle Standards Agency","Project Delivery","45","45","37990","38650"
"In post","2022","Driver and Vehicle Standards Agency","Property","65","60","32400","30730"
