"Status","Year","Age","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Debt","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Finance","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Heterosexual / straight","285","270","22070","21260"
"In post","2022","16-19","No function","Operational Delivery","LGBO","30","30","23550","21920"
"In post","2022","16-19","No function","Operational Delivery","Undeclared","15","15","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Unknown","190","180","21540","21250"
"In post","2022","16-19","No function","Other","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","No function","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","No function","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","No function","Tax","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","No function","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","No function","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","Heterosexual / straight","40","40","19240","18030"
"In post","2022","16-19","Project Delivery","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","Unknown","35","35","17140","17140"
"In post","2022","16-19","Property","Property","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Property","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Security","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Security","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Unknown","35","35","23250","21680"
"In post","2022","16-19","Unknown","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Unknown","35","35","18560","16720"
"In post","2022","16-19","Unknown","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","30","30","22070","21050"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Analysis","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","Heterosexual / straight","555","550","38060","34650"
"In post","2022","20-29","Analysis","Economics","LGBO","60","60","38310","34710"
"In post","2022","20-29","Analysis","Economics","Undeclared","55","55","37270","34710"
"In post","2022","20-29","Analysis","Economics","Unknown","135","135","36050","33370"
"In post","2022","20-29","Analysis","Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Medicine","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","Heterosexual / straight","100","95","32150","30460"
"In post","2022","20-29","Analysis","Operational Delivery","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","Unknown","50","50","32690","30210"
"In post","2022","20-29","Analysis","Operational Research","Heterosexual / straight","100","100","36210","33790"
"In post","2022","20-29","Analysis","Operational Research","LGBO","30","30","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","Unknown","60","60","32820","33630"
"In post","2022","20-29","Analysis","Other","Heterosexual / straight","80","75","36940","33260"
"In post","2022","20-29","Analysis","Other","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Other","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Other","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","Heterosexual / straight","135","135","40300","36650"
"In post","2022","20-29","Analysis","Policy","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","Undeclared","25","25","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Analysis","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","Heterosexual / straight","30","30","29900","29270"
"In post","2022","20-29","Analysis","Science and Engineering","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","Unknown","95","95","27840","29230"
"In post","2022","20-29","Analysis","Social Research","Heterosexual / straight","325","325","36050","33710"
"In post","2022","20-29","Analysis","Social Research","LGBO","65","60","34190","31700"
"In post","2022","20-29","Analysis","Social Research","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Analysis","Social Research","Unknown","60","60","35230","33710"
"In post","2022","20-29","Analysis","Statistics","Heterosexual / straight","470","465","36360","34500"
"In post","2022","20-29","Analysis","Statistics","LGBO","85","85","37020","33370"
"In post","2022","20-29","Analysis","Statistics","Undeclared","55","55","36800","34710"
"In post","2022","20-29","Analysis","Statistics","Unknown","100","95","35400","34000"
"In post","2022","20-29","Analysis","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","Heterosexual / straight","60","55","30310","27500"
"In post","2022","20-29","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","Commercial","Heterosexual / straight","500","495","32770","30940"
"In post","2022","20-29","Commercial","Commercial","LGBO","60","60","33620","33000"
"In post","2022","20-29","Commercial","Commercial","Undeclared","65","65","37760","36820"
"In post","2022","20-29","Commercial","Commercial","Unknown","165","165","31130","29100"
"In post","2022","20-29","Commercial","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Operational Delivery","Heterosexual / straight","60","60","35890","33000"
"In post","2022","20-29","Commercial","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Science and Engineering","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
