"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G7","Male","1305","1295","57060","54700"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","SCS level","Female","310","300","94250","85060"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","SCS level","Male","420","420","105120","95050"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Female","1765","1740","31520","32000"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Male","1350","1340","31880","32000"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Female","600","585","40100","40600"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Male","450","450","40240","40600"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Female","25","25","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Male","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Female","90","80","25220","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Male","60","60","25320","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Male","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Female","35","30","48650","47820"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Male","55","55","49190","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Female","90","85","29810","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Male","95","95","29840","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Female","70","65","36860","36580"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Male","80","75","37410","36580"
"In post","2022","Charity Commission","AA/AO","AO","Female","20","15","[c]","[c]"
"In post","2022","Charity Commission","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","EO","EO","Female","75","70","25080","24440"
"In post","2022","Charity Commission","EO","EO","Male","40","40","25090","24440"
"In post","2022","Charity Commission","G6/G7","G6","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G7","Female","40","35","51320","51070"
"In post","2022","Charity Commission","G6/G7","G7","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","HEO","Female","90","80","29240","29160"
"In post","2022","Charity Commission","SEO/HEO","HEO","Male","60","60","29190","29160"
"In post","2022","Charity Commission","SEO/HEO","SEO","Female","55","50","37300","37910"
"In post","2022","Charity Commission","SEO/HEO","SEO","Male","45","45","37890","37910"
"In post","2022","Companies House","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","AA/AO","AO","Female","300","250","21850","22740"
"In post","2022","Companies House","AA/AO","AO","Male","150","145","21490","21190"
"In post","2022","Companies House","EO","EO","Female","150","135","26480","25100"
"In post","2022","Companies House","EO","EO","Male","150","150","28350","27460"
"In post","2022","Companies House","G6/G7","G6","Female","15","15","[c]","[c]"
"In post","2022","Companies House","G6/G7","G6","Male","15","15","[c]","[c]"
"In post","2022","Companies House","G6/G7","G7","Female","35","35","52670","50120"
"In post","2022","Companies House","G6/G7","G7","Male","30","30","[c]","[c]"
"In post","2022","Companies House","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","HEO","Female","95","90","34050","34090"
"In post","2022","Companies House","SEO/HEO","HEO","Male","75","75","34990","36030"
"In post","2022","Companies House","SEO/HEO","SEO","Female","65","60","42230","40500"
"In post","2022","Companies House","SEO/HEO","SEO","Male","95","90","43690","42990"
"In post","2022","Competition and Markets Authority","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","AA/AO","AO","Male","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","EO","EO","Female","35","35","27840","27920"
"In post","2022","Competition and Markets Authority","EO","EO","Male","30","30","28570","28160"
"In post","2022","Competition and Markets Authority","G6/G7","G6","Female","100","90","75930","75140"
"In post","2022","Competition and Markets Authority","G6/G7","G6","Male","105","105","75870","75140"
"In post","2022","Competition and Markets Authority","G6/G7","G7","Female","120","115","56930","56270"
"In post","2022","Competition and Markets Authority","G6/G7","G7","Male","125","120","57570","56380"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","Female","50","50","104770","99060"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","Male","75","70","109700","100770"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","Female","80","75","34810","34570"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","Male","65","65","34820","34570"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","Female","35","35","43310","43490"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","Male","25","25","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AO","Female","65","55","21180","20970"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AO","Male","45","45","21210","21250"
"In post","2022","Criminal Injuries Compensation Authority","EO","EO","Female","45","45","25270","25120"
"In post","2022","Criminal Injuries Compensation Authority","EO","EO","Male","35","35","25460","25120"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G7","Female","10","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","HEO","Female","45","40","30750","30450"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","HEO","Male","40","40","30950","30450"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","SEO","Male","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","AA/AO","AO","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","AA/AO","AO","Male","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","EO","EO","Female","70","65","26120","25950"
"In post","2022","Crown Commercial Service","EO","EO","Male","45","45","25760","25520"
"In post","2022","Crown Commercial Service","G6/G7","G6","Female","25","25","[c]","[c]"
"In post","2022","Crown Commercial Service","G6/G7","G6","Male","25","25","[c]","[c]"
"In post","2022","Crown Commercial Service","G6/G7","G7","Female","90","85","51250","51600"
"In post","2022","Crown Commercial Service","G6/G7","G7","Male","65","65","52200","51600"
"In post","2022","Crown Commercial Service","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","SEO/HEO","HEO","Female","105","100","31140","30940"
"In post","2022","Crown Commercial Service","SEO/HEO","HEO","Male","90","90","31080","30940"
"In post","2022","Crown Commercial Service","SEO/HEO","SEO","Female","125","120","38770","38980"
"In post","2022","Crown Commercial Service","SEO/HEO","SEO","Male","120","120","39350","39360"
"In post","2022","Crown Office and Procurator Fiscal Service","AA/AO","AO","Female","580","520","22550","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","AA/AO","AO","Male","210","200","22440","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","EO","EO","Female","290","275","28540","27940"
"In post","2022","Crown Office and Procurator Fiscal Service","EO","EO","Male","95","95","29060","28990"
"In post","2022","Crown Office and Procurator Fiscal Service","G6/G7","G6","Female","25","25","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","G6/G7","G7","Female","140","125","67510","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","G6/G7","G7","Male","50","50","66510","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","Female","270","255","34100","34600"
"In post","2022","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","Male","120","115","34470","34600"
"In post","2022","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","Female","360","335","48920","47490"
"In post","2022","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","Male","180","175","49870","51490"
"In post","2022","Crown Prosecution Service","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2022","Crown Prosecution Service","AA/AO","AO","Female","1070","960","22670","22200"
"In post","2022","Crown Prosecution Service","AA/AO","AO","Male","370","360","22700","22200"
"In post","2022","Crown Prosecution Service","EO","EO","Female","1080","985","27690","27760"
"In post","2022","Crown Prosecution Service","EO","EO","Male","380","375","27730","27760"
"In post","2022","Crown Prosecution Service","G6/G7","G6","Female","120","115","72110","70350"
"In post","2022","Crown Prosecution Service","G6/G7","G6","Male","125","125","75620","73210"
"In post","2022","Crown Prosecution Service","G6/G7","G7","Female","1755","1575","55490","54770"
"In post","2022","Crown Prosecution Service","G6/G7","G7","Male","1055","1020","56480","55610"
"In post","2022","Crown Prosecution Service","SCS level","SCS level","Female","50","50","93180","88150"
"In post","2022","Crown Prosecution Service","SCS level","SCS level","Male","35","35","96590","91020"
"In post","2022","Crown Prosecution Service","SEO/HEO","HEO","Female","505","475","34400","33610"
"In post","2022","Crown Prosecution Service","SEO/HEO","HEO","Male","250","250","33890","33310"
"In post","2022","Crown Prosecution Service","SEO/HEO","SEO","Female","155","150","39910","39750"
"In post","2022","Crown Prosecution Service","SEO/HEO","SEO","Male","90","90","39840","39750"
"In post","2022","Defence Electronics and Components Agency","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","AA/AO","AA","Male","35","35","18630","17450"
"In post","2022","Defence Electronics and Components Agency","AA/AO","AO","Female","25","20","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","AA/AO","AO","Male","35","35","22190","21770"
"In post","2022","Defence Electronics and Components Agency","EO","EO","Female","20","20","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","EO","EO","Male","230","220","29070","29470"
"In post","2022","Defence Electronics and Components Agency","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","SEO/HEO","HEO","Female","15","15","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","SEO/HEO","HEO","Male","50","50","36090","33670"
"In post","2022","Defence Electronics and Components Agency","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","SEO/HEO","SEO","Male","5","5","[c]","[c]"
"In post","2022","Defence Equipment and Support","EO","EO","Female","920","840","22570","22000"
"In post","2022","Defence Equipment and Support","EO","EO","Male","1435","1415","22490","21560"
"In post","2022","Defence Equipment and Support","G6/G7","G6","Female","120","120","66910","66200"
"In post","2022","Defence Equipment and Support","G6/G7","G6","Male","325","315","68750","67790"
"In post","2022","Defence Equipment and Support","G6/G7","G7","Female","395","375","51200","51280"
"In post","2022","Defence Equipment and Support","G6/G7","G7","Male","950","935","52640","53310"
"In post","2022","Defence Equipment and Support","SCS level","SCS level","Female","30","30","94720","91630"
"In post","2022","Defence Equipment and Support","SCS level","SCS level","Male","80","80","104870","95700"
"In post","2022","Defence Equipment and Support","SEO/HEO","HEO","Female","1275","1180","29620","29750"
"In post","2022","Defence Equipment and Support","SEO/HEO","HEO","Male","1930","1900","30920","31380"
"In post","2022","Defence Equipment and Support","SEO/HEO","SEO","Female","975","920","39320","39600"
"In post","2022","Defence Equipment and Support","SEO/HEO","SEO","Male","2300","2245","40800","41060"
"In post","2022","Defence Equipment and Support","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","AA/AO","AA","Female","15","15","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","AA/AO","AA","Male","35","35","19870","17790"
"In post","2022","Defence Science and Technology Laboratory","AA/AO","AO","Female","45","45","20120","18330"
"In post","2022","Defence Science and Technology Laboratory","AA/AO","AO","Male","90","90","21240","22230"
"In post","2022","Defence Science and Technology Laboratory","EO","EO","Female","180","165","24670","23490"
"In post","2022","Defence Science and Technology Laboratory","EO","EO","Male","105","105","25160","23490"
"In post","2022","Defence Science and Technology Laboratory","G6/G7","G6","Female","40","40","68310","67780"
"In post","2022","Defence Science and Technology Laboratory","G6/G7","G6","Male","125","120","71570","68470"
"In post","2022","Defence Science and Technology Laboratory","G6/G7","G7","Female","535","500","50230","47010"
"In post","2022","Defence Science and Technology Laboratory","G6/G7","G7","Male","1245","1205","51410","47660"
"In post","2022","Defence Science and Technology Laboratory","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","SEO/HEO","HEO","Female","460","440","30400","29230"
"In post","2022","Defence Science and Technology Laboratory","SEO/HEO","HEO","Male","715","705","30150","29230"
"In post","2022","Defence Science and Technology Laboratory","SEO/HEO","SEO","Female","380","350","39240","38070"
"In post","2022","Defence Science and Technology Laboratory","SEO/HEO","SEO","Male","675","665","39440","38070"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","Female","35","35","24180","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","Male","35","35","25290","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","Female","270","260","27780","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","Male","160","160","27870","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","Female","320","300","66680","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","Male","395","390","67580","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","Female","915","885","54730","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","Male","1000","990","55220","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","Female","165","150","87220","82440"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","Male","170","165","89130","81560"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","Female","635","625","33950","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","Male","615","615","34810","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","Female","660","645","41540","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","Male","640","635","41850","40050"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","AO","Female","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","AO","Male","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","EO","Female","120","120","26910","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","EO","Male","65","65","26570","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G6","Female","130","130","63500","62820"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G6","Male","105","105","64400","63110"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G7","Female","345","335","53340","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G7","Male","335","335","53800","52130"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Female","70","65","83490","75250"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Male","55","55","83710","77430"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Female","425","420","35430","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Male","350","350","35420","34020"
"In post","2022","Department for Education (excl. agencies)","AA/AO","AO","Female","60","55","22080","21250"
"In post","2022","Department for Education (excl. agencies)","AA/AO","AO","Male","25","25","[c]","[c]"
"In post","2022","Department for Education (excl. agencies)","EO","EO","Female","445","425","26410","25000"
"In post","2022","Department for Education (excl. agencies)","EO","EO","Male","270","265","26510","25000"
"In post","2022","Department for Education (excl. agencies)","G6/G7","G6","Female","415","390","64100","64180"
"In post","2022","Department for Education (excl. agencies)","G6/G7","G6","Male","380","375","64780","64180"
"In post","2022","Department for Education (excl. agencies)","G6/G7","G7","Female","990","940","52340","50630"
"In post","2022","Department for Education (excl. agencies)","G6/G7","G7","Male","660","655","52150","50630"
"In post","2022","Department for Education (excl. agencies)","SCS level","SCS level","Female","140","135","81230","74100"
"In post","2022","Department for Education (excl. agencies)","SCS level","SCS level","Male","95","90","84020","74100"
"In post","2022","Department for Education (excl. agencies)","SEO/HEO","HEO","Female","760","725","31360","30200"
"In post","2022","Department for Education (excl. agencies)","SEO/HEO","HEO","Male","455","455","31460","30200"
"In post","2022","Department for Education (excl. agencies)","SEO/HEO","SEO","Female","980","930","38960","37100"
"In post","2022","Department for Education (excl. agencies)","SEO/HEO","SEO","Male","625","620","39010","37100"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","Female","105","90","22820","21500"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","Male","70","65","22960","24370"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","Female","390","375","26610","25510"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","Male","255","250","26780","25910"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","Female","270","255","62780","62780"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","Male","270","265","62950","62310"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","Female","850","805","51430","52080"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","Male","785","775","51950","52290"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","Female","95","90","83740","76390"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","Male","105","100","83200","77450"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","Female","900","865","31660","31610"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","Male","700","695","32000","32560"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","Female","970","915","38530","37650"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","Male","695","690","38870","38060"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","AO","Female","15","15","[c]","[c]"
