"Status","Year","Age","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","16-19","Unknown","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Medway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","South Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Southend-on-Sea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Suffolk CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Westminster","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Angus and Dundee City","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
