"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East of England","HEO","Heterosexual / straight","55","50","31960","31250"
"In post","2022","Commercial","East of England","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","SEO","Heterosexual / straight","50","50","41200","40040"
"In post","2022","Commercial","East of England","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","East of England","SEO","Unknown","15","10","[c]","[c]"
"In post","2022","Commercial","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","London","AO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","London","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","AO","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","London","EO","Heterosexual / straight","70","70","29380","29970"
"In post","2022","Commercial","London","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","EO","Unknown","35","35","28460","28650"
"In post","2022","Commercial","London","G6","Heterosexual / straight","75","70","70520","67980"
"In post","2022","Commercial","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","G6","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","London","G6","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","London","G7","Heterosexual / straight","125","125","56830","54110"
"In post","2022","Commercial","London","G7","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","London","G7","Undeclared","45","45","54560","53360"
"In post","2022","Commercial","London","G7","Unknown","30","30","[c]","[c]"
"In post","2022","Commercial","London","HEO","Heterosexual / straight","150","145","35050","34710"
"In post","2022","Commercial","London","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","London","HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","London","HEO","Unknown","35","35","35390","34710"
"In post","2022","Commercial","London","SCS level","Heterosexual / straight","40","40","83650","79250"
"In post","2022","Commercial","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","SEO","Heterosexual / straight","215","210","43990","42470"
"In post","2022","Commercial","London","SEO","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","London","SEO","Undeclared","50","50","42010","40650"
"In post","2022","Commercial","London","SEO","Unknown","35","35","42730","41950"
"In post","2022","Commercial","London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","EO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Commercial","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","North East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","North East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","HEO","Heterosexual / straight","35","35","31750","31990"
"In post","2022","Commercial","North East (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","SEO","Heterosexual / straight","60","60","38860","36780"
"In post","2022","Commercial","North East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","North West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","North West (England)","EO","Heterosexual / straight","65","60","26420","26180"
"In post","2022","Commercial","North West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","North West (England)","EO","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","North West (England)","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","North West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","G7","Heterosexual / straight","60","55","52270","50130"
"In post","2022","Commercial","North West (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","G7","Unknown","10","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","HEO","Heterosexual / straight","110","105","31570","31250"
"In post","2022","Commercial","North West (England)","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","North West (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","North West (England)","HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","North West (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","SEO","Heterosexual / straight","160","155","39660","38980"
"In post","2022","Commercial","North West (England)","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","North West (England)","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","North West (England)","SEO","Unknown","35","35","39980","39390"
"In post","2022","Commercial","North West (England)","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","AA","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Scotland","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","AO","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","Scotland","EO","Heterosexual / straight","30","30","27650","26670"
"In post","2022","Commercial","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Scotland","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Scotland","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","HEO","Heterosexual / straight","60","60","34590","33930"
"In post","2022","Commercial","Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","SEO","Heterosexual / straight","40","40","42010","42080"
"In post","2022","Commercial","Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","SEO","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Scotland","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","South East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","EO","Heterosexual / straight","75","75","26510","26350"
"In post","2022","Commercial","South East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","South East (England)","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","South East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","South East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","HEO","Heterosexual / straight","100","95","33470","33880"
"In post","2022","Commercial","South East (England)","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","South East (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","South East (England)","HEO","Unknown","15","10","[c]","[c]"
"In post","2022","Commercial","South East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","SEO","Heterosexual / straight","130","125","41860","41620"
"In post","2022","Commercial","South East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","SEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","South East (England)","SEO","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","South East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","South West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","South West (England)","EO","Heterosexual / straight","185","175","24710","25630"
"In post","2022","Commercial","South West (England)","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","South West (England)","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","South West (England)","EO","Unknown","30","30","25800","26510"
"In post","2022","Commercial","South West (England)","G6","Heterosexual / straight","100","95","66400","67150"
"In post","2022","Commercial","South West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","G6","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","South West (England)","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","G7","Heterosexual / straight","210","200","51370","51280"
"In post","2022","Commercial","South West (England)","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","G7","Undeclared","35","35","52130","52240"
"In post","2022","Commercial","South West (England)","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","South West (England)","HEO","Heterosexual / straight","375","355","31840","33000"
"In post","2022","Commercial","South West (England)","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","South West (England)","HEO","Undeclared","50","45","32750","33300"
"In post","2022","Commercial","South West (England)","HEO","Unknown","55","55","31510","32950"
"In post","2022","Commercial","South West (England)","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","South West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","SEO","Heterosexual / straight","405","390","40360","40580"
"In post","2022","Commercial","South West (England)","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","South West (England)","SEO","Undeclared","65","60","40140","40580"
"In post","2022","Commercial","South West (England)","SEO","Unknown","65","65","39950","39640"
"In post","2022","Commercial","South West (England)","Unknown","Heterosexual / straight","105","105","40750","38150"
"In post","2022","Commercial","South West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","South West (England)","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Commercial","Wales","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Wales","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Wales","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","EO","Heterosexual / straight","45","45","26420","26130"
"In post","2022","Commercial","Wales","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Wales","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Wales","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","G7","Heterosexual / straight","35","30","52690","51690"
"In post","2022","Commercial","Wales","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Wales","HEO","Heterosexual / straight","90","85","31600","31040"
"In post","2022","Commercial","Wales","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","HEO","Undeclared","15","10","[c]","[c]"
"In post","2022","Commercial","Wales","HEO","Unknown","15","10","[c]","[c]"
"In post","2022","Commercial","Wales","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","SEO","Heterosexual / straight","55","55","40500","39510"
"In post","2022","Commercial","Wales","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Wales","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","EO","Heterosexual / straight","35","35","26360","26350"
"In post","2022","Commercial","West Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","HEO","Heterosexual / straight","45","45","31980","31180"
"In post","2022","Commercial","West Midlands (England)","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","SEO","Heterosexual / straight","70","70","41020","40150"
"In post","2022","Commercial","West Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","SEO","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","AO","Heterosexual / straight","30","25","21240","21260"
"In post","2022","Commercial","Yorkshire and The Humber","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","EO","Heterosexual / straight","60","55","25900","25160"
"In post","2022","Commercial","Yorkshire and The Humber","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","EO","Undeclared","10","10","[c]","[c]"
