"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","North Northamptonshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","North Northamptonshire","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","East Midlands (England)","North Northamptonshire","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","North Northamptonshire","Unknown","Female","45","40","28380","28200"
"In post","2022","East Midlands (England)","North Northamptonshire","Unknown","Male","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","North Nottinghamshire","AA/AO","Female","180","160","22900","21910"
"In post","2022","East Midlands (England)","North Nottinghamshire","AA/AO","Male","245","235","25310","25610"
"In post","2022","East Midlands (England)","North Nottinghamshire","EO","Female","200","175","27380","27570"
"In post","2022","East Midlands (England)","North Nottinghamshire","EO","Male","130","125","28490","27570"
"In post","2022","East Midlands (England)","North Nottinghamshire","G6/G7","Female","25","20","[c]","[c]"
"In post","2022","East Midlands (England)","North Nottinghamshire","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","East Midlands (England)","North Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","North Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","North Nottinghamshire","SEO/HEO","Female","85","80","39670","38160"
"In post","2022","East Midlands (England)","North Nottinghamshire","SEO/HEO","Male","80","80","40130","38160"
"In post","2022","East Midlands (England)","North Nottinghamshire","Unknown","Female","110","100","29810","28200"
"In post","2022","East Midlands (England)","North Nottinghamshire","Unknown","Male","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","Nottingham","AA/AO","Female","1175","1030","21710","21250"
"In post","2022","East Midlands (England)","Nottingham","AA/AO","Male","970","925","22500","21260"
"In post","2022","East Midlands (England)","Nottingham","EO","Female","1375","1245","26780","26820"
"In post","2022","East Midlands (England)","Nottingham","EO","Male","975","950","26960","26820"
"In post","2022","East Midlands (England)","Nottingham","G6/G7","Female","535","510","56460","55210"
"In post","2022","East Midlands (England)","Nottingham","G6/G7","Male","505","495","56990","55210"
"In post","2022","East Midlands (England)","Nottingham","SCS level","Female","30","30","89710","83370"
"In post","2022","East Midlands (England)","Nottingham","SCS level","Male","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","Nottingham","SEO/HEO","Female","1590","1490","35610","33370"
"In post","2022","East Midlands (England)","Nottingham","SEO/HEO","Male","1375","1340","35530","33370"
"In post","2022","East Midlands (England)","Nottingham","Unknown","Female","205","180","28590","28200"
"In post","2022","East Midlands (England)","Nottingham","Unknown","Male","65","60","29460","28200"
"In post","2022","East Midlands (England)","South and West Derbyshire","AA/AO","Female","195","175","23980","22410"
"In post","2022","East Midlands (England)","South and West Derbyshire","AA/AO","Male","130","125","25910","25700"
"In post","2022","East Midlands (England)","South and West Derbyshire","EO","Female","225","195","27620","27570"
"In post","2022","East Midlands (England)","South and West Derbyshire","EO","Male","135","125","27850","27570"
"In post","2022","East Midlands (England)","South and West Derbyshire","G6/G7","Female","60","55","59450","57510"
"In post","2022","East Midlands (England)","South and West Derbyshire","G6/G7","Male","80","75","61920","59150"
"In post","2022","East Midlands (England)","South and West Derbyshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","South and West Derbyshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","South and West Derbyshire","SEO/HEO","Female","185","170","37150","35310"
"In post","2022","East Midlands (England)","South and West Derbyshire","SEO/HEO","Male","135","130","39270","38160"
"In post","2022","East Midlands (England)","South and West Derbyshire","Unknown","Female","35","25","30710","28880"
"In post","2022","East Midlands (England)","South and West Derbyshire","Unknown","Male","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","South Nottinghamshire","AA/AO","Female","210","190","22780","21830"
"In post","2022","East Midlands (England)","South Nottinghamshire","AA/AO","Male","210","205","24580","23140"
"In post","2022","East Midlands (England)","South Nottinghamshire","EO","Female","100","90","27630","27380"
"In post","2022","East Midlands (England)","South Nottinghamshire","EO","Male","130","125","28930","27570"
"In post","2022","East Midlands (England)","South Nottinghamshire","G6/G7","Female","50","45","60030","54760"
"In post","2022","East Midlands (England)","South Nottinghamshire","G6/G7","Male","30","30","[c]","[c]"
"In post","2022","East Midlands (England)","South Nottinghamshire","SCS level","Female","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","South Nottinghamshire","SCS level","Male","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","South Nottinghamshire","SEO/HEO","Female","185","175","38040","38000"
"In post","2022","East Midlands (England)","South Nottinghamshire","SEO/HEO","Male","110","110","38610","37280"
"In post","2022","East Midlands (England)","South Nottinghamshire","Unknown","Female","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","South Nottinghamshire","Unknown","Male","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","West Northamptonshire","AA/AO","Female","290","250","22100","20970"
"In post","2022","East Midlands (England)","West Northamptonshire","AA/AO","Male","185","180","24350","23140"
"In post","2022","East Midlands (England)","West Northamptonshire","EO","Female","165","155","27160","27570"
"In post","2022","East Midlands (England)","West Northamptonshire","EO","Male","140","135","28060","27570"
"In post","2022","East Midlands (England)","West Northamptonshire","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","West Northamptonshire","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","West Northamptonshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","West Northamptonshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","West Northamptonshire","SEO/HEO","Female","75","70","37210","36050"
"In post","2022","East Midlands (England)","West Northamptonshire","SEO/HEO","Male","55","55","37300","36050"
"In post","2022","East Midlands (England)","West Northamptonshire","Unknown","Female","135","125","29970","28200"
"In post","2022","East Midlands (England)","West Northamptonshire","Unknown","Male","35","35","29730","29490"
"In post","2022","East of England","Bedford","AA/AO","Female","155","145","25050","22910"
"In post","2022","East of England","Bedford","AA/AO","Male","135","135","27480","28140"
"In post","2022","East of England","Bedford","EO","Female","155","135","27520","27570"
"In post","2022","East of England","Bedford","EO","Male","120","115","27770","27570"
"In post","2022","East of England","Bedford","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","East of England","Bedford","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","East of England","Bedford","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Bedford","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Bedford","SEO/HEO","Female","75","70","38340","36740"
"In post","2022","East of England","Bedford","SEO/HEO","Male","75","75","38640","37450"
"In post","2022","East of England","Bedford","Unknown","Female","80","70","28670","26310"
"In post","2022","East of England","Bedford","Unknown","Male","25","25","[c]","[c]"
"In post","2022","East of England","Breckland and South Norfolk","AA/AO","Female","110","100","23490","23140"
"In post","2022","East of England","Breckland and South Norfolk","AA/AO","Male","165","160","24900","24260"
"In post","2022","East of England","Breckland and South Norfolk","EO","Female","65","55","27640","27570"
"In post","2022","East of England","Breckland and South Norfolk","EO","Male","60","60","29690","28040"
"In post","2022","East of England","Breckland and South Norfolk","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","East of England","Breckland and South Norfolk","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","East of England","Breckland and South Norfolk","SEO/HEO","Female","40","40","39430","37440"
"In post","2022","East of England","Breckland and South Norfolk","SEO/HEO","Male","50","45","39680","38160"
"In post","2022","East of England","Breckland and South Norfolk","Unknown","Female","5","5","[c]","[c]"
"In post","2022","East of England","Breckland and South Norfolk","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Cambridgeshire CC","AA/AO","Female","510","465","23510","21820"
"In post","2022","East of England","Cambridgeshire CC","AA/AO","Male","660","630","27870","28700"
"In post","2022","East of England","Cambridgeshire CC","EO","Female","365","340","27210","26680"
"In post","2022","East of England","Cambridgeshire CC","EO","Male","375","370","29820","27570"
"In post","2022","East of England","Cambridgeshire CC","G6/G7","Female","110","105","58690","54540"
"In post","2022","East of England","Cambridgeshire CC","G6/G7","Male","145","145","58630","54540"
"In post","2022","East of England","Cambridgeshire CC","SCS level","Female","15","15","[c]","[c]"
"In post","2022","East of England","Cambridgeshire CC","SCS level","Male","20","20","[c]","[c]"
"In post","2022","East of England","Cambridgeshire CC","SEO/HEO","Female","515","490","36410","33560"
"In post","2022","East of England","Cambridgeshire CC","SEO/HEO","Male","605","595","38080","36460"
"In post","2022","East of England","Cambridgeshire CC","Unknown","Female","135","125","28740","28200"
"In post","2022","East of England","Cambridgeshire CC","Unknown","Male","30","25","[c]","[c]"
"In post","2022","East of England","Central Bedfordshire","AA/AO","Female","60","60","20970","21170"
"In post","2022","East of England","Central Bedfordshire","AA/AO","Male","65","60","21140","20770"
"In post","2022","East of England","Central Bedfordshire","EO","Female","75","70","27810","26930"
"In post","2022","East of England","Central Bedfordshire","EO","Male","60","60","28350","27570"
"In post","2022","East of England","Central Bedfordshire","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","East of England","Central Bedfordshire","G6/G7","Male","20","15","[c]","[c]"
"In post","2022","East of England","Central Bedfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Central Bedfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Central Bedfordshire","SEO/HEO","Female","45","45","36440","34290"
"In post","2022","East of England","Central Bedfordshire","SEO/HEO","Male","110","110","37690","36460"
"In post","2022","East of England","Essex Haven Gateway","AA/AO","Female","105","95","23090","21680"
"In post","2022","East of England","Essex Haven Gateway","AA/AO","Male","100","95","24460","21840"
"In post","2022","East of England","Essex Haven Gateway","EO","Female","235","215","29150","29290"
"In post","2022","East of England","Essex Haven Gateway","EO","Male","205","195","28920","29290"
"In post","2022","East of England","Essex Haven Gateway","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","East of England","Essex Haven Gateway","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","East of England","Essex Haven Gateway","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Essex Haven Gateway","SCS level","Male","5","5","[c]","[c]"
"In post","2022","East of England","Essex Haven Gateway","SEO/HEO","Female","85","80","37970","36400"
"In post","2022","East of England","Essex Haven Gateway","SEO/HEO","Male","95","95","39210","36910"
"In post","2022","East of England","Essex Haven Gateway","Unknown","Female","70","65","30500","26310"
"In post","2022","East of England","Essex Haven Gateway","Unknown","Male","15","15","[c]","[c]"
"In post","2022","East of England","Essex Thames Gateway","AA/AO","Female","295","260","23850","24250"
"In post","2022","East of England","Essex Thames Gateway","AA/AO","Male","95","90","23940","24250"
"In post","2022","East of England","Essex Thames Gateway","EO","Female","265","230","29680","29290"
"In post","2022","East of England","Essex Thames Gateway","EO","Male","105","100","29620","29290"
"In post","2022","East of England","Essex Thames Gateway","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","East of England","Essex Thames Gateway","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Essex Thames Gateway","SEO/HEO","Female","55","50","37600","36840"
"In post","2022","East of England","Essex Thames Gateway","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","East of England","Essex Thames Gateway","Unknown","Female","90","80","27660","24090"
"In post","2022","East of England","Essex Thames Gateway","Unknown","Male","20","20","[c]","[c]"
"In post","2022","East of England","Heart of Essex","AA/AO","Female","240","220","23700","21860"
"In post","2022","East of England","Heart of Essex","AA/AO","Male","210","205","27430","28450"
"In post","2022","East of England","Heart of Essex","EO","Female","185","180","28960","29290"
"In post","2022","East of England","Heart of Essex","EO","Male","135","135","29670","29290"
"In post","2022","East of England","Heart of Essex","G6/G7","Female","75","70","59330","55610"
"In post","2022","East of England","Heart of Essex","G6/G7","Male","40","40","62060","60430"
"In post","2022","East of England","Heart of Essex","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Heart of Essex","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Heart of Essex","SEO/HEO","Female","115","110","36920","36480"
"In post","2022","East of England","Heart of Essex","SEO/HEO","Male","80","80","40210","38160"
"In post","2022","East of England","Heart of Essex","Unknown","Female","115","105","28480","24800"
"In post","2022","East of England","Heart of Essex","Unknown","Male","40","40","31170","28200"
"In post","2022","East of England","Hertfordshire CC","AA/AO","Female","365","330","24660","24170"
"In post","2022","East of England","Hertfordshire CC","AA/AO","Male","295","290","26780","25110"
"In post","2022","East of England","Hertfordshire CC","EO","Female","565","515","29730","29290"
"In post","2022","East of England","Hertfordshire CC","EO","Male","335","330","30370","29290"
"In post","2022","East of England","Hertfordshire CC","G6/G7","Female","185","175","61200","59730"
"In post","2022","East of England","Hertfordshire CC","G6/G7","Male","160","160","61460","59730"
"In post","2022","East of England","Hertfordshire CC","SCS level","Female","20","20","[c]","[c]"
"In post","2022","East of England","Hertfordshire CC","SCS level","Male","15","15","[c]","[c]"
"In post","2022","East of England","Hertfordshire CC","SEO/HEO","Female","390","370","39550","38890"
"In post","2022","East of England","Hertfordshire CC","SEO/HEO","Male","295","290","39680","38340"
"In post","2022","East of England","Hertfordshire CC","Unknown","Female","180","165","30510","28200"
"In post","2022","East of England","Hertfordshire CC","Unknown","Male","40","40","30810","28200"
"In post","2022","East of England","Luton","AA/AO","Female","75","60","20890","20970"
"In post","2022","East of England","Luton","AA/AO","Male","35","35","21320","21260"
"In post","2022","East of England","Luton","EO","Female","155","140","27490","27570"
"In post","2022","East of England","Luton","EO","Male","150","135","28470","27570"
"In post","2022","East of England","Luton","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Luton","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","East of England","Luton","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2022","East of England","Luton","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","East of England","Luton","Unknown","Female","70","65","28270","25560"
"In post","2022","East of England","Luton","Unknown","Male","15","15","[c]","[c]"
"In post","2022","East of England","North and West Norfolk","AA/AO","Female","215","190","22760","21190"
"In post","2022","East of England","North and West Norfolk","AA/AO","Male","280","270","25830","23140"
"In post","2022","East of England","North and West Norfolk","EO","Female","110","95","27700","27570"
"In post","2022","East of England","North and West Norfolk","EO","Male","95","90","28900","27570"
"In post","2022","East of England","North and West Norfolk","G6/G7","Female","10","5","[c]","[c]"
"In post","2022","East of England","North and West Norfolk","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","East of England","North and West Norfolk","SEO/HEO","Female","60","55","34980","33000"
"In post","2022","East of England","North and West Norfolk","SEO/HEO","Male","120","110","36430","35620"
"In post","2022","East of England","North and West Norfolk","Unknown","Female","30","30","30180","28200"
"In post","2022","East of England","North and West Norfolk","Unknown","Male","15","15","[c]","[c]"
"In post","2022","East of England","Norwich and East Norfolk","AA/AO","Female","325","270","21720","21260"
"In post","2022","East of England","Norwich and East Norfolk","AA/AO","Male","305","295","23550","23140"
"In post","2022","East of England","Norwich and East Norfolk","EO","Female","340","285","27180","27570"
"In post","2022","East of England","Norwich and East Norfolk","EO","Male","255","240","27860","27570"
"In post","2022","East of England","Norwich and East Norfolk","G6/G7","Female","60","60","54640","52000"
"In post","2022","East of England","Norwich and East Norfolk","G6/G7","Male","65","65","58270","55630"
"In post","2022","East of England","Norwich and East Norfolk","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Norwich and East Norfolk","SCS level","Male","5","5","[c]","[c]"
"In post","2022","East of England","Norwich and East Norfolk","SEO/HEO","Female","170","155","35460","34190"
"In post","2022","East of England","Norwich and East Norfolk","SEO/HEO","Male","200","190","37260","35310"
"In post","2022","East of England","Norwich and East Norfolk","Unknown","Female","175","160","25500","24090"
"In post","2022","East of England","Norwich and East Norfolk","Unknown","Male","105","100","26710","24090"
"In post","2022","East of England","Peterborough","AA/AO","Female","410","345","21290","21680"
"In post","2022","East of England","Peterborough","AA/AO","Male","220","205","21390","21680"
"In post","2022","East of England","Peterborough","EO","Female","255","225","26990","27130"
"In post","2022","East of England","Peterborough","EO","Male","160","150","26970","27130"
"In post","2022","East of England","Peterborough","G6/G7","Female","50","50","56740","52670"
"In post","2022","East of England","Peterborough","G6/G7","Male","45","45","59600","58890"
"In post","2022","East of England","Peterborough","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Peterborough","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Peterborough","SEO/HEO","Female","190","175","35370","33840"
"In post","2022","East of England","Peterborough","SEO/HEO","Male","165","160","35570","33840"
"In post","2022","East of England","Peterborough","Unknown","Female","90","80","28790","28200"
"In post","2022","East of England","Peterborough","Unknown","Male","40","40","31030","28540"
"In post","2022","East of England","Southend-on-Sea","AA/AO","Female","155","120","22350","22080"
"In post","2022","East of England","Southend-on-Sea","AA/AO","Male","55","55","21720","21250"
"In post","2022","East of England","Southend-on-Sea","EO","Female","210","180","28640","29290"
"In post","2022","East of England","Southend-on-Sea","EO","Male","105","100","28200","28920"
"In post","2022","East of England","Southend-on-Sea","G6/G7","Female","45","45","57520","55210"
"In post","2022","East of England","Southend-on-Sea","G6/G7","Male","65","60","58480","55210"
"In post","2022","East of England","Southend-on-Sea","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Southend-on-Sea","SCS level","Male","5","5","[c]","[c]"
"In post","2022","East of England","Southend-on-Sea","SEO/HEO","Female","195","175","37250","37930"
"In post","2022","East of England","Southend-on-Sea","SEO/HEO","Male","195","185","36970","35980"
"In post","2022","East of England","Southend-on-Sea","Unknown","Female","55","50","29030","27060"
"In post","2022","East of England","Southend-on-Sea","Unknown","Male","20","20","[c]","[c]"
"In post","2022","East of England","Suffolk CC","AA/AO","Female","830","735","22350","21380"
"In post","2022","East of England","Suffolk CC","AA/AO","Male","780","760","24590","21850"
"In post","2022","East of England","Suffolk CC","EO","Female","655","590","27120","27570"
"In post","2022","East of England","Suffolk CC","EO","Male","560","545","27850","27380"
"In post","2022","East of England","Suffolk CC","G6/G7","Female","105","95","56300","53210"
"In post","2022","East of England","Suffolk CC","G6/G7","Male","130","125","57360","55210"
"In post","2022","East of England","Suffolk CC","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Suffolk CC","SCS level","Male","10","10","[c]","[c]"
"In post","2022","East of England","Suffolk CC","SEO/HEO","Female","475","445","35290","33430"
"In post","2022","East of England","Suffolk CC","SEO/HEO","Male","540","525","35940","34390"
"In post","2022","East of England","Suffolk CC","Unknown","Female","180","160","29200","26310"
"In post","2022","East of England","Suffolk CC","Unknown","Male","60","50","29850","28200"
"In post","2022","East of England","Thurrock","AA/AO","Female","40","40","22050","21680"
"In post","2022","East of England","Thurrock","AA/AO","Male","50","50","22160","21680"
"In post","2022","East of England","Thurrock","EO","Female","120","110","27720","27370"
"In post","2022","East of England","Thurrock","EO","Male","105","100","26750","25310"
"In post","2022","East of England","Thurrock","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Thurrock","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","East of England","Thurrock","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","East of England","Thurrock","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2022","East of England","West Essex","AA/AO","Female","30","25","[c]","[c]"
"In post","2022","East of England","West Essex","AA/AO","Male","45","45","21150","20970"
"In post","2022","East of England","West Essex","EO","Female","185","165","28010","27370"
"In post","2022","East of England","West Essex","EO","Male","200","170","28330","27370"
"In post","2022","East of England","West Essex","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","East of England","West Essex","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","East of England","West Essex","SCS level","Female","5","5","[c]","[c]"
"In post","2022","East of England","West Essex","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East of England","West Essex","SEO/HEO","Female","90","80","35180","33900"
"In post","2022","East of England","West Essex","SEO/HEO","Male","70","65","33680","30980"
"In post","2022","East of England","West Essex","Unknown","Female","25","20","[c]","[c]"
"In post","2022","East of England","West Essex","Unknown","Male","10","10","[c]","[c]"
"In post","2022","London","Barking & Dagenham and Havering","AA/AO","Female","65","55","23940","23720"
"In post","2022","London","Barking & Dagenham and Havering","AA/AO","Male","35","35","25710","25110"
"In post","2022","London","Barking & Dagenham and Havering","EO","Female","250","225","31000","31060"
"In post","2022","London","Barking & Dagenham and Havering","EO","Male","165","160","31070","31060"
"In post","2022","London","Barking & Dagenham and Havering","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","London","Barking & Dagenham and Havering","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","London","Barking & Dagenham and Havering","SEO/HEO","Female","40","35","39760","38150"
"In post","2022","London","Barking & Dagenham and Havering","SEO/HEO","Male","30","30","38360","36650"
"In post","2022","London","Barking & Dagenham and Havering","Unknown","Female","75","70","32880","32090"
"In post","2022","London","Barking & Dagenham and Havering","Unknown","Male","15","15","[c]","[c]"
"In post","2022","London","Barnet","AA/AO","Female","190","155","24130","23780"
"In post","2022","London","Barnet","AA/AO","Male","75","70","23880","23780"
"In post","2022","London","Barnet","EO","Female","315","280","29720","31060"
"In post","2022","London","Barnet","EO","Male","165","160","29600","30470"
"In post","2022","London","Barnet","G6/G7","Female","175","165","59570","55130"
"In post","2022","London","Barnet","G6/G7","Male","140","135","60980","59680"
"In post","2022","London","Barnet","SCS level","Female","25","20","[c]","[c]"
"In post","2022","London","Barnet","SCS level","Male","25","20","[c]","[c]"
