"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","340","325","40170","40580"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","130","125","40540","37500"
"In post","2022","Commercial","Bedford","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","EO","15","15","26720","25520"
"In post","2022","Commercial","Birmingham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Birmingham","HEO","20","20","32180","31990"
"In post","2022","Commercial","Birmingham","SEO","20","20","40470","38600"
"In post","2022","Commercial","Birmingham","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","EO","10","10","27570","27570"
"In post","2022","Commercial","Blackpool","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Blackpool","HEO","15","10","32220","31990"
"In post","2022","Commercial","Blackpool","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","HEO","20","15","31330","31040"
"In post","2022","Commercial","Bristol, City of","SEO","35","35","39430","39280"
"In post","2022","Commercial","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","EO","10","10","26700","25970"
"In post","2022","Commercial","Buckinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","HEO","15","15","35140","35000"
"In post","2022","Commercial","Buckinghamshire","SEO","25","25","42310","42080"
"In post","2022","Commercial","Calderdale and Kirklees","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","EO","10","10","26520","26670"
"In post","2022","Commercial","Cambridgeshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","HEO","20","20","33840","33300"
"In post","2022","Commercial","Cambridgeshire CC","SEO","15","15","42280","42080"
"In post","2022","Commercial","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","HEO","15","15","33020","31990"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","EO","40","40","25990","26350"
"In post","2022","Commercial","Central Hampshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","HEO","40","40","33720","33770"
"In post","2022","Commercial","Central Hampshire","SEO","50","50","41100","41500"
"In post","2022","Commercial","Central Valleys","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","AA","5","5","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","AO","10","5","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","EO","10","10","29620","29550"
"In post","2022","Commercial","City of Edinburgh","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","G7","10","10","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","HEO","10","10","36150","37030"
"In post","2022","Commercial","City of Edinburgh","SEO","10","10","45010","46100"
"In post","2022","Commercial","Clackmannanshire and Fife","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Conwy and Denbighshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","G7","15","15","49990","50140"
"In post","2022","Commercial","Coventry","HEO","15","15","30610","30090"
"In post","2022","Commercial","Coventry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","SEO","25","25","38120","36780"
"In post","2022","Commercial","Coventry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Croydon","AO","10","10","26390","27060"
"In post","2022","Commercial","Croydon","EO","20","20","29930","30110"
"In post","2022","Commercial","Croydon","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Croydon","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Croydon","HEO","20","20","36660","37290"
"In post","2022","Commercial","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Croydon","SEO","45","40","46070","45920"
"In post","2022","Commercial","Darlington","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Darlington","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Darlington","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Darlington","G7","10","10","50440","50000"
"In post","2022","Commercial","Darlington","HEO","20","20","30450","30090"
"In post","2022","Commercial","Darlington","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Darlington","SEO","25","25","37370","36500"
"In post","2022","Commercial","Devon CC","EO","15","10","25490","25630"
"In post","2022","Commercial","Devon CC","G6","30","30","60330","60490"
"In post","2022","Commercial","Devon CC","G7","75","75","47930","47960"
"In post","2022","Commercial","Devon CC","HEO","30","30","32540","32000"
"In post","2022","Commercial","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon CC","SEO","50","50","38210","38120"
"In post","2022","Commercial","Dorset","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dudley","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","SEO","10","10","41890","41740"
"In post","2022","Commercial","East Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","East Kent","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Kent","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Lancashire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","SEO","10","10","39390","36820"
"In post","2022","Commercial","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Riding of Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Riding of Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Riding of Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Surrey","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Surrey","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Sussex CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Sussex CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Enfield","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Enfield","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Falkirk","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Falkirk","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Flintshire and Wrexham","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Flintshire and Wrexham","EO","10","10","29510","29470"
"In post","2022","Commercial","Flintshire and Wrexham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Flintshire and Wrexham","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Flintshire and Wrexham","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Glasgow City","AO","10","10","[c]","[c]"
"In post","2022","Commercial","Glasgow City","EO","30","30","26880","26510"
"In post","2022","Commercial","Glasgow City","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Glasgow City","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Glasgow City","HEO","45","45","34030","33300"
"In post","2022","Commercial","Glasgow City","SEO","25","25","41670","42080"
"In post","2022","Commercial","Gloucestershire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester North East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester North West","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester South West","AO","5","5","[c]","[c]"
"In post","2022","Commercial","Greater Manchester South West","EO","15","10","27200","26820"
"In post","2022","Commercial","Greater Manchester South West","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Greater Manchester South West","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Greater Manchester South West","HEO","15","10","32390","33080"
"In post","2022","Commercial","Greater Manchester South West","SEO","35","35","42970","40520"
"In post","2022","Commercial","Greater Manchester South West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gwent Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gwynedd","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hackney and Newham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hackney and Newham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hackney and Newham","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Haringey and Islington","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Harrow and Hillingdon","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Harrow and Hillingdon","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Harrow and Hillingdon","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hartlepool and Stockton-on-Tees","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hartlepool and Stockton-on-Tees","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hartlepool and Stockton-on-Tees","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hartlepool and Stockton-on-Tees","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Heart of Essex","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, County of","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, County of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, County of","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hertfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hertfordshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hertfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hertfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","AO","20","20","21910","21660"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Isle of Anglesey","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Isle of Anglesey","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Isle of Wight","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kensington & Chelsea and Hammersmith & Fulham","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent Thames Gateway","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent Thames Gateway","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kingston upon Hull, City of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kingston upon Hull, City of","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kingston upon Hull, City of","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kingston upon Hull, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lambeth","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lambeth","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lambeth","G6","10","10","[c]","[c]"
"In post","2022","Commercial","Lambeth","G7","15","15","54560","53860"
"In post","2022","Commercial","Lambeth","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lambeth","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lambeth","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Lancaster and Wyre","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancaster and Wyre","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leeds","AO","20","15","21020","21260"
"In post","2022","Commercial","Leeds","EO","35","35","25870","25440"
"In post","2022","Commercial","Leeds","G6","35","30","64960","62400"
"In post","2022","Commercial","Leeds","G7","50","45","52330","50510"
"In post","2022","Commercial","Leeds","HEO","50","50","30780","30450"
"In post","2022","Commercial","Leeds","SCS level","10","10","78810","75680"
"In post","2022","Commercial","Leeds","SEO","95","90","38600","36820"
"In post","2022","Commercial","Leicester","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicester","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicester","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicester","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire CC and Rutland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire CC and Rutland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lewisham and Southwark","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lincolnshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lincolnshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lincolnshire CC","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Lisburn and Castlereagh","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lisburn and Castlereagh","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lisburn and Castlereagh","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Liverpool","EO","35","35","25630","25520"
"In post","2022","Commercial","Liverpool","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Liverpool","G7","10","10","47340","41670"
"In post","2022","Commercial","Liverpool","HEO","60","60","30850","30940"
"In post","2022","Commercial","Liverpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Liverpool","SEO","80","80","39550","39360"
"In post","2022","Commercial","Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Manchester","EO","15","15","25870","25880"
"In post","2022","Commercial","Manchester","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Manchester","G7","25","25","51370","50130"
"In post","2022","Commercial","Manchester","HEO","40","40","31310","30200"
"In post","2022","Commercial","Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Manchester","SEO","60","55","38180","36780"
"In post","2022","Commercial","Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Medway","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Medway","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Medway","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Merton, Kingston upon Thames and Sutton","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Mid Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Mid Lancashire","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Mid Lancashire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Mid Lancashire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Mid Lancashire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Mid Lancashire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Milton Keynes","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Milton Keynes","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Milton Keynes","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Milton Keynes","G7","15","15","58270","57710"
"In post","2022","Commercial","Milton Keynes","HEO","15","15","32950","31390"
"In post","2022","Commercial","Milton Keynes","SEO","20","20","43460","43430"
"In post","2022","Commercial","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Monmouthshire and Newport","EO","15","15","25650","25520"
"In post","2022","Commercial","Monmouthshire and Newport","G7","15","15","53440","51210"
"In post","2022","Commercial","Monmouthshire and Newport","HEO","40","35","30890","30940"
"In post","2022","Commercial","Monmouthshire and Newport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Monmouthshire and Newport","SEO","30","30","38610","38980"
"In post","2022","Commercial","North and North East Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North and West Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North and West Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Hampshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Lanarkshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Lanarkshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Lanarkshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
