"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office","G7","Male","Unknown","575","575","59370","56720"
"In post","2022","Cabinet Office","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","HEO","Female","Heterosexual / straight","640","620","33480","33480"
"In post","2022","Cabinet Office","HEO","Female","LGBO","50","50","33570","34550"
"In post","2022","Cabinet Office","HEO","Female","Undeclared","55","50","34130","34550"
"In post","2022","Cabinet Office","HEO","Female","Unknown","1155","1150","30240","29250"
"In post","2022","Cabinet Office","HEO","Male","Heterosexual / straight","480","475","33640","33620"
"In post","2022","Cabinet Office","HEO","Male","LGBO","80","80","33990","34550"
"In post","2022","Cabinet Office","HEO","Male","Undeclared","65","65","33700","34550"
"In post","2022","Cabinet Office","HEO","Male","Unknown","840","840","30540","29250"
"In post","2022","Cabinet Office","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","SCS level","Female","Heterosexual / straight","190","185","92430","80400"
"In post","2022","Cabinet Office","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","SCS level","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Cabinet Office","SCS level","Female","Unknown","110","110","99340","94810"
"In post","2022","Cabinet Office","SCS level","Male","Heterosexual / straight","250","250","100720","93000"
"In post","2022","Cabinet Office","SCS level","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Cabinet Office","SCS level","Male","Undeclared","30","25","[c]","[c]"
"In post","2022","Cabinet Office","SCS level","Male","Unknown","160","155","113510","112890"
"In post","2022","Cabinet Office","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","SEO","Female","Heterosexual / straight","520","500","39790","40600"
"In post","2022","Cabinet Office","SEO","Female","LGBO","35","35","39560","40600"
"In post","2022","Cabinet Office","SEO","Female","Undeclared","45","45","40480","40600"
"In post","2022","Cabinet Office","SEO","Female","Unknown","150","150","40000","40600"
"In post","2022","Cabinet Office","SEO","Male","Heterosexual / straight","380","375","40000","40600"
"In post","2022","Cabinet Office","SEO","Male","LGBO","50","50","39660","40600"
"In post","2022","Cabinet Office","SEO","Male","Undeclared","45","45","40470","40600"
"In post","2022","Cabinet Office","SEO","Male","Unknown","125","125","40140","40600"
"In post","2022","Cabinet Office","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Female","Heterosexual / straight","45","35","83480","78140"
"In post","2022","Chancellor's other departments","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Male","Heterosexual / straight","50","50","95580","89720"
"In post","2022","Chancellor's other departments","G6","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Male","Undeclared","15","10","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
