"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","1715","1620","38380","32100"
"In post","2022","Legal Aid Agency","Ministry of Justice","1165","1090","30010","25120"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","1235","1200","37390","34040"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","1130","1095","49200","42160"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","2165","2060","39640","39650"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","37375","36110","32920","29250"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","6160","6005","43140","41100"
"In post","2022","National Crime Agency","National Crime Agency","5545","5405","40690","37860"
"In post","2022","National Infrastructure Commission","HM Treasury","50","45","53740","52360"
"In post","2022","National Records of Scotland","Scottish Government","455","430","36140","33070"
"In post","2022","National Savings and Investments","Chancellor's other departments","200","200","50940","46110"
"In post","2022","Northern Ireland Office","Northern Ireland Office","175","175","46380","41750"
"In post","2022","Office for Budget Responsibility","HM Treasury","40","40","51460","52530"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","1830","1760","50310","51360"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","1350","1325","43480","37120"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","290","280","44640","40190"
"In post","2022","Office of Rail and Road","Office of Rail and Road","350","335","54060","54890"
"In post","2022","Office of the Public Guardian","Ministry of Justice","1435","1320","24010","20970"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","40","40","38210","31540"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","120","115","48480","47490"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","45","45","44720","38570"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","805","730","43070","41020"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","45","40","41240","37470"
"In post","2022","Registers of Scotland","Scottish Government","1180","1135","33920","30840"
"In post","2022","Revenue Scotland","Scottish Government","75","75","39500","36130"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","1760","1760","37450","34160"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","2565","2360","26130","21300"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","1920","1755","28590","23780"
"In post","2022","Scottish Fiscal Commission","Scottish Government","25","25","46010","39660"
"In post","2022","Scottish Forestry","Scottish Government","190","180","36060","31060"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","8845","8495","44110","39660"
"In post","2022","Scottish Housing Regulator","Scottish Government","50","50","53340","51490"
"In post","2022","Scottish Prison Service","Scottish Government","4560","4275","32780","35000"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","310","285","30300","25930"
"In post","2022","Serious Fraud Office","Attorney General's Departments","460","445","47240","41370"
"In post","2022","Social Security Scotland","Scottish Government","2445","2375","30730","27230"
"In post","2022","Standards and Testing Agency","Department for Education","130","125","41970","40780"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","230","220","31560","27230"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","1950","1905","41060","39110"
"In post","2022","Teaching Regulation Agency","Department for Education","80","80","30800","26000"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","1720","1635","33110","29610"
"In post","2022","The National Archives","The National Archives","575","555","35710","33500"
"In post","2022","Transport Scotland","Scottish Government","525","510","45450","43000"
"In post","2022","UK Debt Management Office","HM Treasury","115","115","58090","51220"
"In post","2022","UK Export Finance","UK Export Finance","495","490","52780","48000"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","6605","6160","43120","37450"
"In post","2022","UK Hydrographic Office","Ministry of Defence","910","870","35350","33290"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","260","260","45940","40220"
"In post","2022","UK Statistics Authority","UK Statistics Authority","5885","5270","33790","30710"
"In post","2022","UK Supreme Court","UK Supreme Court","50","50","38660","31960"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","3860","3620","34990","31630"
"In post","2022","Vehicle Certification Agency","Department for Transport","205","195","35960","34290"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","170","170","40360","38750"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","260","250","54620","48720"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","5885","5565","41930","38160"
"In post","2022","Welsh Revenue Authority","Welsh Government","80","80","43900","40100"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","80","75","34680","30700"
"Leaver CS","2022","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","65","[c]","32450","30550"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","275","[c]","29600","24920"
"Leaver CS","2022","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","720","[c]","50760","43060"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","45","[c]","33880","30220"
"Leaver CS","2022","Charity Commission","Charity Commission","60","[c]","35540","29230"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","85","[c]","30240","24500"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","95","[c]","52500","53530"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","80","[c]","38300","35940"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","110","[c]","33410","23230"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","415","[c]","40520","38000"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","25","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","890","[c]","33430","30420"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","305","[c]","36490","36160"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","310","[c]","46290","40220"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","155","[c]","41960","36000"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","360","[c]","40810","36500"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","435","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","220","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","165","[c]","43150","38300"
"Leaver CS","2022","Department for Transport (excl. agencies)","Department for Transport","235","[c]","45340","42470"
"Leaver CS","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","8660","[c]","26990","27570"
"Leaver CS","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","635","[c]","46940","47760"
"Leaver CS","2022","Disclosure Scotland","Scottish Government","10","[c]","27850","23230"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","Department for Transport","420","[c]","24530","21840"
"Leaver CS","2022","Driver and Vehicle Standards Agency","Department for Transport","460","[c]","28500","26780"
"Leaver CS","2022","Education and Skills Funding Agency","Department for Education","75","[c]","46510","41620"
"Leaver CS","2022","Education Scotland","Scottish Government","35","[c]","58990","67550"
"Leaver CS","2022","Estyn","Estyn","10","[c]","68770","75480"
"Leaver CS","2022","FCDO Services","Foreign, Commonwealth and Development Office","75","[c]","44090","38680"
"Leaver CS","2022","Food Standards Agency","Food Standards Agency","80","[c]","34070","30810"
"Leaver CS","2022","Food Standards Scotland","Scottish Government","20","[c]","34710","31540"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","335","[c]","49120","48500"
"Leaver CS","2022","Forestry and Land Scotland","Scottish Government","120","[c]","29970","27360"
"Leaver CS","2022","Government Actuary's Department","Chancellor's other departments","25","[c]","52960","45570"
"Leaver CS","2022","Government Internal Audit Agency","HM Treasury","40","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","Attorney General's Departments","200","[c]","52250","51250"
"Leaver CS","2022","Government Property Agency","Cabinet Office","15","[c]","51230","52630"
"Leaver CS","2022","Health and Safety Executive","Department for Work and Pensions","205","[c]","40510","35910"
"Leaver CS","2022","HM Courts and Tribunals Service","Ministry of Justice","2045","[c]","23960","20970"
"Leaver CS","2022","HM Land Registry","HM Land Registry","405","[c]","32960","27130"
"Leaver CS","2022","HM Prison and Probation Service","Ministry of Justice","7190","[c]","32410","30160"
"Leaver CS","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4705","[c]","33040","28920"
"Leaver CS","2022","HM Treasury (excl. agencies)","HM Treasury","180","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Home Office","2090","[c]","31930","27370"
"Leaver CS","2022","Institute for Apprenticeships and Technical Education","Department for Education","15","[c]","46530","53680"
"Leaver CS","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","60","[c]","35070","27420"
"Leaver CS","2022","Legal Aid Agency","Ministry of Justice","50","[c]","24070","20970"
"Leaver CS","2022","Maritime and Coastguard Agency","Department for Transport","160","[c]","34910","30730"
"Leaver CS","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","270","[c]","47740","40450"
"Leaver CS","2022","Met Office","Department for Business, Energy and Industrial Strategy","135","[c]","35020","35520"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","3380","[c]","31470","26930"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","425","[c]","41940","37500"
"Leaver CS","2022","National Crime Agency","National Crime Agency","320","[c]","42450","39840"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","5","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","40","[c]","34330","27940"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","25","[c]","50030","45900"
"Leaver CS","2022","Northern Ireland Office","Northern Ireland Office","10","[c]","42970","41750"
"Leaver CS","2022","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","185","[c]","52800","51360"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","235","[c]","45710","38280"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","30","[c]","50730","38000"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","35","[c]","51710","51590"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","65","[c]","22810","20970"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","10","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","70","[c]","41980","42380"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","1515","[c]","43310","38200"
"Leaver CS","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","5","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","30","[c]","34400","30760"
"Leaver CS","2022","Revenue Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2022","Royal Fleet Auxiliary","Ministry of Defence","235","[c]","36010","33270"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","170","[c]","25340","21300"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","165","[c]","29050","23780"
"Leaver CS","2022","Scottish Forestry","Scottish Government","20","[c]","39050","39050"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","415","[c]","41670","36130"
"Leaver CS","2022","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","340","[c]","32260","35000"
"Leaver CS","2022","Scottish Public Pensions Agency","Scottish Government","20","[c]","33860","28990"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","50","[c]","41290","39970"
"Leaver CS","2022","Social Security Scotland","Scottish Government","40","[c]","29520","27230"
"Leaver CS","2022","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","30","[c]","26500","21050"
"Leaver CS","2022","Submarine Delivery Agency","Ministry of Defence","140","[c]","38120","37670"
"Leaver CS","2022","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","95","[c]","32190","26000"
"Leaver CS","2022","The National Archives","The National Archives","65","[c]","31730","28460"
"Leaver CS","2022","Transport Scotland","Scottish Government","20","[c]","46330","39660"
"Leaver CS","2022","UK Debt Management Office","HM Treasury","15","[c]","51680","46010"
"Leaver CS","2022","UK Export Finance","UK Export Finance","45","[c]","52780","47000"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","785","[c]","40590","36330"
"Leaver CS","2022","UK Hydrographic Office","Ministry of Defence","65","[c]","36890","34170"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","90","[c]","[c]","[c]"
"Leaver CS","2022","UK Statistics Authority","UK Statistics Authority","580","[c]","28270","23630"
"Leaver CS","2022","UK Supreme Court","UK Supreme Court","20","[c]","35040","37230"
"Leaver CS","2022","Valuation Office Agency","HM Revenue and Customs","265","[c]","29190","24500"
"Leaver CS","2022","Vehicle Certification Agency","Department for Transport","15","[c]","39540","28980"
"Leaver CS","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","15","[c]","47300","41220"
"Leaver CS","2022","Water Services Regulation Authority","Water Services Regulation Authority","45","[c]","52120","44000"
"Leaver CS","2022","Welsh Government (excl. agencies)","Welsh Government","245","[c]","42770","37410"
"Leaver CS","2022","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wilton Park","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","50","[c]","29390","24250"
"Leaver Dept.","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","45","[c]","27690","24920"
"Leaver Dept.","2022","Attorney General's Office","Attorney General's Departments","20","[c]","53960","61860"
"Leaver Dept.","2022","Cabinet Office (excl. agencies)","Cabinet Office","1825","[c]","42010","34550"
"Leaver Dept.","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","[c]","34780","33400"
"Leaver Dept.","2022","Charity Commission","Charity Commission","35","[c]","34950","35020"
"Leaver Dept.","2022","Companies House","Department for Business, Energy and Industrial Strategy","45","[c]","31550","31900"
"Leaver Dept.","2022","Competition and Markets Authority","Competition and Markets Authority","40","[c]","35770","28600"
"Leaver Dept.","2022","Criminal Injuries Compensation Authority","Ministry of Justice","20","[c]","24990","25120"
"Leaver Dept.","2022","Crown Commercial Service","Cabinet Office","40","[c]","41400","38980"
"Leaver Dept.","2022","Crown Office and Procurator Fiscal Service","Scottish Government","15","[c]","33640","23230"
"Leaver Dept.","2022","Crown Prosecution Service","Attorney General's Departments","110","[c]","33720","26970"
"Leaver Dept.","2022","Defence Equipment and Support","Ministry of Defence","435","[c]","34500","32120"
"Leaver Dept.","2022","Defence Science and Technology Laboratory","Ministry of Defence","70","[c]","39730","38070"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","580","[c]","45850","40050"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","210","[c]","44650","38020"
"Leaver Dept.","2022","Department for Education (excl. agencies)","Department for Education","425","[c]","43110","39780"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","380","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","Department for International Trade","220","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","310","[c]","41560","36340"
"Leaver Dept.","2022","Department for Transport (excl. agencies)","Department for Transport","310","[c]","43530","42470"
"Leaver Dept.","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","3040","[c]","29770","27570"
"Leaver Dept.","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1305","[c]","50840","49530"
"Leaver Dept.","2022","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Driver and Vehicle Licensing Agency","Department for Transport","150","[c]","28950","26470"
"Leaver Dept.","2022","Driver and Vehicle Standards Agency","Department for Transport","140","[c]","30790","27570"
"Leaver Dept.","2022","Education and Skills Funding Agency","Department for Education","60","[c]","37130","36500"
"Leaver Dept.","2022","Estyn","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Food Standards Agency","Food Standards Agency","65","[c]","41180","39390"
"Leaver Dept.","2022","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","415","[c]","43970","39630"
"Leaver Dept.","2022","Forestry and Land Scotland","Scottish Government","10","[c]","42890","37490"
"Leaver Dept.","2022","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Government Internal Audit Agency","HM Treasury","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Government Legal Department","Attorney General's Departments","95","[c]","48220","51250"
"Leaver Dept.","2022","Government Property Agency","Cabinet Office","15","[c]","51650","41820"
"Leaver Dept.","2022","Health and Safety Executive","Department for Work and Pensions","65","[c]","37170","31990"
"Leaver Dept.","2022","HM Courts and Tribunals Service","Ministry of Justice","535","[c]","26510","22680"
"Leaver Dept.","2022","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Prison and Probation Service","Ministry of Justice","570","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1340","[c]","35440","33370"
"Leaver Dept.","2022","HM Treasury (excl. agencies)","HM Treasury","190","[c]","47430","40810"
"Leaver Dept.","2022","Home Office","Home Office","1400","[c]","35550","28990"
"Leaver Dept.","2022","Institute for Apprenticeships and Technical Education","Department for Education","15","[c]","48080","50620"
"Leaver Dept.","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","30","[c]","42740","37780"
"Leaver Dept.","2022","Legal Aid Agency","Ministry of Justice","50","[c]","29750","25120"
"Leaver Dept.","2022","Maritime and Coastguard Agency","Department for Transport","45","[c]","31280","26840"
"Leaver Dept.","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","25","[c]","40330","37630"
"Leaver Dept.","2022","Met Office","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","580","[c]","37450","33300"
"Leaver Dept.","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","435","[c]","40690","36800"
"Leaver Dept.","2022","National Crime Agency","National Crime Agency","105","[c]","42890","39840"
"Leaver Dept.","2022","National Infrastructure Commission","HM Treasury","5","[c]","[c]","[c]"
"Leaver Dept.","2022","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Northern Ireland Office","20","[c]","48600","50700"
"Leaver Dept.","2022","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","55","[c]","41450","35920"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","100","[c]","37050","31720"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","20","[c]","39520","38380"
"Leaver Dept.","2022","Office of Rail and Road","Office of Rail and Road","20","[c]","51070","44470"
"Leaver Dept.","2022","Office of the Public Guardian","Ministry of Justice","135","[c]","24200","21170"
"Leaver Dept.","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","10","[c]","43450","41750"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","10","[c]","36800","32600"
"Leaver Dept.","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","65","[c]","39920","34860"
"Leaver Dept.","2022","Public Health England","Department of Health and Social Care","6495","[c]","43000","37470"
"Leaver Dept.","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Registers of Scotland","Scottish Government","15","[c]","38150","30840"
"Leaver Dept.","2022","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","80","[c]","27120","24920"
"Leaver Dept.","2022","Scottish Courts and Tribunals Service","Scottish Government","30","[c]","31610","30450"
"Leaver Dept.","2022","Scottish Forestry","Scottish Government","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government (excl. agencies)","Scottish Government","30","[c]","47300","44800"
"Leaver Dept.","2022","Serious Fraud Office","Attorney General's Departments","45","[c]","43810","40270"
"Leaver Dept.","2022","Social Security Scotland","Scottish Government","15","[c]","30980","31540"
"Leaver Dept.","2022","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Submarine Delivery Agency","Ministry of Defence","20","[c]","37390","37770"
"Leaver Dept.","2022","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","90","[c]","30230","24780"
"Leaver Dept.","2022","The National Archives","The National Archives","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","UK Export Finance","15","[c]","43760","41000"
"Leaver Dept.","2022","UK Health Security Agency","Department of Health and Social Care","45","[c]","40410","36820"
"Leaver Dept.","2022","UK Hydrographic Office","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","UK Statistics Authority","235","[c]","35440","30810"
