"Status","Year","Organisation","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","AA/AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","EO","55","50","24540","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","SEO/HEO","70","65","34320","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Central Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","EO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","SEO/HEO","15","15","37920","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","AA/AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","EO","30","30","28400","28420"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","G6/G7","25","25","61090","59470"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","SEO/HEO","110","105","41420","39120"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Kent Thames Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Medway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Mid Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","West Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Lancashire","Mid Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","East Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","Liverpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","Sefton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","EO","60","55","24610","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","SEO/HEO","75","65","33460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Shropshire and Staffordshire","Staffordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","EO","30","30","24690","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","SEO/HEO","55","50","34590","31640"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","EO","25","20","24730","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","SEO/HEO","50","45","34770","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Dudley","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","South West Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Swansea","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Swansea","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","EO","20","20","24560","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","SEO/HEO","40","40","34520","33830"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","EO","10","10","25200","24920"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","SEO/HEO","20","20","35210","35900"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","10","10","21300","21300"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","15","15","25230","25190"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","25","25","35810","35900"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","AA/AO","100","95","21430","21300"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","EO","30","30","25260","24920"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","SEO/HEO","25","20","36850","36970"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","AA/AO","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","AA/AO","100","95","21320","21300"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","EO","50","45","25530","25090"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","G6/G7","15","15","52420","49560"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","SEO/HEO","40","40","36730","35900"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Dorset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Dorset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","EO","10","10","25630","26150"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","SEO/HEO","20","20","36770","35900"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","SEO/HEO","15","15","32650","32160"
"In post","2022","Animal and Plant Health Agency","East Anglia","North and West Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","North and West Norfolk","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","AA/AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","EO","15","15","24780","24920"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","SEO/HEO","25","20","38130","35900"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","AA/AO","45","40","21240","21300"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","EO","15","15","25270","24920"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","G6/G7","10","10","53640","51000"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","SEO/HEO","20","20","33410","31950"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","SEO/HEO","15","10","35550","37240"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","EO","10","10","24690","24920"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","AA/AO","10","10","21300","21300"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","G6/G7","10","10","54260","54570"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","SEO/HEO","15","15","34180","36400"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","EO","20","20","25980","25230"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","SEO/HEO","20","20","33500","32160"
"In post","2022","Animal and Plant Health Agency","Essex","Thurrock","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Thurrock","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Thurrock","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AA/AO","40","40","21360","21300"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","AA/AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","EO","25","20","25200","25100"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","G6/G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","SEO/HEO","30","30","35130","35900"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Manchester","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Manchester","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","EO","20","20","24930","24920"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","SEO/HEO","15","15","32320","30400"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","AA/AO","40","35","21360","21300"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","EO","45","45","25560","25190"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","G6/G7","10","10","52030","50440"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","SEO/HEO","70","65","34160","32160"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","AA/AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inner London - West","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inner London - West","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inner London - West","Westminster","G6/G7","10","10","58110","56210"
"In post","2022","Animal and Plant Health Agency","Inner London - West","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Kent","East Kent","EO","25","25","26990","24920"
"In post","2022","Animal and Plant Health Agency","Kent","East Kent","SEO/HEO","10","10","32050","30670"
"In post","2022","Animal and Plant Health Agency","Kent","Mid Kent","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Kent","Mid Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lancashire","Mid Lancashire","AA/AO","35","30","21370","21300"
"In post","2022","Animal and Plant Health Agency","Lancashire","Mid Lancashire","EO","25","25","25180","24920"
"In post","2022","Animal and Plant Health Agency","Lancashire","Mid Lancashire","G6/G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lancashire","Mid Lancashire","SEO/HEO","30","25","34640","32100"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","SEO/HEO","10","10","37260","36520"
"In post","2022","Animal and Plant Health Agency","Lincolnshire","Lincolnshire CC","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire","Lincolnshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire","Lincolnshire CC","SEO/HEO","10","10","33370","35900"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","AA/AO","20","15","21810","21300"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","EO","45","40","25610","25400"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","G6/G7","15","15","53440","53230"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","SEO/HEO","50","50","33470","31850"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","York","AA/AO","55","50","22060","21300"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","York","EO","10","10","25960","24920"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","York","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","York","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Northumberland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Tyneside","AA/AO","15","10","21300","21300"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Tyneside","EO","15","15","25650","25190"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Tyneside","G6/G7","5","5","[c]","[c]"
