"Status","Year","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","45","45","44360","40170"
"In post","2022","Asian","Social Security Scotland","55","55","28840","27230"
"In post","2022","Asian","Standards and Testing Agency","15","15","[c]","[c]"
"In post","2022","Asian","Student Awards Agency for Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","50","50","38580","36260"
"In post","2022","Asian","Teaching Regulation Agency","15","15","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","145","135","28690","25060"
"In post","2022","Asian","The National Archives","50","45","33970","32980"
"In post","2022","Asian","Transport Scotland","10","10","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","25","25","[c]","[c]"
"In post","2022","Asian","UK Export Finance","90","90","50050","44080"
"In post","2022","Asian","UK Health Security Agency","745","690","41090","32330"
"In post","2022","Asian","UK Hydrographic Office","5","5","[c]","[c]"
"In post","2022","Asian","UK Space Agency","25","25","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","185","170","32790","30710"
"In post","2022","Asian","UK Supreme Court","5","5","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","210","195","34730","31660"
"In post","2022","Asian","Vehicle Certification Agency","10","10","[c]","[c]"
"In post","2022","Asian","Veterinary Medicines Directorate","15","15","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","35","35","40780","37590"
"In post","2022","Asian","Welsh Government (excl. agencies)","70","65","39470","38160"
"In post","2022","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Black","Advisory, Conciliation and Arbitration Service","35","35","34690","34270"
"In post","2022","Black","Animal and Plant Health Agency","15","15","[c]","[c]"
"In post","2022","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Black","Cabinet Office (excl. agencies)","250","250","42140","37300"
"In post","2022","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","5","5","[c]","[c]"
"In post","2022","Black","Companies House","5","5","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","45","45","41390","38060"
"In post","2022","Black","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Black","Crown Commercial Service","20","20","[c]","[c]"
"In post","2022","Black","Crown Office and Procurator Fiscal Service","10","10","[c]","[c]"
"In post","2022","Black","Crown Prosecution Service","390","375","40020","31820"
"In post","2022","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Black","Defence Equipment and Support","215","210","33150","32670"
"In post","2022","Black","Defence Science and Technology Laboratory","25","25","[c]","[c]"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","365","360","40660","36190"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","105","105","38300","34020"
"In post","2022","Black","Department for Education (excl. agencies)","255","250","39860","36740"
"In post","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","220","220","36290","33120"
"In post","2022","Black","Department for International Trade","140","135","39990","38160"
"In post","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","190","185","40390","36340"
"In post","2022","Black","Department for Transport (excl. agencies)","190","190","40540","37660"
"In post","2022","Black","Department for Work and Pensions (excl. agencies)","4040","3815","29350","30130"
"In post","2022","Black","Department of Health and Social Care (excl. agencies)","160","155","40760","35110"
"In post","2022","Black","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Licensing Agency","20","20","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Standards Agency","55","50","31820","30780"
"In post","2022","Black","Education and Skills Funding Agency","50","50","40600","36500"
"In post","2022","Black","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Black","FCDO Services","30","30","37210","33440"
"In post","2022","Black","Food Standards Agency","50","45","34930","30280"
"In post","2022","Black","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","230","230","39090","35160"
"In post","2022","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","Government Actuary's Department","5","5","[c]","[c]"
"In post","2022","Black","Government Internal Audit Agency","20","20","[c]","[c]"
"In post","2022","Black","Government Legal Department","185","180","42190","37730"
"In post","2022","Black","Government Property Agency","15","15","[c]","[c]"
"In post","2022","Black","Health and Safety Executive","35","35","42610","34130"
"In post","2022","Black","HM Courts and Tribunals Service","940","890","27000","24310"
"In post","2022","Black","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Land Registry","70","70","33040","30600"
"In post","2022","Black","HM Prison and Probation Service","2645","2550","31800","30520"
"In post","2022","Black","HM Revenue and Customs (excl. agencies)","1820","1760","33850","33080"
"In post","2022","Black","HM Treasury (excl. agencies)","70","70","39030","32320"
"In post","2022","Black","Home Office","1805","1700","33180","29080"
"In post","2022","Black","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2022","Black","Intellectual Property Office","15","15","[c]","[c]"
"In post","2022","Black","Legal Aid Agency","45","40","28180","21490"
"In post","2022","Black","Maritime and Coastguard Agency","5","5","[c]","[c]"
"In post","2022","Black","Medicines and Healthcare Products Regulatory Agency","65","65","39950","33170"
"In post","2022","Black","Met Office","5","5","[c]","[c]"
"In post","2022","Black","Ministry of Defence (excl. agencies)","515","500","33340","30750"
"In post","2022","Black","Ministry of Justice (excl. agencies)","370","365","38690","34660"
"In post","2022","Black","National Crime Agency","100","100","36560","36410"
"In post","2022","Black","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Savings and Investments","15","15","[c]","[c]"
"In post","2022","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office for Standards in Education, Children's Services and Skills","60","60","45440","46360"
"In post","2022","Black","Office of Gas and Electricity Markets","90","90","40350","37300"
"In post","2022","Black","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2022","Black","Office of Rail and Road","20","20","[c]","[c]"
"In post","2022","Black","Office of the Public Guardian","90","80","22850","20970"
"In post","2022","Black","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectorate","10","10","[c]","[c]"
"In post","2022","Black","Queen Elizabeth II Centre","5","5","[c]","[c]"
"In post","2022","Black","Registers of Scotland","5","5","[c]","[c]"
"In post","2022","Black","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Black","Rural Payments Agency","15","10","[c]","[c]"
"In post","2022","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scottish Government (excl. agencies)","50","45","41540","39660"
"In post","2022","Black","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scottish Prison Service","5","5","[c]","[c]"
"In post","2022","Black","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Black","Serious Fraud Office","20","20","[c]","[c]"
"In post","2022","Black","Social Security Scotland","15","15","[c]","[c]"
"In post","2022","Black","Standards and Testing Agency","10","10","[c]","[c]"
"In post","2022","Black","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","Submarine Delivery Agency","15","15","[c]","[c]"
"In post","2022","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Black","The Insolvency Service","55","55","30370","25060"
"In post","2022","Black","The National Archives","10","10","[c]","[c]"
"In post","2022","Black","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","UK Debt Management Office","10","10","[c]","[c]"
"In post","2022","Black","UK Export Finance","45","45","43620","39000"
"In post","2022","Black","UK Health Security Agency","435","405","37810","32330"
"In post","2022","Black","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Black","UK Space Agency","10","10","[c]","[c]"
"In post","2022","Black","UK Statistics Authority","100","90","31930","30710"
"In post","2022","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Black","Valuation Office Agency","70","65","34950","31670"
"In post","2022","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Black","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","Black","Welsh Government (excl. agencies)","15","15","[c]","[c]"
"In post","2022","Black","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Black","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Advisory, Conciliation and Arbitration Service","20","15","[c]","[c]"
"In post","2022","Mixed","Animal and Plant Health Agency","50","50","28920","27960"
"In post","2022","Mixed","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Cabinet Office (excl. agencies)","220","215","46350","40600"
"In post","2022","Mixed","Centre for Environment, Fisheries and Aquaculture Science","5","5","[c]","[c]"
"In post","2022","Mixed","Charity Commission","5","5","[c]","[c]"
"In post","2022","Mixed","Companies House","15","15","[c]","[c]"
"In post","2022","Mixed","Competition and Markets Authority","35","35","47760","46190"
"In post","2022","Mixed","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Crown Commercial Service","10","10","[c]","[c]"
"In post","2022","Mixed","Crown Office and Procurator Fiscal Service","15","15","[c]","[c]"
"In post","2022","Mixed","Crown Prosecution Service","185","175","42250","40000"
"In post","2022","Mixed","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Defence Equipment and Support","135","130","35210","31600"
"In post","2022","Mixed","Defence Science and Technology Laboratory","75","75","36930","37080"
"In post","2022","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","255","250","45910","41780"
"In post","2022","Mixed","Department for Digital, Culture, Media and Sport","100","100","45380","38020"
"In post","2022","Mixed","Department for Education (excl. agencies)","170","165","43250","40230"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","155","150","40500","35900"
"In post","2022","Mixed","Department for International Trade","105","105","46670","44030"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","90","90","41710","37430"
"In post","2022","Mixed","Department for Transport (excl. agencies)","130","125","43110","40560"
"In post","2022","Mixed","Department for Work and Pensions (excl. agencies)","1645","1535","28240","27570"
"In post","2022","Mixed","Department of Health and Social Care (excl. agencies)","100","100","45850","44690"
"In post","2022","Mixed","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Driver and Vehicle Licensing Agency","45","40","24870","21840"
"In post","2022","Mixed","Driver and Vehicle Standards Agency","55","50","29660","28500"
"In post","2022","Mixed","Education and Skills Funding Agency","35","35","39810","36500"
"In post","2022","Mixed","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","FCDO Services","15","15","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","30","30","35870","33400"
"In post","2022","Mixed","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","250","245","47350","43030"
"In post","2022","Mixed","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Government Actuary's Department","5","5","[c]","[c]"
"In post","2022","Mixed","Government Internal Audit Agency","10","10","[c]","[c]"
"In post","2022","Mixed","Government Legal Department","95","85","53190","51350"
"In post","2022","Mixed","Government Property Agency","10","10","[c]","[c]"
"In post","2022","Mixed","Health and Safety Executive","45","45","43400","41000"
"In post","2022","Mixed","HM Courts and Tribunals Service","330","305","26860","23720"
"In post","2022","Mixed","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","75","75","30400","27130"
"In post","2022","Mixed","HM Prison and Probation Service","1345","1290","31440","30040"
"In post","2022","Mixed","HM Revenue and Customs (excl. agencies)","900","860","35380","33080"
"In post","2022","Mixed","HM Treasury (excl. agencies)","95","95","46760","41890"
"In post","2022","Mixed","Home Office","685","640","34430","29080"
"In post","2022","Mixed","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2022","Mixed","Intellectual Property Office","25","20","[c]","[c]"
"In post","2022","Mixed","Legal Aid Agency","25","25","[c]","[c]"
"In post","2022","Mixed","Maritime and Coastguard Agency","20","20","[c]","[c]"
"In post","2022","Mixed","Medicines and Healthcare Products Regulatory Agency","40","40","42950","40450"
"In post","2022","Mixed","Met Office","35","35","37760","36240"
"In post","2022","Mixed","Ministry of Defence (excl. agencies)","410","400","36080","33300"
"In post","2022","Mixed","Ministry of Justice (excl. agencies)","175","170","43290","41750"
"In post","2022","Mixed","National Crime Agency","105","105","40430","37560"
"In post","2022","Mixed","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Savings and Investments","10","10","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","50","50","38970","36500"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","10","10","[c]","[c]"
"In post","2022","Mixed","Office of the Public Guardian","35","30","24620","21220"
"In post","2022","Mixed","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectorate","10","10","[c]","[c]"
"In post","2022","Mixed","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Registers of Scotland","5","5","[c]","[c]"
"In post","2022","Mixed","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Rural Payments Agency","20","20","[c]","[c]"
"In post","2022","Mixed","Scottish Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2022","Mixed","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government (excl. agencies)","85","85","44540","39660"
"In post","2022","Mixed","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Prison Service","5","5","[c]","[c]"
"In post","2022","Mixed","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Serious Fraud Office","10","10","[c]","[c]"
"In post","2022","Mixed","Social Security Scotland","20","20","[c]","[c]"
"In post","2022","Mixed","Standards and Testing Agency","5","5","[c]","[c]"
"In post","2022","Mixed","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Submarine Delivery Agency","15","15","[c]","[c]"
"In post","2022","Mixed","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","The Insolvency Service","15","15","[c]","[c]"
"In post","2022","Mixed","The National Archives","25","25","[c]","[c]"
"In post","2022","Mixed","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Export Finance","15","15","[c]","[c]"
"In post","2022","Mixed","UK Health Security Agency","155","145","38830","32330"
"In post","2022","Mixed","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","UK Space Agency","10","10","[c]","[c]"
"In post","2022","Mixed","UK Statistics Authority","95","85","34260","30730"
"In post","2022","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Valuation Office Agency","40","35","36000","32390"
"In post","2022","Mixed","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","Mixed","Welsh Government (excl. agencies)","65","60","41650","38160"
"In post","2022","Mixed","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Animal and Plant Health Agency","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Cabinet Office (excl. agencies)","65","65","46060","40600"
"In post","2022","Other ethnicity","Centre for Environment, Fisheries and Aquaculture Science","10","5","[c]","[c]"
"In post","2022","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Companies House","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Crown Office and Procurator Fiscal Service","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Crown Prosecution Service","55","50","43520","39750"
"In post","2022","Other ethnicity","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Defence Equipment and Support","40","40","36090","33500"
"In post","2022","Other ethnicity","Defence Science and Technology Laboratory","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Business, Energy and Industrial Strategy (excl. agencies)","75","70","48880","49080"
"In post","2022","Other ethnicity","Department for Digital, Culture, Media and Sport","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Department for Education (excl. agencies)","55","50","47170","49860"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","42130","38750"
"In post","2022","Other ethnicity","Department for International Trade","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities (excl. agencies)","50","45","43990","38300"
"In post","2022","Other ethnicity","Department for Transport (excl. agencies)","30","25","[c]","[c]"
"In post","2022","Other ethnicity","Department for Work and Pensions (excl. agencies)","480","440","28880","27570"
"In post","2022","Other ethnicity","Department of Health and Social Care (excl. agencies)","35","30","42140","40650"
"In post","2022","Other ethnicity","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Driver and Vehicle Licensing Agency","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Driver and Vehicle Standards Agency","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Education and Skills Funding Agency","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","FCDO Services","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Agency","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","85","85","47350","43250"
"In post","2022","Other ethnicity","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Government Actuary's Department","10","5","[c]","[c]"
"In post","2022","Other ethnicity","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Government Legal Department","35","35","50030","50500"
"In post","2022","Other ethnicity","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Health and Safety Executive","15","15","[c]","[c]"
"In post","2022","Other ethnicity","HM Courts and Tribunals Service","100","95","27410","23720"
"In post","2022","Other ethnicity","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","HM Land Registry","20","15","[c]","[c]"
"In post","2022","Other ethnicity","HM Prison and Probation Service","330","315","32190","30710"
"In post","2022","Other ethnicity","HM Revenue and Customs (excl. agencies)","255","240","36670","33370"
"In post","2022","Other ethnicity","HM Treasury (excl. agencies)","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Home Office","210","200","32940","28670"
"In post","2022","Other ethnicity","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
