"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","1265","1250","68870","64500"
"In post","2022","Unknown","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Crown Commercial Service","Cabinet Office","205","200","35240","32390"
"In post","2022","Unknown","Commercial","Crown Prosecution Service","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Unknown","Commercial","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Defence Equipment and Support","Ministry of Defence","50","50","41260","37820"
"In post","2022","Unknown","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Education (excl. agencies)","Department for Education","100","95","33470","35530"
"In post","2022","Unknown","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","15","15","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Transport (excl. agencies)","Department for Transport","20","20","[c]","[c]"
"In post","2022","Unknown","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","195","195","47950","43400"
"In post","2022","Unknown","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Driver and Vehicle Standards Agency","Department for Transport","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","20","20","[c]","[c]"
"In post","2022","Unknown","Commercial","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","30","30","38310","40180"
"In post","2022","Unknown","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","125","120","34060","33300"
"In post","2022","Unknown","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","25","25","[c]","[c]"
"In post","2022","Unknown","Commercial","National Crime Agency","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Scottish Prison Service","Scottish Government","75","75","30660","26900"
"In post","2022","Unknown","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Submarine Delivery Agency","Ministry of Defence","20","20","[c]","[c]"
"In post","2022","Unknown","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","The National Archives","The National Archives","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","UK Debt Management Office","HM Treasury","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","UK Health Security Agency","Department of Health and Social Care","65","65","48930","53120"
"In post","2022","Unknown","Commercial","UK Hydrographic Office","Ministry of Defence","25","20","[c]","[c]"
"In post","2022","Unknown","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","UK Statistics Authority","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Unknown","Communications","Attorney General's Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Cabinet Office (excl. agencies)","Cabinet Office","105","100","48150","42550"
"In post","2022","Unknown","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Charity Commission","Charity Commission","15","15","[c]","[c]"
"In post","2022","Unknown","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Crown Commercial Service","Cabinet Office","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Crown Prosecution Service","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Unknown","Communications","Defence Equipment and Support","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","30","30","47790","45100"
"In post","2022","Unknown","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Department for Education (excl. agencies)","Department for Education","65","65","35060","32940"
"In post","2022","Unknown","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","45","45","42150","38750"
"In post","2022","Unknown","Communications","Department for International Trade","Department for International Trade","55","55","43610","38160"
"In post","2022","Unknown","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","25","25","[c]","[c]"
"In post","2022","Unknown","Communications","Department for Transport (excl. agencies)","Department for Transport","35","35","49340","43360"
"In post","2022","Unknown","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2022","Unknown","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","250","240","46620","49530"
"In post","2022","Unknown","Communications","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","35","35","47300","42200"
"In post","2022","Unknown","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","HM Land Registry","HM Land Registry","10","10","[c]","[c]"
"In post","2022","Unknown","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1560","1515","29180","26820"
"In post","2022","Unknown","Communications","Institute for Apprenticeships and Technical Education","Department for Education","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Unknown","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","25","25","[c]","[c]"
"In post","2022","Unknown","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","85","85","39060","35000"
"In post","2022","Unknown","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","40","40","42810","37980"
"In post","2022","Unknown","Communications","National Crime Agency","National Crime Agency","20","20","[c]","[c]"
"In post","2022","Unknown","Communications","Northern Ireland Office","Northern Ireland Office","10","10","[c]","[c]"
"In post","2022","Unknown","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","The National Archives","The National Archives","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","UK Debt Management Office","HM Treasury","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","UK Health Security Agency","Department of Health and Social Care","25","20","[c]","[c]"
"In post","2022","Unknown","Communications","UK Hydrographic Office","Ministry of Defence","10","5","[c]","[c]"
"In post","2022","Unknown","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","UK Statistics Authority","UK Statistics Authority","30","30","41280","36840"
"In post","2022","Unknown","Communications","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","15","15","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Companies House","Department for Business, Energy and Industrial Strategy","45","40","23880","22740"
"In post","2022","Unknown","Counter Fraud","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","165","155","27420","27570"
"In post","2022","Unknown","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2375","2255","32900","31020"
"In post","2022","Unknown","Counter Fraud","Serious Fraud Office","Attorney General's Departments","60","60","51010","42720"
"In post","2022","Unknown","Counter Fraud","The Insolvency Service","Department for Business, Energy and Industrial Strategy","50","45","35890","34390"
"In post","2022","Unknown","Counter Fraud","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","80","75","21760","21260"
"In post","2022","Unknown","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1335","1225","23220","21250"
"In post","2022","Unknown","Debt","UK Debt Management Office","HM Treasury","15","15","[c]","[c]"
"In post","2022","Unknown","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","25","20","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","130","130","49930","49700"
"In post","2022","Unknown","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Charity Commission","Charity Commission","25","25","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","40","40","37020","36530"
"In post","2022","Unknown","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Crown Commercial Service","Cabinet Office","80","80","46980","46980"
"In post","2022","Unknown","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","25","25","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","35","35","34820","31000"
"In post","2022","Unknown","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","335","330","41730","37590"
"In post","2022","Unknown","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","90","90","43340","44290"
"In post","2022","Unknown","Digital, Data & Technology","Department for International Trade","Department for International Trade","60","60","49910","51710"
"In post","2022","Unknown","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","25","25","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","390","385","43580","39960"
"In post","2022","Unknown","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","125","120","41900","36820"
"In post","2022","Unknown","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","70","70","41970","39280"
"In post","2022","Unknown","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","55","55","33430","30730"
"In post","2022","Unknown","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","100","100","41140","38500"
"In post","2022","Unknown","Digital, Data & Technology","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","55","55","39320","36050"
"In post","2022","Unknown","Digital, Data & Technology","HM Land Registry","HM Land Registry","190","190","34130","33840"
"In post","2022","Unknown","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","785","765","41120","37930"
"In post","2022","Unknown","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","5","5","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","70","70","42650","40140"
"In post","2022","Unknown","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","20","20","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","70","70","43810","40850"
"In post","2022","Unknown","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","320","315","36090","33300"
"In post","2022","Unknown","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","165","165","50860","50430"
"In post","2022","Unknown","Digital, Data & Technology","National Crime Agency","National Crime Agency","165","165","41880","36740"
"In post","2022","Unknown","Digital, Data & Technology","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","15","15","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Registers of Scotland","Scottish Government","20","20","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","60","60","37950","34950"
"In post","2022","Unknown","Digital, Data & Technology","Scottish Prison Service","Scottish Government","30","30","41190","38370"
"In post","2022","Unknown","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","10","5","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","The National Archives","The National Archives","30","25","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","UK Debt Management Office","HM Treasury","35","30","51670","50000"
"In post","2022","Unknown","Digital, Data & Technology","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","40","40","49000","47690"
"In post","2022","Unknown","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","55","55","40310","41200"
"In post","2022","Unknown","Digital, Data & Technology","UK Space Agency","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","330","325","41010","36840"
"In post","2022","Unknown","Digital, Data & Technology","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Valuation Office Agency","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Welsh Revenue Authority","Welsh Government","10","10","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","Cabinet Office (excl. agencies)","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Charity Commission","Charity Commission","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","Companies House","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2022","Unknown","Finance","Crown Commercial Service","Cabinet Office","20","20","[c]","[c]"
"In post","2022","Unknown","Finance","Crown Prosecution Service","Attorney General's Departments","20","20","[c]","[c]"
"In post","2022","Unknown","Finance","Defence Equipment and Support","Ministry of Defence","20","15","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Education (excl. agencies)","Department for Education","105","105","34920","29730"
"In post","2022","Unknown","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","45","45","40150","36970"
"In post","2022","Unknown","Finance","Department for International Trade","Department for International Trade","25","25","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Transport (excl. agencies)","Department for Transport","25","25","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","55","55","41140","35660"
"In post","2022","Unknown","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","335","330","41160","40650"
"In post","2022","Unknown","Finance","Driver and Vehicle Licensing Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","Driver and Vehicle Standards Agency","Department for Transport","15","15","[c]","[c]"
"In post","2022","Unknown","Finance","Education and Skills Funding Agency","Department for Education","150","150","37210","36500"
"In post","2022","Unknown","Finance","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","80","80","43000","39630"
"In post","2022","Unknown","Finance","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Government Legal Department","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","HM Courts and Tribunals Service","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","HM Land Registry","HM Land Registry","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","645","590","31960","26590"
"In post","2022","Unknown","Finance","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Maritime and Coastguard Agency","Department for Transport","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2022","Unknown","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","180","175","39560","35000"
"In post","2022","Unknown","Finance","Ministry of Justice (excl. agencies)","Ministry of Justice","55","55","40940","38910"
"In post","2022","Unknown","Finance","National Crime Agency","National Crime Agency","40","40","37870","36740"
"In post","2022","Unknown","Finance","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","Scottish Courts and Tribunals Service","Scottish Government","15","15","[c]","[c]"
"In post","2022","Unknown","Finance","Scottish Prison Service","Scottish Government","60","60","33570","26900"
"In post","2022","Unknown","Finance","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","The Insolvency Service","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2022","Unknown","Finance","UK Debt Management Office","HM Treasury","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","UK Health Security Agency","Department of Health and Social Care","30","30","49500","44950"
"In post","2022","Unknown","Finance","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","UK Statistics Authority","UK Statistics Authority","15","15","[c]","[c]"
"In post","2022","Unknown","Finance","Valuation Office Agency","HM Revenue and Customs","15","10","[c]","[c]"
"In post","2022","Unknown","Finance","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Welsh Revenue Authority","Welsh Government","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","115","110","37120","32000"
"In post","2022","Unknown","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Companies House","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Crown Commercial Service","Cabinet Office","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Crown Prosecution Service","Attorney General's Departments","35","35","37570","30130"
