"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","EO","EO","25","25","26100","25880"
"In post","2022","Analysis","Bristol, City of","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","G6/G7","G7","25","25","55900","57150"
"In post","2022","Analysis","Bristol, City of","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","SEO/HEO","HEO","35","35","31960","32010"
"In post","2022","Analysis","Bristol, City of","SEO/HEO","SEO","40","40","40180","39850"
"In post","2022","Analysis","Buckinghamshire","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","EO","EO","20","20","28620","28230"
"In post","2022","Analysis","Camden and City of London","G6/G7","G6","105","90","92920","89720"
"In post","2022","Analysis","Camden and City of London","G6/G7","G7","30","30","59920","57250"
"In post","2022","Analysis","Camden and City of London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","SEO/HEO","HEO","40","40","38360","36590"
"In post","2022","Analysis","Camden and City of London","SEO/HEO","SEO","20","20","48200","48450"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","15","15","33810","35180"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","10","10","42530","43280"
"In post","2022","Analysis","Central Bedfordshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","G6/G7","G7","170","160","50590","47060"
"In post","2022","Analysis","Central Hampshire","SEO/HEO","HEO","105","105","30450","29230"
"In post","2022","Analysis","Central Hampshire","SEO/HEO","SEO","110","105","39370","38070"
"In post","2022","Analysis","Central Valleys","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","G6/G7","G6","10","10","83620","74760"
"In post","2022","Analysis","City of Edinburgh","G6/G7","G7","15","15","55020","53530"
"In post","2022","Analysis","City of Edinburgh","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","SEO/HEO","HEO","10","10","36810","37710"
"In post","2022","Analysis","City of Edinburgh","SEO/HEO","SEO","20","20","42970","43640"
"In post","2022","Analysis","Clackmannanshire and Fife","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Coventry","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Croydon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Croydon","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Croydon","G6/G7","G6","10","10","73300","74850"
"In post","2022","Analysis","Croydon","G6/G7","G7","15","15","61110","62120"
"In post","2022","Analysis","Croydon","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Croydon","SEO/HEO","HEO","15","15","36940","37610"
"In post","2022","Analysis","Croydon","SEO/HEO","SEO","15","15","44920","43910"
"In post","2022","Analysis","Darlington","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Darlington","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Darlington","SEO/HEO","HEO","15","15","30340","30710"
"In post","2022","Analysis","Darlington","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Devon CC","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Devon CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset","AA/AO","AO","10","10","21510","21510"
"In post","2022","Analysis","Dorset","EO","EO","30","30","25180","25010"
"In post","2022","Analysis","Dorset","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset","G6/G7","G7","15","15","49810","49510"
"In post","2022","Analysis","Dorset","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset","SEO/HEO","HEO","40","35","29950","29750"
"In post","2022","Analysis","Dorset","SEO/HEO","SEO","25","20","37450","36580"
"In post","2022","Analysis","Durham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Durham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Durham","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Ayrshire and North Ayrshire mainland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","East Derbyshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Kent","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lancashire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lothian and Midlothian","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Merseyside","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Merseyside","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Riding of Yorkshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex Haven Gateway","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Glasgow City","EO","EO","15","15","25750","24650"
"In post","2022","Analysis","Glasgow City","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Glasgow City","G6/G7","G7","10","10","51090","46140"
"In post","2022","Analysis","Glasgow City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Glasgow City","SEO/HEO","HEO","20","20","33050","32410"
"In post","2022","Analysis","Glasgow City","SEO/HEO","SEO","15","15","38670","38500"
"In post","2022","Analysis","Greater Manchester North East","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester North East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester North East","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Gwent Valleys","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","G6/G7","G7","45","40","61050","62120"
"In post","2022","Analysis","Hackney and Newham","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","SEO/HEO","HEO","65","65","37720","37770"
"In post","2022","Analysis","Hackney and Newham","SEO/HEO","SEO","40","35","43890","43810"
"In post","2022","Analysis","Haringey and Islington","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Harrow and Hillingdon","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hartlepool and Stockton-on-Tees","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Heart of Essex","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent Thames Gateway","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lambeth","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leeds","AA/AO","AO","20","20","21520","21260"
"In post","2022","Analysis","Leeds","EO","EO","40","40","25700","25120"
"In post","2022","Analysis","Leeds","G6/G7","G6","15","15","65250","66370"
"In post","2022","Analysis","Leeds","G6/G7","G7","75","70","52270","51580"
"In post","2022","Analysis","Leeds","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leeds","SEO/HEO","HEO","50","50","31370","31000"
"In post","2022","Analysis","Leeds","SEO/HEO","SEO","55","55","38150","36820"
"In post","2022","Analysis","Leicester","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicester","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire CC and Rutland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire CC and Rutland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lewisham and Southwark","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Liverpool","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","G6/G7","G7","25","25","55010","55210"
"In post","2022","Analysis","Liverpool","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","SEO/HEO","HEO","30","30","33230","33080"
"In post","2022","Analysis","Liverpool","SEO/HEO","SEO","25","25","39870","40520"
"In post","2022","Analysis","Luton","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Manchester","AA/AO","AO","10","10","21260","21260"
"In post","2022","Analysis","Manchester","EO","EO","15","15","26530","26820"
"In post","2022","Analysis","Manchester","G6/G7","G6","10","10","66990","66610"
"In post","2022","Analysis","Manchester","G6/G7","G7","55","50","53490","55210"
"In post","2022","Analysis","Manchester","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Manchester","SEO/HEO","HEO","125","125","33150","33370"
"In post","2022","Analysis","Manchester","SEO/HEO","SEO","65","65","40180","40520"
"In post","2022","Analysis","Medway","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medway","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medway","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merton, Kingston upon Thames and Sutton","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merton, Kingston upon Thames and Sutton","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Kent","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Lancashire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Lancashire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Milton Keynes","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Monmouthshire and Newport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Monmouthshire and Newport","AA/AO","AO","55","55","20090","19860"
"In post","2022","Analysis","Monmouthshire and Newport","EO","EO","145","130","24660","23880"
"In post","2022","Analysis","Monmouthshire and Newport","G6/G7","G6","50","50","61830","60940"
"In post","2022","Analysis","Monmouthshire and Newport","G6/G7","G7","210","205","51400","50210"
"In post","2022","Analysis","Monmouthshire and Newport","SCS level","SCS level","15","15","80890","72160"
"In post","2022","Analysis","Monmouthshire and Newport","SEO/HEO","HEO","410","395","30900","30710"
"In post","2022","Analysis","Monmouthshire and Newport","SEO/HEO","SEO","365","350","38300","38340"
"In post","2022","Analysis","North and West Norfolk","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North and West Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Hampshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Northamptonshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Nottinghamshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Nottingham","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Nottingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Nottingham","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Nottingham","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Nottingham","SEO/HEO","SEO","10","10","40150","40470"
"In post","2022","Analysis","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Plymouth","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Plymouth","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Plymouth","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Plymouth","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Portsmouth","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Portsmouth","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Portsmouth","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Portsmouth","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Portsmouth","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Sefton","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Sefton","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Sefton","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Sefton","G6/G7","G7","10","10","56540","57510"
"In post","2022","Analysis","Sefton","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Sefton","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Sheffield","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Analysis","Sheffield","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Sheffield","G6/G7","G6","30","25","66490","66370"
"In post","2022","Analysis","Sheffield","G6/G7","G7","65","60","53290","52150"
"In post","2022","Analysis","Sheffield","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Sheffield","SEO/HEO","HEO","45","45","32840","32870"
"In post","2022","Analysis","Sheffield","SEO/HEO","SEO","50","45","38850","37370"
"In post","2022","Analysis","Somerset CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","EO","EO","5","5","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South Ayrshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South Hampshire","AA/AO","AO","10","10","20010","19860"
"In post","2022","Analysis","South Hampshire","EO","EO","55","50","24480","23880"
"In post","2022","Analysis","South Hampshire","G6/G7","G6","25","25","61900","60370"
"In post","2022","Analysis","South Hampshire","G6/G7","G7","95","90","51310","50210"
"In post","2022","Analysis","South Hampshire","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","South Hampshire","SEO/HEO","HEO","185","175","30980","30710"
"In post","2022","Analysis","South Hampshire","SEO/HEO","SEO","150","145","38340","38340"
"In post","2022","Analysis","South Nottinghamshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South Nottinghamshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South Nottinghamshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Stoke-on-Trent","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Suffolk CC","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Suffolk CC","AA/AO","AO","20","20","21080","21510"
"In post","2022","Analysis","Suffolk CC","EO","EO","60","60","25300","25010"
"In post","2022","Analysis","Suffolk CC","G6/G7","G6","15","15","60980","59120"
"In post","2022","Analysis","Suffolk CC","G6/G7","G7","50","45","48980","48080"
"In post","2022","Analysis","Suffolk CC","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Suffolk CC","SEO/HEO","HEO","95","90","29880","29750"
"In post","2022","Analysis","Suffolk CC","SEO/HEO","SEO","90","85","37070","36580"
"In post","2022","Analysis","Sunderland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Swansea","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Swindon","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Swindon","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Telford and Wrekin","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Telford and Wrekin","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Torbay","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tower Hamlets","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Tower Hamlets","EO","EO","80","80","28670","28410"
"In post","2022","Analysis","Tower Hamlets","G6/G7","G6","80","75","72770","71740"
"In post","2022","Analysis","Tower Hamlets","G6/G7","G7","245","235","58570","59290"
"In post","2022","Analysis","Tower Hamlets","SCS level","SCS level","35","35","99160","95700"
"In post","2022","Analysis","Tower Hamlets","SEO/HEO","HEO","135","135","34720","34260"
"In post","2022","Analysis","Tower Hamlets","SEO/HEO","SEO","140","140","43220","42010"
"In post","2022","Analysis","Tyneside","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Analysis","Tyneside","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Tyneside","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Tyneside","G6/G7","G7","45","45","53460","52150"
"In post","2022","Analysis","Tyneside","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tyneside","SEO/HEO","HEO","50","50","32430","31990"
"In post","2022","Analysis","Tyneside","SEO/HEO","SEO","35","30","37440","36320"
