"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G7","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO","Heterosexual / straight","35","35","42600","41990"
"In post","2022","Analysis","Digital, Data and Technology","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","AO","Heterosexual / straight","40","40","21010","19860"
"In post","2022","Analysis","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","EO","Heterosexual / straight","65","65","26940","26910"
"In post","2022","Analysis","Economics","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","EO","Unknown","30","30","27560","28000"
"In post","2022","Analysis","Economics","G6","Heterosexual / straight","105","95","72120","70730"
"In post","2022","Analysis","Economics","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","G6","Undeclared","15","10","[c]","[c]"
"In post","2022","Analysis","Economics","G6","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Economics","G7","Heterosexual / straight","300","290","55640","54700"
"In post","2022","Analysis","Economics","G7","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","Economics","G7","Undeclared","40","40","57110","55410"
"In post","2022","Analysis","Economics","G7","Unknown","65","65","55870","54460"
"In post","2022","Analysis","Economics","HEO","Heterosexual / straight","335","335","34360","33880"
"In post","2022","Analysis","Economics","HEO","LGBO","40","40","34140","33770"
"In post","2022","Analysis","Economics","HEO","Undeclared","35","35","34980","33880"
"In post","2022","Analysis","Economics","HEO","Unknown","90","90","33390","33370"
"In post","2022","Analysis","Economics","SCS level","Heterosexual / straight","45","45","96480","85990"
"In post","2022","Analysis","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","SEO","Heterosexual / straight","60","60","41910","40650"
"In post","2022","Analysis","Economics","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G7","Unknown","10","5","[c]","[c]"
"In post","2022","Analysis","Finance","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Geography","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","EO","Heterosexual / straight","145","135","25870","24870"
"In post","2022","Analysis","Operational Delivery","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","EO","Unknown","65","60","25500","24870"
"In post","2022","Analysis","Operational Delivery","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","G7","Heterosexual / straight","70","65","52640","51930"
"In post","2022","Analysis","Operational Delivery","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","G7","Unknown","25","20","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","HEO","Heterosexual / straight","145","140","31660","30810"
"In post","2022","Analysis","Operational Delivery","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","HEO","Unknown","60","60","31260","30210"
"In post","2022","Analysis","Operational Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SEO","Heterosexual / straight","125","120","38430","37570"
"In post","2022","Analysis","Operational Delivery","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SEO","Unknown","60","55","38420","37570"
"In post","2022","Analysis","Operational Research","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Research","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","EO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Analysis","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","G6","Heterosexual / straight","30","30","70360","69470"
"In post","2022","Analysis","Operational Research","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","G7","Heterosexual / straight","110","105","55740","55730"
"In post","2022","Analysis","Operational Research","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","G7","Undeclared","15","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","G7","Unknown","125","115","51910","47660"
"In post","2022","Analysis","Operational Research","HEO","Heterosexual / straight","95","95","33220","33350"
"In post","2022","Analysis","Operational Research","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Research","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","HEO","Unknown","55","55","32250","31040"
"In post","2022","Analysis","Operational Research","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","SEO","Heterosexual / straight","80","75","42100","40580"
"In post","2022","Analysis","Operational Research","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","SEO","Unknown","65","65","40450","38070"
"In post","2022","Analysis","Other","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","EO","Heterosexual / straight","40","35","28490","28230"
"In post","2022","Analysis","Other","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Other","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Other","G6","Heterosexual / straight","90","80","90730","82910"
"In post","2022","Analysis","Other","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","G6","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Other","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Other","G7","Heterosexual / straight","55","50","55840","56150"
"In post","2022","Analysis","Other","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Other","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Other","HEO","Heterosexual / straight","45","45","36490","35990"
"In post","2022","Analysis","Other","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Other","HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Other","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","SEO","Heterosexual / straight","35","35","43780","42470"
"In post","2022","Analysis","Other","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Other","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Policy","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","EO","Heterosexual / straight","30","30","28370","27660"
"In post","2022","Analysis","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Policy","G6","Heterosexual / straight","65","60","66920","66370"
"In post","2022","Analysis","Policy","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Policy","G6","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Policy","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Policy","G7","Heterosexual / straight","135","125","54480","53370"
"In post","2022","Analysis","Policy","G7","LGBO","15","10","[c]","[c]"
"In post","2022","Analysis","Policy","G7","Undeclared","35","35","54430","53360"
"In post","2022","Analysis","Policy","G7","Unknown","25","20","[c]","[c]"
"In post","2022","Analysis","Policy","HEO","Heterosexual / straight","70","70","34300","34980"
"In post","2022","Analysis","Policy","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Policy","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Policy","HEO","Unknown","15","10","[c]","[c]"
"In post","2022","Analysis","Policy","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","SEO","Heterosexual / straight","75","70","41190","41990"
"In post","2022","Analysis","Policy","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Policy","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Policy","SEO","Unknown","15","10","[c]","[c]"
"In post","2022","Analysis","Project Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
