"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Crown Commercial Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SEO/HEO","SEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","AO","55","50","22080","21050"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","35","35","49920","52520"
"In post","2022","Declared disabled","Crown Prosecution Service","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","AA/AO","AO","175","160","22690","22200"
"In post","2022","Declared disabled","Crown Prosecution Service","EO","EO","170","150","28040","28430"
"In post","2022","Declared disabled","Crown Prosecution Service","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","G6/G7","G7","325","295","57050","55610"
"In post","2022","Declared disabled","Crown Prosecution Service","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","SEO/HEO","HEO","85","85","34440","34480"
"In post","2022","Declared disabled","Crown Prosecution Service","SEO/HEO","SEO","35","35","40560","39750"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","EO","EO","270","250","23040","22560"
"In post","2022","Declared disabled","Defence Equipment and Support","G6/G7","G6","35","35","66860","66960"
"In post","2022","Declared disabled","Defence Equipment and Support","G6/G7","G7","105","105","51230","51700"
"In post","2022","Declared disabled","Defence Equipment and Support","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","SEO/HEO","HEO","320","310","30540","30910"
"In post","2022","Declared disabled","Defence Equipment and Support","SEO/HEO","SEO","320","305","40470","40610"
"In post","2022","Declared disabled","Defence Equipment and Support","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","G6/G7","G7","90","85","49920","47010"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","SEO/HEO","HEO","70","65","30480","29230"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","SEO/HEO","SEO","55","55","39510","38070"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","50","50","28140","27680"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","55","55","67100","66010"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","170","165","54850","53600"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","130","125","33870","33570"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","125","125","41320","40050"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G7","45","45","53900","52130"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","70","70","35170","34020"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","EO","EO","80","75","26670","26000"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","G6/G7","G6","55","55","64590","64180"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","G6/G7","G7","120","115","52520","50630"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","HEO","130","125","31230","30200"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","SEO","155","150","38990","37100"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","100","95","26900","26470"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","55","55","61790","61710"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","175","170","51400","51420"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","200","195","32010","31980"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","190","185","38220","37240"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","EO","EO","30","30","27820","27580"
"In post","2022","Declared disabled","Department for International Trade","G6/G7","G6","35","35","64660","64170"
"In post","2022","Declared disabled","Department for International Trade","G6/G7","G7","70","65","53420","51970"
"In post","2022","Declared disabled","Department for International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","SEO/HEO","HEO","50","50","32860","31800"
"In post","2022","Declared disabled","Department for International Trade","SEO/HEO","SEO","40","40","39780","38160"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","60","60","27890","27850"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","95","90","52570","53130"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","95","95","32740","33210"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","80","80","39410","39600"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","EO","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","G6/G7","G7","60","60","54440","54110"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","HEO","55","50","33550","34710"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","SEO","40","35","43350","42470"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AA","70","55","20370","20480"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AO","5195","4410","21400","21260"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","EO","8525","7555","28070","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G6","90","90","67520","66250"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G7","295","280","52540","51580"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","1160","1070","33580","32470"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","430","400","38240","37330"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","EO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G7","65","65","52870","53360"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","55","55","32770","32790"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","45","40","39230","40650"
"In post","2022","Declared disabled","Disclosure Scotland","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","AA","180","135","18370","18310"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","AO","300","245","21890","21840"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","EO","EO","95","85","26610","26700"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","SEO/HEO","HEO","35","30","32480","32020"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","SEO/HEO","SEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","AO","80","75","23700","21840"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","EO","EO","255","225","28160","26780"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","SEO/HEO","HEO","70","65","32430","31860"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","SEO/HEO","SEO","35","35","41460","41090"
"In post","2022","Declared disabled","Education and Skills Funding Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","G6/G7","G7","35","35","51140","50400"
"In post","2022","Declared disabled","Education and Skills Funding Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","SEO/HEO","HEO","50","45","30660","30200"
"In post","2022","Declared disabled","Education and Skills Funding Agency","SEO/HEO","SEO","60","60","38090","37100"
"In post","2022","Declared disabled","Education Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","EO","EO","30","30","27650","26750"
"In post","2022","Declared disabled","Food Standards Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SEO/HEO","HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SEO/HEO","SEO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AO","55","50","26210","25000"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","EO","EO","95","90","30040","30580"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G6","80","75","67140","67720"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G7","170","165","55250","55060"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","SCS level","30","30","83320","77060"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","HEO","195","190","35830","35700"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","SEO","75","75","42660","43300"
"In post","2022","Declared disabled","Forestry and Land Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","AA/AO","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
