"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6","25","25","66440","64720"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G7","85","85","54500","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","HEO","55","55","32450","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO","25","25","41480","42980"
"In post","2022","Analysis","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AO","20","20","22370","21840"
"In post","2022","Analysis","Department for Transport","EO","45","40","28580","29970"
"In post","2022","Analysis","Department for Transport","G6","35","35","65870","65940"
"In post","2022","Analysis","Department for Transport","G7","125","120","55020","54650"
"In post","2022","Analysis","Department for Transport","HEO","90","90","33650","34710"
"In post","2022","Analysis","Department for Transport","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport","SEO","70","70","42230","42470"
"In post","2022","Analysis","Department for Work and Pensions","AO","50","50","22430","21260"
"In post","2022","Analysis","Department for Work and Pensions","EO","45","40","28500","27660"
"In post","2022","Analysis","Department for Work and Pensions","G6","55","50","69520","66370"
"In post","2022","Analysis","Department for Work and Pensions","G7","165","155","56540","57230"
"In post","2022","Analysis","Department for Work and Pensions","HEO","220","215","34730","35000"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","10","10","78760","78190"
"In post","2022","Analysis","Department for Work and Pensions","SEO","135","125","38960","37850"
"In post","2022","Analysis","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","25","20","27020","27270"
"In post","2022","Analysis","Department of Health and Social Care","G6","80","75","66910","66230"
"In post","2022","Analysis","Department of Health and Social Care","G7","195","190","53670","53360"
"In post","2022","Analysis","Department of Health and Social Care","HEO","65","65","32140","32790"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","25","25","83450","79010"
"In post","2022","Analysis","Department of Health and Social Care","SEO","55","55","40320","40650"
"In post","2022","Analysis","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","HEO","15","15","32390","32350"
"In post","2022","Analysis","Food Standards Agency","SEO","20","20","39740","40350"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","G6","15","15","73600","73920"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","G7","20","20","61620","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","SEO","15","15","49780","48860"
"In post","2022","Analysis","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","G7","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","AO","15","15","23250","21250"
"In post","2022","Analysis","HM Revenue and Customs","EO","40","40","29140","28920"
"In post","2022","Analysis","HM Revenue and Customs","G6","55","50","72030","74850"
"In post","2022","Analysis","HM Revenue and Customs","G7","220","210","58280","58600"
"In post","2022","Analysis","HM Revenue and Customs","HEO","275","270","35450","33910"
"In post","2022","Analysis","HM Revenue and Customs","SCS level","15","15","81150","79420"
"In post","2022","Analysis","HM Revenue and Customs","SEO","180","175","41860","40520"
"In post","2022","Analysis","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","G6","10","10","77720","70040"
"In post","2022","Analysis","HM Treasury","G7","25","25","56120","54690"
"In post","2022","Analysis","HM Treasury","HEO","10","10","36570","35610"
"In post","2022","Analysis","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","AO","30","25","21930","21830"
"In post","2022","Analysis","Ministry of Defence","EO","70","70","28040","27850"
"In post","2022","Analysis","Ministry of Defence","G6","10","10","68360","67220"
"In post","2022","Analysis","Ministry of Defence","G7","240","225","51560","47060"
"In post","2022","Analysis","Ministry of Defence","HEO","235","230","32470","33000"
"In post","2022","Analysis","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","SEO","220","210","40760","38360"
"In post","2022","Analysis","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","EO","75","75","27920","28310"
"In post","2022","Analysis","Ministry of Justice","G6","40","40","69170","68540"
"In post","2022","Analysis","Ministry of Justice","G7","165","155","59100","60280"
"In post","2022","Analysis","Ministry of Justice","HEO","110","110","34280","34260"
"In post","2022","Analysis","Ministry of Justice","SCS level","15","10","83730","82580"
"In post","2022","Analysis","Ministry of Justice","SEO","155","150","42160","41750"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","EO","15","15","25760","25880"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","G7","15","15","60180","59810"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","HEO","50","50","32530","32010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SEO","35","35","40720","39850"
"In post","2022","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","EO","45","45","27360","26500"
"In post","2022","Analysis","Office of Gas and Electricity Markets","G6","10","10","70680","69210"
"In post","2022","Analysis","Office of Gas and Electricity Markets","G7","50","50","55890","53280"
"In post","2022","Analysis","Office of Gas and Electricity Markets","HEO","45","45","34170","34000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SEO","20","20","39920","39880"
"In post","2022","Analysis","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","G7","20","20","58450","57070"
"In post","2022","Analysis","Office of Rail and Road","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","SEO","10","10","41890","42880"
"In post","2022","Analysis","Office of the Secretary of State for Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Scottish Government","SEO","10","10","45920","47490"
"In post","2022","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","G6","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","G7","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","AO","70","65","20140","19860"
"In post","2022","Analysis","UK Statistics Authority","EO","195","180","24700","23880"
"In post","2022","Analysis","UK Statistics Authority","G6","85","85","62190","60940"
"In post","2022","Analysis","UK Statistics Authority","G7","335","325","51670","50210"
"In post","2022","Analysis","UK Statistics Authority","HEO","685","665","31280","30710"
"In post","2022","Analysis","UK Statistics Authority","SCS level","35","35","86220","74730"
"In post","2022","Analysis","UK Statistics Authority","SEO","570","545","38540","38340"
"In post","2022","Analysis","Water Services Regulation Authority","EO","10","10","28000","28000"
"In post","2022","Analysis","Water Services Regulation Authority","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","HEO","10","10","44110","44860"
"In post","2022","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Welsh Government","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","HEO","10","10","31290","30610"
"In post","2022","Commercial","Attorney General's Departments","SEO","15","15","38960","38180"
"In post","2022","Commercial","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","EO","75","75","26350","25950"
"In post","2022","Commercial","Cabinet Office","G6","395","395","75620","72750"
"In post","2022","Commercial","Cabinet Office","G7","870","860","59600","58410"
"In post","2022","Commercial","Cabinet Office","HEO","170","170","31660","30940"
"In post","2022","Commercial","Cabinet Office","SCS level","240","235","118580","116730"
"In post","2022","Commercial","Cabinet Office","SEO","260","250","39560","39360"
"In post","2022","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","G7","10","10","50390","49480"
"In post","2022","Commercial","Chancellor's other departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","EO","20","20","25530","25410"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","G6","40","40","62480","60490"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","G7","95","90","48730","47960"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","HEO","45","45","33260","32730"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","SEO","80","75","40150","39750"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","G7","10","10","53680","52460"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","HEO","20","20","34910","34020"
"In post","2022","Commercial","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","EO","30","30","25120","25000"
"In post","2022","Commercial","Department for Education","G6","15","15","61880","61350"
"In post","2022","Commercial","Department for Education","G7","50","50","50360","49860"
"In post","2022","Commercial","Department for Education","HEO","50","50","29920","29360"
"In post","2022","Commercial","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","SEO","115","110","37110","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","AO","20","15","22230","21300"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","EO","25","20","26820","26520"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","G7","25","20","52660","49280"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","HEO","45","40","30540","29920"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","SEO","95","95","38000","37020"
"In post","2022","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","HEO","10","10","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","SEO","15","15","40410","39270"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","SEO","15","15","40450","40620"
"In post","2022","Commercial","Department for Transport","AA","10","10","18310","18310"
"In post","2022","Commercial","Department for Transport","AO","30","30","21830","21840"
"In post","2022","Commercial","Department for Transport","EO","70","60","26480","26130"
"In post","2022","Commercial","Department for Transport","G6","40","35","67780","66230"
"In post","2022","Commercial","Department for Transport","G7","50","45","53900","54110"
"In post","2022","Commercial","Department for Transport","HEO","105","100","32340","31850"
"In post","2022","Commercial","Department for Transport","SCS level","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Transport","SEO","90","85","41210","41440"
"In post","2022","Commercial","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","G7","10","10","54490","53430"
"In post","2022","Commercial","Department for Work and Pensions","HEO","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","SEO","10","10","41380","41560"
"In post","2022","Commercial","Department of Health and Social Care","AO","10","10","21680","22660"
"In post","2022","Commercial","Department of Health and Social Care","EO","25","25","26590","27270"
"In post","2022","Commercial","Department of Health and Social Care","G6","40","40","65920","65950"
"In post","2022","Commercial","Department of Health and Social Care","G7","135","130","53140","53360"
"In post","2022","Commercial","Department of Health and Social Care","HEO","35","35","31270","30320"
"In post","2022","Commercial","Department of Health and Social Care","SCS level","45","45","80130","75290"
"In post","2022","Commercial","Department of Health and Social Care","SEO","135","130","39840","40650"
"In post","2022","Commercial","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","AO","20","15","24230","23250"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","EO","20","20","27000","26100"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","G6","15","15","71760","71560"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","G7","35","35","55580","54650"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","HEO","25","25","33240","33930"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","SEO","35","35","41690","41160"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs","AO","10","10","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs","EO","30","30","27340","26820"
"In post","2022","Commercial","HM Revenue and Customs","G6","10","10","68920","67960"
"In post","2022","Commercial","HM Revenue and Customs","G7","15","10","53650","55210"
"In post","2022","Commercial","HM Revenue and Customs","HEO","40","35","34090","33370"
"In post","2022","Commercial","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs","SEO","50","45","40710","40520"
"In post","2022","Commercial","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Ministry of Defence","AO","65","60","21590","21170"
"In post","2022","Commercial","Ministry of Defence","EO","310","300","26540","26670"
"In post","2022","Commercial","Ministry of Defence","G6","70","70","69060","68350"
"In post","2022","Commercial","Ministry of Defence","G7","140","135","52800","53900"
"In post","2022","Commercial","Ministry of Defence","HEO","455","440","33460","33300"
"In post","2022","Commercial","Ministry of Defence","SCS level","15","15","100390","91580"
"In post","2022","Commercial","Ministry of Defence","SEO","510","495","41350","41500"
"In post","2022","Commercial","Ministry of Defence","Unknown","160","160","40420","37450"
"In post","2022","Commercial","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice","AO","25","25","21080","20970"
"In post","2022","Commercial","Ministry of Justice","EO","60","55","26140","25770"
"In post","2022","Commercial","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Ministry of Justice","G7","10","10","58390","57830"
"In post","2022","Commercial","Ministry of Justice","HEO","50","45","32370","32200"
"In post","2022","Commercial","Ministry of Justice","SEO","105","105","41160","41750"
"In post","2022","Commercial","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","G7","5","5","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scottish Government","AA","20","15","21640","21640"
"In post","2022","Commercial","Scottish Government","AO","40","35","26060","26900"
"In post","2022","Commercial","Scottish Government","EO","15","15","30290","29550"
"In post","2022","Commercial","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scottish Government","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Scottish Government","HEO","15","15","38510","39000"
"In post","2022","Commercial","Scottish Government","SEO","10","10","45790","46100"
"In post","2022","Commercial","The National Archives","AO","20","20","21910","21660"
"In post","2022","Commercial","The National Archives","EO","5","5","[c]","[c]"
"In post","2022","Commercial","The National Archives","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","The National Archives","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","The National Archives","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","The National Archives","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","EO","20","20","29390","29000"
"In post","2022","Commercial","UK Export Finance","G6","15","15","78460","79110"
"In post","2022","Commercial","UK Export Finance","G7","55","55","60690","60380"
"In post","2022","Commercial","UK Export Finance","HEO","40","40","33890","33000"
"In post","2022","Commercial","UK Export Finance","SCS level","10","10","120870","114560"
"In post","2022","Commercial","UK Export Finance","SEO","75","75","45510","44080"
"In post","2022","Commercial","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","G6","5","5","[c]","[c]"
