"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","North West (England)","Lancashire","Chorley and West Lancashire","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","Lancashire","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Lancashire","Mid Lancashire","15","10","36540","32170"
"In post","2022","Commercial","North West (England)","Merseyside","East Merseyside","25","25","40430","36820"
"In post","2022","Commercial","North West (England)","Merseyside","Liverpool","190","190","35750","33910"
"In post","2022","Commercial","North West (England)","Merseyside","Sefton","15","15","38850","36350"
"In post","2022","Commercial","North West (England)","Merseyside","Wirral","40","35","26100","21260"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Overseas","40","40","48740","42130"
"In post","2022","Commercial","Scotland","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Eastern Scotland","City of Edinburgh","60","60","37430","35000"
"In post","2022","Commercial","Scotland","Eastern Scotland","Clackmannanshire and Fife","15","10","32340","28000"
"In post","2022","Commercial","Scotland","Eastern Scotland","Falkirk","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Eastern Scotland","Perth and Kinross, and Stirling","10","10","26800","26900"
"In post","2022","Commercial","Scotland","Eastern Scotland","West Lothian","10","10","35850","40290"
"In post","2022","Commercial","Scotland","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","10","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Southern Scotland","South Lanarkshire","50","50","39680","39630"
"In post","2022","Commercial","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","15","15","34930","34290"
"In post","2022","Commercial","Scotland","West Central Scotland","Glasgow City","110","105","33790","33000"
"In post","2022","Commercial","Scotland","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","West Central Scotland","North Lanarkshire","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","15","10","35860","36970"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","60","60","37220","36800"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","70","65","43590","41580"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","35","35","33060","32350"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","Central Hampshire","140","135","34780","34500"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","Portsmouth","55","55","35280","34500"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","South Hampshire","15","15","44440","34800"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","Southampton","30","25","40580","39250"
"In post","2022","Commercial","South East (England)","Kent","East Kent","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","Kent","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Kent","Medway","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","West Surrey","20","20","42370","39920"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","Devon","Devon CC","205","195","43750","45150"
"In post","2022","Commercial","South West (England)","Devon","Plymouth","25","25","39350","38150"
"In post","2022","Commercial","South West (England)","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","Dorset and Somerset","Dorset","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","Dorset and Somerset","Somerset CC","120","115","40570","40430"
"In post","2022","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","1195","1150","39760","37400"
"In post","2022","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","80","75","37760","36780"
"In post","2022","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","205","195","34670","34500"
"In post","2022","Commercial","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","East Wales","Cardiff and Vale of Glamorgan","45","40","41130","36580"
"In post","2022","Commercial","Wales","East Wales","Flintshire and Wrexham","20","20","35080","32890"
"In post","2022","Commercial","Wales","East Wales","Monmouthshire and Newport","100","100","36730","31470"
"In post","2022","Commercial","Wales","East Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Swansea","190","175","33060","30730"
"In post","2022","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Shropshire and Staffordshire","Shropshire","10","10","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","80","80","37690","33000"
"In post","2022","Commercial","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","30","25","40650","40520"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Birmingham","80","75","36670","33240"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Coventry","60","60","39860","36780"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Sandwell","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Solihull","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Walsall","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","5","5","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","15","15","34810","38960"
"In post","2022","Commercial","Yorkshire and The Humber","North Yorkshire","York","40","40","39450","37210"
"In post","2022","Commercial","Yorkshire and The Humber","South Yorkshire","Barnsley, Doncaster and Rotherham","15","10","37130","34290"
"In post","2022","Commercial","Yorkshire and The Humber","South Yorkshire","Sheffield","240","230","35530","33520"
"In post","2022","Commercial","Yorkshire and The Humber","West Yorkshire","Bradford","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","West Yorkshire","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","West Yorkshire","Leeds","295","285","41430","36820"
"In post","2022","Commercial","Yorkshire and The Humber","West Yorkshire","Wakefield","10","10","46030","38980"
"In post","2022","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","70","65","40480","40520"
"In post","2022","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","5","5","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Lincolnshire","Lincolnshire CC","20","15","33200","33300"
"In post","2022","Communications","East of England","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","5","5","[c]","[c]"
"In post","2022","Communications","East of England","Bedfordshire and Hertfordshire","Hertfordshire CC","15","15","40950","37640"
"In post","2022","Communications","East of England","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","East Anglia","Cambridgeshire CC","15","15","32990","33300"
"In post","2022","Communications","East of England","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","East Anglia","Peterborough","15","15","36460","31380"
"In post","2022","Communications","East of England","East Anglia","Suffolk CC","15","15","31310","30200"
"In post","2022","Communications","East of England","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","Essex","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","Essex","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Inner London - East","Hackney and Newham","25","25","46150","43810"
"In post","2022","Communications","London","Inner London - East","Lambeth","60","60","48850","44310"
"In post","2022","Communications","London","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Inner London - East","Tower Hamlets","155","150","47120","41010"
"In post","2022","Communications","London","Inner London - West","Camden and City of London","15","15","51680","44850"
"In post","2022","Communications","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Inner London - West","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Inner London - West","Westminster","1865","1825","46950","43360"
"In post","2022","Communications","London","Outer London - East and North East","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - East and North East","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - East and North East","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - South","Bromley","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - South","Croydon","40","35","43230","39690"
"In post","2022","Communications","London","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - West and North West","Barnet","20","20","34850","34640"
"In post","2022","Communications","London","Outer London - West and North West","Ealing","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - West and North West","Hounslow and Richmond upon Thames","20","15","33960","29780"
"In post","2022","Communications","North East (England)","Northumberland, and Tyne and Wear","Northumberland","5","5","[c]","[c]"
"In post","2022","Communications","North East (England)","Northumberland, and Tyne and Wear","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","Northumberland, and Tyne and Wear","Tyneside","60","55","38690","37020"
"In post","2022","Communications","North East (England)","Tees Valley and Durham","Darlington","25","25","30010","28070"
"In post","2022","Communications","North East (England)","Tees Valley and Durham","Durham","5","5","[c]","[c]"
"In post","2022","Communications","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Cheshire","Warrington","10","10","36160","36860"
"In post","2022","Communications","North West (England)","Cumbria","East Cumbria","5","5","[c]","[c]"
"In post","2022","Communications","North West (England)","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Greater Manchester","Greater Manchester South West","10","10","39240","35410"
"In post","2022","Communications","North West (England)","Greater Manchester","Manchester","90","90","34440","30370"
"In post","2022","Communications","North West (England)","Lancashire","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Lancashire","Blackpool","5","5","[c]","[c]"
"In post","2022","Communications","North West (England)","Lancashire","Lancaster and Wyre","15","15","31330","33000"
"In post","2022","Communications","North West (England)","Lancashire","Mid Lancashire","10","10","[c]","[c]"
"In post","2022","Communications","North West (England)","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Merseyside","Liverpool","25","20","40390","38980"
"In post","2022","Communications","North West (England)","Merseyside","Sefton","50","50","40430","37910"
"In post","2022","Communications","North West (England)","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Northern Ireland","Belfast","20","20","44350","39580"
"In post","2022","Communications","Northern Ireland","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Overseas","10","10","43080","40610"
"In post","2022","Communications","Scotland","Eastern Scotland","City of Edinburgh","45","45","40220","37710"
"In post","2022","Communications","Scotland","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Southern Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","West Central Scotland","Glasgow City","25","25","34380","33230"
"In post","2022","Communications","Scotland","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","20","20","32510","30160"
"In post","2022","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","30","30","37370","35000"
"In post","2022","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","5","5","[c]","[c]"
"In post","2022","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","25","25","30750","33000"
"In post","2022","Communications","South East (England)","Hampshire and Isle of Wight","Central Hampshire","70","65","32020","29230"
"In post","2022","Communications","South East (England)","Hampshire and Isle of Wight","North Hampshire","15","15","37130","34300"
"In post","2022","Communications","South East (England)","Hampshire and Isle of Wight","Portsmouth","40","40","34860","33300"
"In post","2022","Communications","South East (England)","Hampshire and Isle of Wight","South Hampshire","25","25","34750","30810"
"In post","2022","Communications","South East (England)","Hampshire and Isle of Wight","Southampton","20","15","36550","31290"
"In post","2022","Communications","South East (England)","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","5","5","[c]","[c]"
"In post","2022","Communications","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","10","10","38150","38960"
"In post","2022","Communications","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","15","10","23600","21380"
"In post","2022","Communications","South West (England)","Devon","Devon CC","40","40","39620","37420"
"In post","2022","Communications","South West (England)","Devon","Plymouth","5","5","[c]","[c]"
"In post","2022","Communications","South West (England)","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","Dorset and Somerset","Dorset","20","20","30030","29200"
"In post","2022","Communications","South West (England)","Dorset and Somerset","Somerset CC","30","25","40350","35340"
"In post","2022","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","50","50","38530","36240"
"In post","2022","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","80","75","38560","36160"
"In post","2022","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","60","55","32050","29230"
"In post","2022","Communications","Unknown","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Wales","East Wales","Cardiff and Vale of Glamorgan","190","180","40370","38160"
"In post","2022","Communications","Wales","East Wales","Flintshire and Wrexham","5","5","[c]","[c]"
"In post","2022","Communications","Wales","East Wales","Monmouthshire and Newport","70","70","37840","36840"
"In post","2022","Communications","Wales","East Wales","Powys","5","5","[c]","[c]"
"In post","2022","Communications","Wales","West Wales and The Valleys","Central Valleys","10","10","37320","38160"
"In post","2022","Communications","Wales","West Wales and The Valleys","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wales","West Wales and The Valleys","Gwent Valleys","5","5","[c]","[c]"
"In post","2022","Communications","Wales","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wales","West Wales and The Valleys","South West Wales","5","5","[c]","[c]"
"In post","2022","Communications","Wales","West Wales and The Valleys","Swansea","75","75","30720","26780"
"In post","2022","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2022","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","5","5","[c]","[c]"
"In post","2022","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","10","10","41640","37190"
"In post","2022","Communications","West Midlands (England)","Shropshire and Staffordshire","Shropshire","15","15","27380","26670"
"In post","2022","Communications","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","30","30","37210","33300"
"In post","2022","Communications","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","Communications","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Communications","West Midlands (England)","West Midlands","Birmingham","35","35","40490","38650"
"In post","2022","Communications","West Midlands (England)","West Midlands","Coventry","55","50","44180","40170"
