"Status","Year","Age","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Greater Manchester","Manchester","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Lancashire","Blackpool","10","10","23550","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Lancashire","Mid Lancashire","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Northumberland, and Tyne and Wear","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Northumberland, and Tyne and Wear","Tyneside","10","10","21890","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outer London - East and North East","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outer London - East and North East","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outer London - East and North East","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South Yorkshire","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Surrey, East and West Sussex","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Tees Valley and Durham","Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Central Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Central Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Midlands","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Midlands","Solihull","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Midlands","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Yorkshire","Bradford","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Yorkshire","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Yorkshire","Leeds","5","5","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","West Wales and The Valleys","Swansea","70","60","19100","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Shropshire and Staffordshire","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","25","25","19180","19110"
"In post","2022","16-19","FCDO Services","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Devon","Plymouth","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Derbyshire and Nottinghamshire","Nottingham","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Greater Manchester","Manchester","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Hampshire and Isle of Wight","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Kent","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Kent","Medway","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Lincolnshire","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Outer London - East and North East","Bexley and Greenwich","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Shropshire and Staffordshire","Staffordshire CC","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","South Yorkshire","Barnsley, Doncaster and Rotherham","10","10","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Surrey, East and West Sussex","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Surrey, East and West Sussex","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Tees Valley and Durham","Durham","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
