"Status","Year","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","3695","3565","42630","40050"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","715","705","50270","51730"
"In post","2022","30-39","Department for Education","2400","2310","43720","40780"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","2900","2765","36450","35900"
"In post","2022","30-39","Department for International Trade","825","815","50340","51970"
"In post","2022","30-39","Department for Levelling Up, Housing and Communities","1105","1070","46700","48200"
"In post","2022","30-39","Department for Transport","3780","3555","33630","26840"
"In post","2022","30-39","Department for Work and Pensions","15405","14240","28510","27570"
"In post","2022","30-39","Department of Health and Social Care","2950","2805","43880","40650"
"In post","2022","30-39","Estyn","15","10","35080","29430"
"In post","2022","30-39","Food Standards Agency","320","315","37650","37350"
"In post","2022","30-39","Foreign, Commonwealth and Development Office","2180","2145","47000","49840"
"In post","2022","30-39","HM Land Registry","1065","1005","29690","27130"
"In post","2022","30-39","HM Revenue and Customs","16285","15600","33540","33080"
"In post","2022","30-39","HM Treasury","795","775","54350","55100"
"In post","2022","30-39","Home Office","8730","8290","32700","28650"
"In post","2022","30-39","Ministry of Defence","10780","10405","35770","33300"
"In post","2022","30-39","Ministry of Justice","20175","19135","30070","27980"
"In post","2022","30-39","National Crime Agency","1335","1305","38490","36740"
"In post","2022","30-39","Northern Ireland Office","65","60","49050","50430"
"In post","2022","30-39","Office for Standards in Education, Children's Services and Skills","395","380","42820","39850"
"In post","2022","30-39","Office of Gas and Electricity Markets","480","470","43870","40270"
"In post","2022","30-39","Office of Qualifications and Examinations Regulation","85","80","41280","38000"
"In post","2022","30-39","Office of Rail and Road","95","90","49700","50810"
"In post","2022","30-39","Office of the Secretary of State for Scotland","40","40","53360","53480"
"In post","2022","30-39","Office of the Secretary of State for Wales","10","10","46950","43120"
"In post","2022","30-39","Scottish Government","6400","6175","36050","33070"
"In post","2022","30-39","The National Archives","125","120","34530","34260"
"In post","2022","30-39","UK Export Finance","105","105","54310","52050"
"In post","2022","30-39","UK Statistics Authority","1430","1335","36640","36840"
"In post","2022","30-39","UK Supreme Court","10","10","[c]","[c]"
"In post","2022","30-39","Water Services Regulation Authority","55","55","49480","45900"
"In post","2022","30-39","Welsh Government","1260","1200","38450","38160"
"In post","2022","40-49","Attorney General's Departments","2840","2600","48650","51470"
"In post","2022","40-49","Cabinet Office","2290","2230","56400","54700"
"In post","2022","40-49","Chancellor's other departments","120","115","67050","62220"
"In post","2022","40-49","Charity Commission","140","130","38200","29550"
"In post","2022","40-49","Competition and Markets Authority","225","215","72590","72430"
"In post","2022","40-49","Department for Business, Energy and Industrial Strategy","3265","3090","45170","41150"
"In post","2022","40-49","Department for Digital, Culture, Media and Sport","310","295","57760","56810"
"In post","2022","40-49","Department for Education","2300","2180","47730","49860"
"In post","2022","40-49","Department for Environment, Food and Rural Affairs","3405","3190","38290","35900"
"In post","2022","40-49","Department for International Trade","470","460","54650","52110"
"In post","2022","40-49","Department for Levelling Up, Housing and Communities","955","915","49390","48200"
"In post","2022","40-49","Department for Transport","3965","3745","35220","29730"
"In post","2022","40-49","Department for Work and Pensions","21865","19755","29240","27570"
"In post","2022","40-49","Department of Health and Social Care","2830","2655","50160","49530"
"In post","2022","40-49","Estyn","30","30","57260","64520"
"In post","2022","40-49","Food Standards Agency","375","365","41500","37910"
"In post","2022","40-49","Foreign, Commonwealth and Development Office","2180","2120","52590","54470"
"In post","2022","40-49","HM Land Registry","1265","1185","34010","30600"
"In post","2022","40-49","HM Revenue and Customs","15455","14530","35100","33080"
"In post","2022","40-49","HM Treasury","405","385","58030","55910"
"In post","2022","40-49","Home Office","9225","8690","34590","29080"
"In post","2022","40-49","Ministry of Defence","11980","11570","37720","34160"
"In post","2022","40-49","Ministry of Justice","18930","17815","32810","30450"
"In post","2022","40-49","National Crime Agency","1360","1310","43110","40210"
"In post","2022","40-49","Northern Ireland Office","25","25","47590","41020"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","560","540","52350","51360"
"In post","2022","40-49","Office of Gas and Electricity Markets","295","285","53090","50030"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","100","95","50900","46840"
"In post","2022","40-49","Office of Rail and Road","100","95","57960","55700"
"In post","2022","40-49","Office of the Secretary of State for Scotland","20","15","61570","62170"
"In post","2022","40-49","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2022","40-49","Scottish Government","5855","5580","41820","36130"
"In post","2022","40-49","The National Archives","155","145","40440","36850"
"In post","2022","40-49","UK Export Finance","130","125","58420","52860"
"In post","2022","40-49","UK Statistics Authority","1155","1055","38780","36840"
"In post","2022","40-49","UK Supreme Court","10","10","40570","31680"
"In post","2022","40-49","Water Services Regulation Authority","95","90","61840","56100"
"In post","2022","40-49","Welsh Government","1795","1705","44640","40100"
"In post","2022","50-59","Attorney General's Departments","2935","2750","48870","51470"
"In post","2022","50-59","Cabinet Office","1895","1860","55940","51580"
"In post","2022","50-59","Chancellor's other departments","85","80","67640","55300"
"In post","2022","50-59","Charity Commission","105","100","33710","29230"
"In post","2022","50-59","Competition and Markets Authority","155","150","69040","59940"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy","3005","2885","42910","39650"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","180","175","50090","51730"
"In post","2022","50-59","Department for Education","1805","1750","46220","42570"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs","2930","2810","37630","33510"
"In post","2022","50-59","Department for International Trade","440","435","50110","47980"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities","775","750","47240","46120"
"In post","2022","50-59","Department for Transport","4245","4030","34080","27930"
"In post","2022","50-59","Department for Work and Pensions","32600","29590","29010","27570"
"In post","2022","50-59","Department of Health and Social Care","2365","2255","51960","47210"
"In post","2022","50-59","Estyn","45","40","70950","75480"
"In post","2022","50-59","Food Standards Agency","465","460","37500","31460"
"In post","2022","50-59","Foreign, Commonwealth and Development Office","2060","2020","52160","49240"
"In post","2022","50-59","HM Land Registry","2485","2250","32770","30600"
"In post","2022","50-59","HM Revenue and Customs","19985","18505","35480","33080"
"In post","2022","50-59","HM Treasury","390","375","52960","49750"
"In post","2022","50-59","Home Office","9745","9135","33480","28810"
"In post","2022","50-59","Ministry of Defence","19145","18720","35600","33300"
"In post","2022","50-59","Ministry of Justice","22790","21485","32200","30220"
"In post","2022","50-59","National Crime Agency","1590","1560","44120","41020"
"In post","2022","50-59","Northern Ireland Office","40","40","49270","40060"
"In post","2022","50-59","Office for Standards in Education, Children's Services and Skills","560","545","57210","51360"
"In post","2022","50-59","Office of Gas and Electricity Markets","155","155","54080","50030"
"In post","2022","50-59","Office of Qualifications and Examinations Regulation","55","55","46690","40370"
"In post","2022","50-59","Office of Rail and Road","90","90","59850","60020"
"In post","2022","50-59","Office of the Secretary of State for Scotland","20","20","55760","58100"
"In post","2022","50-59","Office of the Secretary of State for Wales","5","5","[c]","[c]"
"In post","2022","50-59","Scottish Government","6565","6280","40780","35000"
"In post","2022","50-59","The National Archives","140","135","39120","34770"
"In post","2022","50-59","UK Export Finance","110","110","59910","52300"
"In post","2022","50-59","UK Statistics Authority","1270","1085","33660","30210"
"In post","2022","50-59","UK Supreme Court","15","15","39410","30400"
"In post","2022","50-59","Water Services Regulation Authority","55","50","62860","60000"
"In post","2022","50-59","Welsh Government","1730","1665","45710","41980"
"In post","2022","60-64","Attorney General's Departments","585","505","47670","51830"
"In post","2022","60-64","Cabinet Office","350","315","50000","38580"
"In post","2022","60-64","Chancellor's other departments","20","20","72810","62800"
"In post","2022","60-64","Charity Commission","30","30","35250","29550"
"In post","2022","60-64","Competition and Markets Authority","20","20","55420","53560"
"In post","2022","60-64","Department for Business, Energy and Industrial Strategy","665","580","37910","34500"
"In post","2022","60-64","Department for Digital, Culture, Media and Sport","35","35","48340","38980"
"In post","2022","60-64","Department for Education","305","285","45350","41150"
"In post","2022","60-64","Department for Environment, Food and Rural Affairs","710","635","34600","29270"
"In post","2022","60-64","Department for International Trade","90","85","46870","40290"
"In post","2022","60-64","Department for Levelling Up, Housing and Communities","175","160","48980","47660"
"In post","2022","60-64","Department for Transport","1490","1225","30430","26780"
"In post","2022","60-64","Department for Work and Pensions","10295","8050","27530","27570"
"In post","2022","60-64","Department of Health and Social Care","570","505","54380","46000"
"In post","2022","60-64","Estyn","10","10","67160","75480"
"In post","2022","60-64","Food Standards Agency","110","100","33220","28800"
"In post","2022","60-64","Foreign, Commonwealth and Development Office","400","380","49490","43160"
"In post","2022","60-64","HM Land Registry","550","400","32110","27130"
"In post","2022","60-64","HM Revenue and Customs","5715","4435","31960","28920"
"In post","2022","60-64","HM Treasury","95","80","48830","43320"
"In post","2022","60-64","Home Office","2405","1970","30920","27370"
"In post","2022","60-64","Ministry of Defence","5985","5550","32870","29230"
"In post","2022","60-64","Ministry of Justice","6845","5645","29380","26900"
"In post","2022","60-64","National Crime Agency","325","300","42100","40060"
"In post","2022","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office for Standards in Education, Children's Services and Skills","135","125","57100","51360"
"In post","2022","60-64","Office of Gas and Electricity Markets","30","30","47720","43170"
"In post","2022","60-64","Office of Qualifications and Examinations Regulation","10","10","39690","38080"
"In post","2022","60-64","Office of Rail and Road","25","20","61910","60020"
"In post","2022","60-64","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Scottish Government","1605","1330","37390","35000"
"In post","2022","60-64","The National Archives","45","40","34070","31840"
"In post","2022","60-64","UK Export Finance","25","25","55630","54340"
"In post","2022","60-64","UK Statistics Authority","465","350","26780","20350"
"In post","2022","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","60-64","Welsh Government","425","370","43670","38160"
"In post","2022","65+","Attorney General's Departments","165","130","48020","55610"
"In post","2022","65+","Cabinet Office","90","75","48880","36440"
"In post","2022","65+","Chancellor's other departments","5","5","[c]","[c]"
"In post","2022","65+","Charity Commission","5","5","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","10","5","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy","245","190","39110","36080"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","65+","Department for Education","75","70","40190","36780"
"In post","2022","65+","Department for Environment, Food and Rural Affairs","260","220","31950","26600"
"In post","2022","65+","Department for International Trade","25","20","58020","39430"
"In post","2022","65+","Department for Levelling Up, Housing and Communities","90","70","51740","57360"
"In post","2022","65+","Department for Transport","555","395","29650","26780"
"In post","2022","65+","Department for Work and Pensions","2790","2025","26810","27570"
"In post","2022","65+","Department of Health and Social Care","205","165","51590","40560"
"In post","2022","65+","Estyn","5","5","[c]","[c]"
"In post","2022","65+","Food Standards Agency","50","40","32740","29090"
"In post","2022","65+","Foreign, Commonwealth and Development Office","130","105","47610","45690"
"In post","2022","65+","HM Land Registry","130","85","32770","31740"
"In post","2022","65+","HM Revenue and Customs","1565","1125","31220","28570"
"In post","2022","65+","HM Treasury","20","15","48750","52840"
"In post","2022","65+","Home Office","835","635","28850","25630"
"In post","2022","65+","Ministry of Defence","2040","1805","31520","26930"
"In post","2022","65+","Ministry of Justice","2215","1685","28100","24800"
"In post","2022","65+","National Crime Agency","60","55","40040","39620"
"In post","2022","65+","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office for Standards in Education, Children's Services and Skills","35","30","52470","51360"
"In post","2022","65+","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2022","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office of Rail and Road","5","5","[c]","[c]"
"In post","2022","65+","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scottish Government","460","355","34750","30040"
"In post","2022","65+","The National Archives","20","20","29890","25740"
"In post","2022","65+","UK Export Finance","10","10","52650","51220"
"In post","2022","65+","UK Statistics Authority","255","165","24410","20350"
"In post","2022","65+","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","65+","Welsh Government","190","150","41340","38160"
"In post","2022","Unknown","Department for Work and Pensions","20","15","27300","27570"
"In post","2022","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Attorney General's Departments","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Department for Environment, Food and Rural Affairs","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Department for Transport","15","[c]","20560","18310"
"Leaver CS","2022","16-19","Department for Work and Pensions","50","[c]","22140","21260"
"Leaver CS","2022","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","HM Revenue and Customs","20","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Ministry of Defence","20","[c]","17490","17140"
"Leaver CS","2022","16-19","Ministry of Justice","40","[c]","19800","20370"
"Leaver CS","2022","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","UK Statistics Authority","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Attorney General's Departments","145","[c]","29370","26950"
"Leaver CS","2022","20-29","Cabinet Office","240","[c]","31840","29250"
"Leaver CS","2022","20-29","Chancellor's other departments","15","[c]","38020","41410"
"Leaver CS","2022","20-29","Charity Commission","10","[c]","22520","24440"
"Leaver CS","2022","20-29","Competition and Markets Authority","30","[c]","32590","33120"
"Leaver CS","2022","20-29","Department for Business, Energy and Industrial Strategy","235","[c]","30740","27680"
"Leaver CS","2022","20-29","Department for Digital, Culture, Media and Sport","70","[c]","33910","34020"
"Leaver CS","2022","20-29","Department for Education","145","[c]","31410","28500"
"Leaver CS","2022","20-29","Department for Environment, Food and Rural Affairs","330","[c]","23190","21510"
"Leaver CS","2022","20-29","Department for International Trade","115","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Department for Levelling Up, Housing and Communities","80","[c]","29150","27850"
"Leaver CS","2022","20-29","Department for Transport","245","[c]","26660","21840"
"Leaver CS","2022","20-29","Department for Work and Pensions","1975","[c]","25200","24250"
"Leaver CS","2022","20-29","Department of Health and Social Care","775","[c]","28660","27140"
"Leaver CS","2022","20-29","Food Standards Agency","15","[c]","28090","30580"
"Leaver CS","2022","20-29","Foreign, Commonwealth and Development Office","120","[c]","31200","29960"
"Leaver CS","2022","20-29","HM Land Registry","90","[c]","27150","25850"
"Leaver CS","2022","20-29","HM Revenue and Customs","990","[c]","25800","24500"
"Leaver CS","2022","20-29","HM Treasury","110","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Home Office","415","[c]","28120","25040"
"Leaver CS","2022","20-29","Ministry of Defence","865","[c]","26210","25560"
"Leaver CS","2022","20-29","Ministry of Justice","2985","[c]","23010","20970"
"Leaver CS","2022","20-29","National Crime Agency","40","[c]","29650","29740"
"Leaver CS","2022","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Office for Standards in Education, Children's Services and Skills","25","[c]","27510","25880"
"Leaver CS","2022","20-29","Office of Gas and Electricity Markets","70","[c]","29490","26210"
"Leaver CS","2022","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Office of the Secretary of State for Scotland","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Scottish Government","265","[c]","26680","25420"
"Leaver CS","2022","20-29","The National Archives","15","[c]","22350","20340"
"Leaver CS","2022","20-29","UK Export Finance","10","[c]","32860","31000"
"Leaver CS","2022","20-29","UK Statistics Authority","190","[c]","24890","23050"
"Leaver CS","2022","20-29","UK Supreme Court","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Water Services Regulation Authority","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Welsh Government","40","[c]","25290","23830"
"Leaver CS","2022","30-39","Attorney General's Departments","145","[c]","44820","51250"
"Leaver CS","2022","30-39","Cabinet Office","225","[c]","49900","52750"
"Leaver CS","2022","30-39","Chancellor's other departments","15","[c]","43950","41800"
"Leaver CS","2022","30-39","Charity Commission","10","[c]","33790","29160"
"Leaver CS","2022","30-39","Competition and Markets Authority","35","[c]","55380","56490"
"Leaver CS","2022","30-39","Department for Business, Energy and Industrial Strategy","195","[c]","42590","40050"
"Leaver CS","2022","30-39","Department for Digital, Culture, Media and Sport","50","[c]","41850","37740"
"Leaver CS","2022","30-39","Department for Education","105","[c]","41910","36780"
"Leaver CS","2022","30-39","Department for Environment, Food and Rural Affairs","160","[c]","27230","24920"
"Leaver CS","2022","30-39","Department for International Trade","45","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Department for Levelling Up, Housing and Communities","45","[c]","42890","46120"
"Leaver CS","2022","30-39","Department for Transport","235","[c]","33180","29230"
"Leaver CS","2022","30-39","Department for Work and Pensions","1365","[c]","27770","27570"
"Leaver CS","2022","30-39","Department of Health and Social Care","775","[c]","39470","37190"
"Leaver CS","2022","30-39","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Food Standards Agency","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Foreign, Commonwealth and Development Office","75","[c]","43850","39630"
"Leaver CS","2022","30-39","HM Land Registry","55","[c]","30870","27130"
"Leaver CS","2022","30-39","HM Revenue and Customs","665","[c]","28060","22040"
"Leaver CS","2022","30-39","HM Treasury","70","[c]","45990","43990"
"Leaver CS","2022","30-39","Home Office","355","[c]","32190","25360"
"Leaver CS","2022","30-39","Ministry of Defence","750","[c]","32770","32530"
"Leaver CS","2022","30-39","Ministry of Justice","2135","[c]","28230","22680"
"Leaver CS","2022","30-39","National Crime Agency","60","[c]","40320","39190"
"Leaver CS","2022","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Office for Standards in Education, Children's Services and Skills","25","[c]","43820","39850"
"Leaver CS","2022","30-39","Office of Gas and Electricity Markets","70","[c]","41790","37960"
"Leaver CS","2022","30-39","Office of Qualifications and Examinations Regulation","15","[c]","37670","36000"
"Leaver CS","2022","30-39","Office of Rail and Road","10","[c]","50890","56000"
"Leaver CS","2022","30-39","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scottish Government","210","[c]","31690","30020"
"Leaver CS","2022","30-39","The National Archives","15","[c]","33850","30000"
"Leaver CS","2022","30-39","UK Export Finance","10","[c]","51060","50230"
"Leaver CS","2022","30-39","UK Statistics Authority","100","[c]","32960","30210"
"Leaver CS","2022","30-39","UK Supreme Court","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Water Services Regulation Authority","15","[c]","49250","44000"
"Leaver CS","2022","30-39","Welsh Government","25","[c]","30760","29430"
"Leaver CS","2022","40-49","Attorney General's Departments","95","[c]","53700","55000"
"Leaver CS","2022","40-49","Cabinet Office","135","[c]","64750","63640"
"Leaver CS","2022","40-49","Chancellor's other departments","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Charity Commission","10","[c]","38070","33540"
"Leaver CS","2022","40-49","Competition and Markets Authority","20","[c]","75310","59940"
"Leaver CS","2022","40-49","Department for Business, Energy and Industrial Strategy","115","[c]","44780","40050"
"Leaver CS","2022","40-49","Department for Digital, Culture, Media and Sport","20","[c]","48160","49580"
"Leaver CS","2022","40-49","Department for Education","60","[c]","48170","42950"
"Leaver CS","2022","40-49","Department for Environment, Food and Rural Affairs","135","[c]","29900","25900"
"Leaver CS","2022","40-49","Department for International Trade","20","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Department for Levelling Up, Housing and Communities","25","[c]","54670","48810"
"Leaver CS","2022","40-49","Department for Transport","215","[c]","33660","26780"
"Leaver CS","2022","40-49","Department for Work and Pensions","1195","[c]","28150","27570"
"Leaver CS","2022","40-49","Department of Health and Social Care","665","[c]","47810","42480"
"Leaver CS","2022","40-49","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Foreign, Commonwealth and Development Office","55","[c]","56010","53640"
"Leaver CS","2022","40-49","HM Land Registry","60","[c]","37790","33840"
"Leaver CS","2022","40-49","HM Revenue and Customs","505","[c]","30610","22040"
"Leaver CS","2022","40-49","HM Treasury","25","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Home Office","260","[c]","34680","26960"
"Leaver CS","2022","40-49","Ministry of Defence","590","[c]","35060","33000"
"Leaver CS","2022","40-49","Ministry of Justice","1260","[c]","31120","23720"
"Leaver CS","2022","40-49","National Crime Agency","50","[c]","47090","41790"
"Leaver CS","2022","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Office for Standards in Education, Children's Services and Skills","30","[c]","51920","48860"
"Leaver CS","2022","40-49","Office of Gas and Electricity Markets","60","[c]","56860","51510"
"Leaver CS","2022","40-49","Office of Qualifications and Examinations Regulation","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Office of Rail and Road","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scottish Government","170","[c]","37670","34010"
"Leaver CS","2022","40-49","The National Archives","15","[c]","36390","33560"
"Leaver CS","2022","40-49","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","UK Statistics Authority","55","[c]","33330","30210"
"Leaver CS","2022","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Water Services Regulation Authority","15","[c]","61250","63500"
"Leaver CS","2022","40-49","Welsh Government","25","[c]","46870","42870"
"Leaver CS","2022","50-59","Attorney General's Departments","130","[c]","49540","52640"
"Leaver CS","2022","50-59","Cabinet Office","130","[c]","64280","58920"
