"Status","Year","Age","Function_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","No function","South West (England)","AA/AO","35","35","20880","21250"
"In post","2022","16-19","No function","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Wales","AA/AO","115","100","19460","18310"
"In post","2022","16-19","No function","Wales","EO","10","5","[c]","[c]"
"In post","2022","16-19","No function","West Midlands (England)","AA/AO","40","35","21430","21260"
"In post","2022","16-19","No function","West Midlands (England)","EO","10","10","[c]","[c]"
"In post","2022","16-19","No function","Yorkshire and The Humber","AA/AO","60","55","21270","21250"
"In post","2022","16-19","No function","Yorkshire and The Humber","EO","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Scotland","EO","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","South West (England)","EO","75","75","18570","18030"
"In post","2022","16-19","Project Delivery","South West (England)","Unknown","15","15","18160","17140"
"In post","2022","16-19","Project Delivery","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North West (England)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Property","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","South East (England)","Unknown","15","15","19130","16630"
"In post","2022","16-19","Property","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Security","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","East of England","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","North West (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Scotland","AA/AO","50","50","21510","21050"
"In post","2022","16-19","Unknown","Scotland","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","South East (England)","AA/AO","15","15","21790","21680"
"In post","2022","16-19","Unknown","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Yorkshire and The Humber","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","East of England","AA/AO","10","10","20970","21510"
"In post","2022","20-29","Analysis","East of England","EO","20","20","25280","25010"
"In post","2022","20-29","Analysis","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","East of England","SEO/HEO","25","25","31300","29750"
"In post","2022","20-29","Analysis","London","AA/AO","50","50","24240","24950"
"In post","2022","20-29","Analysis","London","EO","200","195","28370","28000"
"In post","2022","20-29","Analysis","London","G6/G7","330","330","55790","54270"
"In post","2022","20-29","Analysis","London","SEO/HEO","980","975","36630","35660"
"In post","2022","20-29","Analysis","North East (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","North East (England)","EO","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","North East (England)","SEO/HEO","60","60","32660","31990"
"In post","2022","20-29","Analysis","North West (England)","AA/AO","15","15","21220","21260"
"In post","2022","20-29","Analysis","North West (England)","EO","20","20","26410","26590"
"In post","2022","20-29","Analysis","North West (England)","G6/G7","10","10","53630","54160"
"In post","2022","20-29","Analysis","North West (England)","SEO/HEO","165","165","35060","33370"
"In post","2022","20-29","Analysis","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Scotland","EO","15","15","26900","26210"
"In post","2022","20-29","Analysis","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Scotland","SEO/HEO","10","10","36960","35500"
"In post","2022","20-29","Analysis","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","South East (England)","EO","30","30","26160","23880"
"In post","2022","20-29","Analysis","South East (England)","G6/G7","15","15","51190","50210"
"In post","2022","20-29","Analysis","South East (England)","SEO/HEO","255","255","32640","30710"
"In post","2022","20-29","Analysis","South West (England)","AA/AO","15","15","21170","21460"
"In post","2022","20-29","Analysis","South West (England)","EO","30","30","26410","25890"
"In post","2022","20-29","Analysis","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","South West (England)","SEO/HEO","65","65","33220","32010"
"In post","2022","20-29","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Wales","AA/AO","40","40","19910","19860"
"In post","2022","20-29","Analysis","Wales","EO","40","35","24090","23880"
"In post","2022","20-29","Analysis","Wales","G6/G7","25","25","51330","50210"
"In post","2022","20-29","Analysis","Wales","SEO/HEO","340","340","33270","30710"
"In post","2022","20-29","Analysis","West Midlands (England)","EO","10","10","26140","25620"
"In post","2022","20-29","Analysis","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","West Midlands (England)","SEO/HEO","15","15","37350","34420"
"In post","2022","20-29","Analysis","Yorkshire and The Humber","AA/AO","15","15","21260","21260"
"In post","2022","20-29","Analysis","Yorkshire and The Humber","EO","35","35","25980","25210"
"In post","2022","20-29","Analysis","Yorkshire and The Humber","G6/G7","25","25","51740","49860"
"In post","2022","20-29","Analysis","Yorkshire and The Humber","SEO/HEO","90","90","33680","32790"
"In post","2022","20-29","Commercial","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","East of England","EO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","East of England","SEO/HEO","15","15","33220","31250"
"In post","2022","20-29","Commercial","London","AA/AO","15","15","23110","23170"
"In post","2022","20-29","Commercial","London","EO","50","50","27910","27520"
"In post","2022","20-29","Commercial","London","G6/G7","120","120","58270","54700"
"In post","2022","20-29","Commercial","London","SEO/HEO","200","200","37410","37110"
"In post","2022","20-29","Commercial","North East (England)","EO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","North East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","North West (England)","EO","30","30","25900","25740"
"In post","2022","20-29","Commercial","North West (England)","G6/G7","15","15","56370","57110"
"In post","2022","20-29","Commercial","North West (England)","SEO/HEO","60","60","34240","33370"
"In post","2022","20-29","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Scotland","AA/AO","15","15","22850","21640"
"In post","2022","20-29","Commercial","Scotland","EO","15","15","27030","26670"
"In post","2022","20-29","Commercial","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Scotland","SEO/HEO","30","30","34300","33000"
"In post","2022","20-29","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","South East (England)","AA/AO","15","10","21400","21170"
"In post","2022","20-29","Commercial","South East (England)","EO","40","40","25660","26010"
"In post","2022","20-29","Commercial","South East (England)","SEO/HEO","25","25","35650","34500"
"In post","2022","20-29","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","South West (England)","AA/AO","10","10","21060","21170"
"In post","2022","20-29","Commercial","South West (England)","EO","70","70","25940","26670"
"In post","2022","20-29","Commercial","South West (England)","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","South West (England)","SEO/HEO","110","110","34610","34500"
"In post","2022","20-29","Commercial","South West (England)","Unknown","25","25","28190","27000"
"In post","2022","20-29","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","EO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Wales","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Wales","SEO/HEO","20","20","32140","30840"
"In post","2022","20-29","Commercial","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","West Midlands (England)","EO","20","20","26110","26240"
"In post","2022","20-29","Commercial","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","West Midlands (England)","SEO/HEO","15","15","33710","33220"
"In post","2022","20-29","Commercial","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Yorkshire and The Humber","EO","20","20","25190","25000"
"In post","2022","20-29","Commercial","Yorkshire and The Humber","G6/G7","10","10","54110","49870"
"In post","2022","20-29","Commercial","Yorkshire and The Humber","SEO/HEO","55","55","33530","35900"
"In post","2022","20-29","Communications","East Midlands (England)","AA/AO","20","20","21090","21250"
"In post","2022","20-29","Communications","East Midlands (England)","EO","165","165","26670","26590"
"In post","2022","20-29","Communications","East Midlands (England)","SEO/HEO","45","45","33190","33370"
"In post","2022","20-29","Communications","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","East of England","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Communications","London","AA/AO","35","35","23330","23560"
"In post","2022","20-29","Communications","London","EO","155","150","28000","27270"
"In post","2022","20-29","Communications","London","G6/G7","90","90","56130","54600"
"In post","2022","20-29","Communications","London","SEO/HEO","410","410","37620","37000"
"In post","2022","20-29","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","North East (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Communications","North East (England)","EO","215","215","26760","26820"
"In post","2022","20-29","Communications","North East (England)","SEO/HEO","80","80","33460","33370"
"In post","2022","20-29","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","North West (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Communications","North West (England)","EO","185","185","26610","26590"
"In post","2022","20-29","Communications","North West (England)","SEO/HEO","60","60","33350","33370"
"In post","2022","20-29","Communications","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Scotland","EO","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Communications","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Communications","South East (England)","EO","15","15","26200","26350"
"In post","2022","20-29","Communications","South East (England)","SEO/HEO","15","15","33580","33000"
"In post","2022","20-29","Communications","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","South West (England)","EO","15","15","25600","26350"
"In post","2022","20-29","Communications","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","South West (England)","SEO/HEO","15","15","33670","33290"
"In post","2022","20-29","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Wales","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Wales","EO","155","150","26680","26820"
"In post","2022","20-29","Communications","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Wales","SEO/HEO","50","50","34100","33370"
"In post","2022","20-29","Communications","West Midlands (England)","AA/AO","35","35","21240","21250"
"In post","2022","20-29","Communications","West Midlands (England)","EO","110","110","26720","26590"
"In post","2022","20-29","Communications","West Midlands (England)","SEO/HEO","55","55","33200","33080"
"In post","2022","20-29","Communications","Yorkshire and The Humber","EO","180","180","26650","26820"
"In post","2022","20-29","Communications","Yorkshire and The Humber","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Communications","Yorkshire and The Humber","SEO/HEO","50","50","34000","33370"
"In post","2022","20-29","Counter Fraud","East Midlands (England)","AA/AO","10","10","21300","21260"
"In post","2022","20-29","Counter Fraud","East Midlands (England)","EO","55","50","26950","26820"
"In post","2022","20-29","Counter Fraud","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","East Midlands (England)","SEO/HEO","35","35","34260","33370"
"In post","2022","20-29","Counter Fraud","East of England","AA/AO","25","25","21370","21250"
"In post","2022","20-29","Counter Fraud","East of England","EO","40","40","27300","26820"
"In post","2022","20-29","Counter Fraud","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","AA/AO","75","75","25110","25110"
"In post","2022","20-29","Counter Fraud","London","EO","240","240","30470","31020"
"In post","2022","20-29","Counter Fraud","London","G6/G7","25","25","59450","60940"
"In post","2022","20-29","Counter Fraud","London","SEO/HEO","145","145","37700","37610"
"In post","2022","20-29","Counter Fraud","North East (England)","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Counter Fraud","North East (England)","EO","110","110","27230","27570"
"In post","2022","20-29","Counter Fraud","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","North East (England)","SEO/HEO","35","35","34510","33220"
"In post","2022","20-29","Counter Fraud","North West (England)","AA/AO","35","35","21280","21250"
"In post","2022","20-29","Counter Fraud","North West (England)","EO","210","210","26940","26820"
"In post","2022","20-29","Counter Fraud","North West (England)","G6/G7","10","10","[c]","[c]"
