"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Wales","EO","Unknown","40","35","25040","24030"
"In post","2022","Analysis","East Wales","G6/G7","Heterosexual / straight","175","170","53500","51210"
"In post","2022","Analysis","East Wales","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","East Wales","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","East Wales","G6/G7","Unknown","65","60","52920","50210"
"In post","2022","Analysis","East Wales","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East Wales","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Wales","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Wales","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","East Wales","SEO/HEO","Heterosexual / straight","510","490","34560","33230"
"In post","2022","Analysis","East Wales","SEO/HEO","LGBO","65","65","34050","30770"
"In post","2022","Analysis","East Wales","SEO/HEO","Undeclared","45","45","34170","31700"
"In post","2022","Analysis","East Wales","SEO/HEO","Unknown","185","180","34620","36840"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Essex","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Essex","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Essex","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Heterosexual / straight","45","40","58140","57540"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Heterosexual / straight","110","105","36700","36300"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Unknown","75","70","34990","38070"
"In post","2022","Analysis","Greater Manchester","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","G6/G7","Heterosexual / straight","55","50","55480","55210"
"In post","2022","Analysis","Greater Manchester","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","SEO/HEO","Heterosexual / straight","145","140","35530","33370"
"In post","2022","Analysis","Greater Manchester","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","SEO/HEO","Unknown","30","30","36050","33370"
"In post","2022","Analysis","Hampshire and Isle of Wight","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","EO","Heterosexual / straight","45","40","25370","23880"
"In post","2022","Analysis","Hampshire and Isle of Wight","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","G6/G7","Heterosexual / straight","130","125","52870","50210"
"In post","2022","Analysis","Hampshire and Isle of Wight","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","G6/G7","Unknown","155","145","51000","47490"
"In post","2022","Analysis","Hampshire and Isle of Wight","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","SEO/HEO","Heterosexual / straight","310","290","34480","34740"
"In post","2022","Analysis","Hampshire and Isle of Wight","SEO/HEO","LGBO","35","35","33960","31320"
"In post","2022","Analysis","Hampshire and Isle of Wight","SEO/HEO","Undeclared","25","20","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","SEO/HEO","Unknown","195","190","34960","38070"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","EO","Heterosexual / straight","55","55","28910","29370"
"In post","2022","Analysis","Inner London - East","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Inner London - East","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","EO","Unknown","25","25","[c]","[c]"
"In post","2022","Analysis","Inner London - East","G6/G7","Heterosexual / straight","260","250","62210","60850"
"In post","2022","Analysis","Inner London - East","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Inner London - East","G6/G7","Undeclared","40","40","61420","60280"
"In post","2022","Analysis","Inner London - East","G6/G7","Unknown","50","50","60990","60710"
"In post","2022","Analysis","Inner London - East","SCS level","Heterosexual / straight","30","30","96690","93710"
"In post","2022","Analysis","Inner London - East","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Inner London - East","SEO/HEO","Heterosexual / straight","250","245","39290","38370"
"In post","2022","Analysis","Inner London - East","SEO/HEO","LGBO","30","30","38990","37930"
"In post","2022","Analysis","Inner London - East","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2022","Analysis","Inner London - East","SEO/HEO","Unknown","75","75","39200","37930"
"In post","2022","Analysis","Inner London - West","AA/AO","Heterosexual / straight","40","40","24450","24900"
"In post","2022","Analysis","Inner London - West","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Inner London - West","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Inner London - West","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - West","EO","Heterosexual / straight","145","140","28940","28000"
"In post","2022","Analysis","Inner London - West","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Inner London - West","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Inner London - West","EO","Unknown","40","35","28540","28110"
"In post","2022","Analysis","Inner London - West","G6/G7","Heterosexual / straight","865","825","62950","58990"
"In post","2022","Analysis","Inner London - West","G6/G7","LGBO","90","85","58220","55730"
"In post","2022","Analysis","Inner London - West","G6/G7","Undeclared","145","135","62050","57740"
"In post","2022","Analysis","Inner London - West","G6/G7","Unknown","120","115","60750","56300"
"In post","2022","Analysis","Inner London - West","SCS level","Heterosexual / straight","70","70","89800","78680"
"In post","2022","Analysis","Inner London - West","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Inner London - West","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Inner London - West","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Inner London - West","SEO/HEO","Heterosexual / straight","855","840","38110","37610"
"In post","2022","Analysis","Inner London - West","SEO/HEO","LGBO","90","90","37540","36650"
"In post","2022","Analysis","Inner London - West","SEO/HEO","Undeclared","115","110","38370","38020"
"In post","2022","Analysis","Inner London - West","SEO/HEO","Unknown","150","150","37660","37500"
"In post","2022","Analysis","Kent","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merseyside","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Merseyside","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merseyside","EO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Analysis","Merseyside","EO","LGBO","[c]","[c]","[c]","[c]"
