"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Human Resources","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","AA","10","5","21990","22350"
"In post","2022","16-19","Operational Delivery","London","AO","25","25","24760","24420"
"In post","2022","16-19","Operational Delivery","London","EO","10","10","28710","28650"
"In post","2022","16-19","Operational Delivery","Outside London","AA","130","120","19500","18830"
"In post","2022","16-19","Operational Delivery","Outside London","AO","430","415","22000","21260"
"In post","2022","16-19","Operational Delivery","Outside London","EO","50","50","26080","26050"
"In post","2022","16-19","Operational Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","AO","10","10","[c]","[c]"
"In post","2022","16-19","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Outside London","AO","30","30","21400","21260"
"In post","2022","16-19","Other","Outside London","EO","25","25","20290","18030"
"In post","2022","16-19","Other","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Policy","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","London","EO","20","20","25810","25170"
"In post","2022","16-19","Policy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Policy","Outside London","EO","15","15","24750","25000"
"In post","2022","16-19","Policy","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","EO","15","15","25580","26030"
"In post","2022","16-19","Property","Outside London","Unknown","15","15","19130","16630"
"In post","2022","16-19","Science and Engineering","Outside London","AA","20","20","16730","15470"
"In post","2022","16-19","Science and Engineering","Outside London","AO","15","15","21860","22230"
"In post","2022","16-19","Science and Engineering","Outside London","EO","60","60","18210","17140"
"In post","2022","16-19","Science and Engineering","Outside London","Unknown","20","20","18070","17140"
"In post","2022","16-19","Security","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Outside London","AO","60","55","21250","21250"
"In post","2022","16-19","Tax","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","EO","15","15","26370","27500"
"In post","2022","16-19","Unknown","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","AA","45","45","21320","21050"
"In post","2022","16-19","Unknown","Outside London","AO","25","25","21820","21260"
"In post","2022","16-19","Unknown","Outside London","EO","15","15","26370","27230"
"In post","2022","16-19","Unknown","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","London","AO","15","15","22950","23170"
"In post","2022","20-29","Commercial","London","EO","40","40","27840","27270"
"In post","2022","20-29","Commercial","London","G6","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","London","G7","50","50","53830","53360"
"In post","2022","20-29","Commercial","London","HEO","75","70","33780","34020"
"In post","2022","20-29","Commercial","London","SEO","80","80","41480","40650"
"In post","2022","20-29","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Outside London","AA","10","5","[c]","[c]"
"In post","2022","20-29","Commercial","Outside London","AO","45","45","21550","21260"
"In post","2022","20-29","Commercial","Outside London","EO","265","265","25230","25970"
"In post","2022","20-29","Commercial","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Outside London","G7","15","15","49720","49860"
"In post","2022","20-29","Commercial","Outside London","HEO","280","275","30900","30780"
"In post","2022","20-29","Commercial","Outside London","SEO","145","145","38190","37400"
"In post","2022","20-29","Commercial","Outside London","Unknown","30","30","27610","27280"
"In post","2022","20-29","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","London","AO","30","30","23780","23720"
"In post","2022","20-29","Communications","London","EO","135","130","27940","27270"
"In post","2022","20-29","Communications","London","G6","10","10","65900","66230"
"In post","2022","20-29","Communications","London","G7","70","70","54550","53360"
"In post","2022","20-29","Communications","London","HEO","260","260","34980","34260"
"In post","2022","20-29","Communications","London","SEO","130","130","42540","41950"
"In post","2022","20-29","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","AO","30","30","21600","21250"
"In post","2022","20-29","Communications","Outside London","EO","70","70","26100","26130"
"In post","2022","20-29","Communications","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","G7","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","HEO","100","100","31710","30950"
"In post","2022","20-29","Communications","Outside London","SEO","35","35","37900","37350"
"In post","2022","20-29","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","AO","65","65","25080","25110"
"In post","2022","20-29","Counter Fraud","London","EO","50","45","29710","31060"
"In post","2022","20-29","Counter Fraud","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","HEO","25","25","34280","33100"
"In post","2022","20-29","Counter Fraud","London","SEO","10","10","40430","40000"
"In post","2022","20-29","Counter Fraud","Outside London","AO","125","125","21770","21260"
"In post","2022","20-29","Counter Fraud","Outside London","EO","310","305","27540","27570"
"In post","2022","20-29","Counter Fraud","Outside London","HEO","50","50","32020","31990"
"In post","2022","20-29","Counter Fraud","Outside London","SEO","10","10","36530","35590"
"In post","2022","20-29","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","London","AO","20","20","23480","23800"
"In post","2022","20-29","Digital, Data and Technology","London","EO","155","150","28890","28650"
"In post","2022","20-29","Digital, Data and Technology","London","G6","10","10","67630","66240"
"In post","2022","20-29","Digital, Data and Technology","London","G7","95","95","55970","54270"
"In post","2022","20-29","Digital, Data and Technology","London","HEO","250","250","35150","35050"
"In post","2022","20-29","Digital, Data and Technology","London","SEO","205","205","42860","42190"
"In post","2022","20-29","Digital, Data and Technology","Outside London","AA","50","50","19110","17900"
"In post","2022","20-29","Digital, Data and Technology","Outside London","AO","110","110","21670","21260"
"In post","2022","20-29","Digital, Data and Technology","Outside London","EO","750","745","26760","26590"
"In post","2022","20-29","Digital, Data and Technology","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Outside London","G7","135","135","52340","50430"
"In post","2022","20-29","Digital, Data and Technology","Outside London","HEO","710","710","32340","33000"
"In post","2022","20-29","Digital, Data and Technology","Outside London","SEO","420","420","39490","38550"
"In post","2022","20-29","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","London","AO","30","30","24000","22810"
"In post","2022","20-29","Economics","London","EO","80","80","27270","27680"
"In post","2022","20-29","Economics","London","G6","10","10","[c]","[c]"
"In post","2022","20-29","Economics","London","G7","230","230","55670","54650"
"In post","2022","20-29","Economics","London","HEO","510","510","34350","33880"
"In post","2022","20-29","Economics","London","SEO","75","75","41360","42470"
"In post","2022","20-29","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Outside London","AO","35","35","20110","19860"
"In post","2022","20-29","Economics","Outside London","EO","25","25","25820","26040"
"In post","2022","20-29","Economics","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Outside London","G7","25","25","51600","50210"
"In post","2022","20-29","Economics","Outside London","HEO","105","105","31990","31000"
"In post","2022","20-29","Economics","Outside London","SEO","30","30","38950","38810"
"In post","2022","20-29","Economics","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","London","AO","15","15","24560","25110"
"In post","2022","20-29","Finance","London","EO","80","80","28150","27350"
"In post","2022","20-29","Finance","London","G6","15","15","64470","65440"
"In post","2022","20-29","Finance","London","G7","100","100","55260","54110"
"In post","2022","20-29","Finance","London","HEO","140","140","34920","34000"
"In post","2022","20-29","Finance","London","SEO","120","120","42200","41750"
"In post","2022","20-29","Finance","Outside London","AA","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Outside London","AO","155","145","21750","21250"
"In post","2022","20-29","Finance","Outside London","EO","425","420","25340","26100"
"In post","2022","20-29","Finance","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Outside London","G7","55","55","51420","50080"
"In post","2022","20-29","Finance","Outside London","HEO","330","330","31950","31990"
"In post","2022","20-29","Finance","Outside London","SEO","140","140","39070","38300"
"In post","2022","20-29","Finance","Outside London","Unknown","15","15","29380","31010"
"In post","2022","20-29","Finance","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","Outside London","AO","45","45","20480","20420"
"In post","2022","20-29","Geography","Outside London","EO","45","45","26730","26740"
"In post","2022","20-29","Geography","Outside London","HEO","20","20","33290","33290"
"In post","2022","20-29","Geography","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","London","AA","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","London","AO","30","30","24190","23930"
"In post","2022","20-29","Human Resources","London","EO","140","140","27810","27270"
"In post","2022","20-29","Human Resources","London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","London","G7","85","85","55290","54070"
"In post","2022","20-29","Human Resources","London","HEO","190","190","33720","33210"
"In post","2022","20-29","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","London","SEO","65","65","41410","41500"
"In post","2022","20-29","Human Resources","Outside London","AA","20","20","18910","19810"
"In post","2022","20-29","Human Resources","Outside London","AO","180","180","21760","21170"
"In post","2022","20-29","Human Resources","Outside London","EO","225","225","25850","26120"
"In post","2022","20-29","Human Resources","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Outside London","G7","35","35","49680","49530"
"In post","2022","20-29","Human Resources","Outside London","HEO","265","260","30890","30810"
"In post","2022","20-29","Human Resources","Outside London","SEO","75","75","38000","37460"
"In post","2022","20-29","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Overseas","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","London","AO","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","London","EO","110","105","29490","29240"
"In post","2022","20-29","Intelligence Analysis","London","G7","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","London","HEO","100","100","36850","37000"
"In post","2022","20-29","Intelligence Analysis","London","SEO","25","25","43820","44500"
"In post","2022","20-29","Intelligence Analysis","Outside London","AO","10","10","21040","21250"
"In post","2022","20-29","Intelligence Analysis","Outside London","EO","165","160","25950","25830"
"In post","2022","20-29","Intelligence Analysis","Outside London","HEO","60","60","31530","33000"
"In post","2022","20-29","Intelligence Analysis","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Overseas","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","HEO","15","15","34100","33420"
"In post","2022","20-29","Internal Audit","London","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","EO","10","10","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","HEO","15","15","32560","32090"
"In post","2022","20-29","Internal Audit","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","20-29","International Trade","London","EO","45","45","27350","26250"
"In post","2022","20-29","International Trade","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","London","G7","100","100","52730","51710"
"In post","2022","20-29","International Trade","London","HEO","160","160","32710","31800"
"In post","2022","20-29","International Trade","London","SEO","135","135","38980","38160"
"In post","2022","20-29","International Trade","Outside London","EO","10","10","24820","23370"
"In post","2022","20-29","International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","Outside London","HEO","20","20","30740","31350"
"In post","2022","20-29","International Trade","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","20-29","International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","Overseas","G7","10","10","52340","52190"
"In post","2022","20-29","International Trade","Overseas","HEO","10","10","[c]","[c]"
"In post","2022","20-29","International Trade","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","London","AO","5","5","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","London","EO","25","25","28220","28310"
"In post","2022","20-29","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","London","G7","20","20","56040","54070"
"In post","2022","20-29","Knowledge and Information Management","London","HEO","45","45","33820","33570"
"In post","2022","20-29","Knowledge and Information Management","London","SEO","10","10","41200","41480"
"In post","2022","20-29","Knowledge and Information Management","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Outside London","AO","45","45","21720","21170"
"In post","2022","20-29","Knowledge and Information Management","Outside London","EO","60","60","26200","26670"
"In post","2022","20-29","Knowledge and Information Management","Outside London","G7","5","5","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Outside London","HEO","40","40","30890","31660"
"In post","2022","20-29","Knowledge and Information Management","Outside London","SEO","10","10","36820","36100"
"In post","2022","20-29","Knowledge and Information Management","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","London","AO","10","10","23420","22520"
"In post","2022","20-29","Legal","London","EO","190","190","30500","31020"
"In post","2022","20-29","Legal","London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Legal","London","G7","120","120","52060","50500"
"In post","2022","20-29","Legal","London","HEO","165","165","38340","37610"
"In post","2022","20-29","Legal","London","SEO","15","15","41240","41830"
"In post","2022","20-29","Legal","Outside London","AO","25","20","21540","21250"
"In post","2022","20-29","Legal","Outside London","EO","365","360","26990","26820"
"In post","2022","20-29","Legal","Outside London","G7","80","80","50180","48080"
"In post","2022","20-29","Legal","Outside London","HEO","240","235","33280","33080"
"In post","2022","20-29","Legal","Outside London","SEO","125","125","41660","41750"
"In post","2022","20-29","Medicine","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","London","G7","5","5","[c]","[c]"
"In post","2022","20-29","Medicine","London","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Medicine","London","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Medicine","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Outside London","AO","25","25","23080","23280"
"In post","2022","20-29","Medicine","Outside London","EO","35","35","29320","29430"
"In post","2022","20-29","Medicine","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Outside London","G7","5","5","[c]","[c]"
"In post","2022","20-29","Medicine","Outside London","HEO","35","30","33950","34170"
"In post","2022","20-29","Medicine","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","London","AA","160","155","23550","24080"
"In post","2022","20-29","Operational Delivery","London","AO","1545","1525","27200","25330"
"In post","2022","20-29","Operational Delivery","London","EO","2360","2325","30320","31060"
"In post","2022","20-29","Operational Delivery","London","G6","20","20","65840","65610"
"In post","2022","20-29","Operational Delivery","London","G7","175","175","54660","53380"
"In post","2022","20-29","Operational Delivery","London","HEO","765","760","34680","34260"
"In post","2022","20-29","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","London","SEO","340","335","41300","41000"
"In post","2022","20-29","Operational Delivery","London","Unknown","415","410","28740","27060"
"In post","2022","20-29","Operational Delivery","Outside London","AA","1590","1535","20400","20890"
"In post","2022","20-29","Operational Delivery","Outside London","AO","16410","15985","22950","21680"
"In post","2022","20-29","Operational Delivery","Outside London","EO","9240","9125","27120","27570"
"In post","2022","20-29","Operational Delivery","Outside London","G6","10","10","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Outside London","G7","85","85","50500","50210"
"In post","2022","20-29","Operational Delivery","Outside London","HEO","1765","1750","31810","31660"
"In post","2022","20-29","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Outside London","SEO","440","435","38230","37450"
"In post","2022","20-29","Operational Delivery","Outside London","Unknown","2990","2925","24940","23170"
"In post","2022","20-29","Operational Delivery","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","EO","5","5","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Unknown","AA","5","5","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Unknown","AO","20","20","21760","21260"
"In post","2022","20-29","Operational Delivery","Unknown","EO","55","55","28850","27570"
"In post","2022","20-29","Operational Delivery","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","London","EO","15","15","30360","29530"
"In post","2022","20-29","Operational Research","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","London","G7","20","20","57260","57730"
"In post","2022","20-29","Operational Research","London","HEO","70","70","36000","36590"
"In post","2022","20-29","Operational Research","London","SEO","15","15","43500","43810"
"In post","2022","20-29","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","Outside London","AO","10","10","[c]","[c]"
"In post","2022","20-29","Operational Research","Outside London","EO","15","15","27100","26130"
"In post","2022","20-29","Operational Research","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","Outside London","HEO","125","125","31280","30580"
"In post","2022","20-29","Operational Research","Outside London","SEO","40","40","38660","38070"
"In post","2022","20-29","Other","London","AA","5","5","[c]","[c]"
"In post","2022","20-29","Other","London","AO","80","75","24250","25110"
"In post","2022","20-29","Other","London","EO","485","480","28580","28650"
"In post","2022","20-29","Other","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","London","G7","60","60","54150","53190"
"In post","2022","20-29","Other","London","HEO","205","205","34470","35050"
"In post","2022","20-29","Other","London","SEO","60","60","41850","41950"
"In post","2022","20-29","Other","Outside London","AA","135","130","19810","19810"
"In post","2022","20-29","Other","Outside London","AO","935","910","21590","21260"
"In post","2022","20-29","Other","Outside London","EO","815","805","25430","27570"
"In post","2022","20-29","Other","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Outside London","G7","25","25","49600","50210"
"In post","2022","20-29","Other","Outside London","HEO","305","300","28950","29500"
"In post","2022","20-29","Other","Outside London","SEO","75","75","35980","35990"
"In post","2022","20-29","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Other","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","Unknown","[c]","[c]","[c]","[c]"
